row_label_raw,row_label_full,col_0,Năm 2022 (VND),Năm 2022 (VND)_1,Năm 2021 (VND),Năm 2021 (VND)_1,numeric__Năm 2022 (VND),numeric__Năm 2022 (VND)_1,numeric__Năm 2021 (VND),numeric__Năm 2021 (VND)_1
,,,Doanh thuđược ghi nhận 1 lần,Doanh thudược phân bổtheo thời gian thuê,Doanh thuđược ghi nhận 1 lần,Doanh thudược phân bổtheo thời gian thuê,,,,
Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,-,-,58.258.644.127,72.442.980,,,58258644127.0,72442980.0
Giá vốn hàng bán vàdịch vụ cung cấp,Giá vốn hàng bán vàdịch vụ cung cấp,Giá vốn hàng bán vàdịch vụ cung cấp,-,-,56.260.392.474,69.958.210,,,56260392474.0,69958210.0
Lợi nhuận góp,Lợi nhuận góp,Lợi nhuận góp,-,-,1.998.251.653,2.484.770,,,1998251653.0,2484770.0
