row_label_raw,row_label_full,Ông Đỗ Quý Hải,Chủ tịch,numeric__Chủ tịch
Ông Nguyễn Văn Phương,Ông Nguyễn Văn Phương,Ông Nguyễn Văn Phương,Phó Chủ tịch,
Ông Phạm Minh Tuấn,Ông Phạm Minh Tuấn,Ông Phạm Minh Tuấn,Phó Chủ tịch,
Ông Lê Việt Dũng,Ông Lê Việt Dũng,Ông Lê Việt Dũng,Thành viên,
Ông Trần Vũ Thái Hòa,Ông Trần Vũ Thái Hòa,Ông Trần Vũ Thái Hòa,Thành viên độc lập,
Ông Đỗ Danh Trí,Ông Đỗ Danh Trí,Ông Đỗ Danh Trí,Thành viên độc lập,
