row_label_raw,row_label_full,CHỈ TIÊU,CHỈ TIÊU_1,MS,TM,Năm 2022VND,Năm 2021VND,numeric__CHỈ TIÊU_1,numeric__MS,numeric__TM,numeric__Năm 2022VND,numeric__Năm 2021VND
1.,1.,1.,Doanh thu bán hàng và cung cấp dịch vụ,01,6.1,1.210.371.810.618,1.417.006.429.780,,1.0,61.0,1210371810618.0,1417006429780.0
2.,2.,2.,Các khoản giảm trừ doanh thu,02,,-,-,,2.0,,,
3.,3.,3.,Doanh thu thuần về bán hàng và cung cấp dịch vụ (10 = 01-02),10,,1.210.371.810.618,1.417.006.429.780,,10.0,,1210371810618.0,1417006429780.0
4.,4.,4.,Giá vốn hàng bán,11,6.2,957.229.642.517,1.071.121.021.916,,11.0,62.0,957229642517.0,1071121021916.0
5.,5.,5.,Lợi nhuận gộp về bán hàng và cung cấp dịch vụ (20 = 10-11),20,,253.142.168.101,345.885.407.864,,20.0,,253142168101.0,345885407864.0
6.,6.,6.,Doanh thu hoạt động tài chính,21,6.3,146.576.822.575,461.667.581.262,,21.0,63.0,146576822575.0,461667581262.0
7.,7.,7.,Chi phí tài chính,22,6.4,352.347.789.445,246.943.807.760,,22.0,64.0,352347789445.0,246943807760.0
7.,7.,7.,Trong đó: Chi phí lãi vay,23,,337.259.541.307,229.648.026.321,,23.0,,337259541307.0,229648026321.0
8,8,8,"Phần lãi (lỗ) trong công ty liên kết, liên doanh",24,,11.623.011.017,-,,24.0,,11623011017.0,
9,9,9,Chi phí bán hàng,25,6.5,9.329.616.403,26.824.404.164,,25.0,65.0,9329616403.0,26824404164.0
10,10,10,Chi phí quản lý doanh nghiệp,26,6.5,77.766.578.923,136.892.377.512,,26.0,65.0,77766578923.0,136892377512.0
11,11,11,Lợi nhuận thuần từ hoạt động kinh doanh {30 = 20+(21-22)-(25+26)},30,,(28.101.983.078),396.892.399.690,,30.0,,-28101983078.0,396892399690.0
12,12,12,Thu nhập khác,31,6.6,23.076.125.140,20.740.716.955,,31.0,66.0,23076125140.0,20740716955.0
13,13,13,Chi phí khác,32,6.6,7.612.983.295,12.583.565.423,,32.0,66.0,7612983295.0,12583565423.0
14,14,14,Lợi nhuận khác (40 = 31-32),40,6.6,15.463.141.845,8.157.151.532,,40.0,66.0,15463141845.0,8157151532.0
15.,15.,15.,Tổng lợi nhuận kế toán trước thuế (50 = 30+40+45),50,,(12.638.841.233),405.049.551.222,,50.0,,-12638841233.0,405049551222.0
16.,16.,16.,Chi phí thuế TNDN hiện hành,51,6.7,42.962.770.023,128.677.814.130,,51.0,67.0,42962770023.0,128677814130.0
17.,17.,17.,Chi phí thuế TNDN hoãn lại,52,6.8,2.760.365.012,(9.376.515.558),,52.0,68.0,2760365012.0,-9376515558.0
18.,18.,18.,Lợi nhuận sau thuế thu nhập doanh nghiệp (60 = 50-51-52),60,,(58.361.976.268),285.748.252.650,,60.0,,-58361976268.0,285748252650.0
19.,19.,19.,Lợi nhuận sau thuế của cổ đông của Công ty mẹ,61,,(60.410.352.775),249.918.687.400,,61.0,,-60410352775.0,249918687400.0
20,20,20,Lợi nhuận sau thuế của cổ đông không kiểm soát,62,,2.048.376.507,35.829.565.250,,62.0,,2048376507.0,35829565250.0
21,21,21,Lãi cơ bản trên cổ phiếu,70,6.9,(199),758,,70.0,69.0,-199.0,758.0
