row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúc","Máy móc,thiết bị","Phương tiện vậntải, truyền dẫn","Thiết bị,dụng cụ quản lý",Tổng,"numeric__Nhà cửa,vật kiến trúc","numeric__Máy móc,thiết bị","numeric__Phương tiện vậntải, truyền dẫn","numeric__Thiết bị,dụng cụ quản lý",numeric__Tổng
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,,,
Số dư tại 01/01/2022,NGUYÊN GIÁ > Số dư tại 01/01/2022,Số dư tại 01/01/2022,63.637.388.597,10.883.434.799,17.941.963.637,2.299.763.332,94.762.550.365,63637388597.0,10883434799.0,17941963637.0,2299763332.0,94762550365.0
Tăng trong năm,NGUYÊN GIÁ > Tăng trong năm,Tăng trong năm,-,1.178.063.636,-,-,1.178.063.636,,1178063636.0,,,1178063636.0
Mua trong năm,NGUYÊN GIÁ > Mua trong năm,Mua trong năm,-,1.178.063.636,-,-,1.178.063.636,,1178063636.0,,,1178063636.0
Giảm trong năm,NGUYÊN GIÁ > Giảm trong năm,Giảm trong năm,7.127.840.703,-,-,-,7.127.840.703,7127840703.0,,,,7127840703.0
Phân loại lại,NGUYÊN GIÁ > Phân loại lại,Phân loại lại,7.127.840.703,,,,7.127.840.703,7127840703.0,,,,7127840703.0
Số dư tại 31/12/2022,NGUYÊN GIÁ > Số dư tại 31/12/2022,Số dư tại 31/12/2022,56.509.547.894,12.061.498.435,17.941.963.637,2.299.763.332,88.812.773.298,56509547894.0,12061498435.0,17941963637.0,2299763332.0,88812773298.0
GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,,,,,
Số dư tại 01/01/2022,GIÁ TRỊ HAO MÒN LỦY KẾ > Số dư tại 01/01/2022,Số dư tại 01/01/2022,5.432.459.663,3.151.459.001,13.009.342.233,2.047.369.705,23.640.630.602,5432459663.0,3151459001.0,13009342233.0,2047369705.0,23640630602.0
Tăng trong năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Tăng trong năm,Tăng trong năm,1.087.027.370,237.627.369,1.770.479.766,85.971.651,3.181.106.156,1087027370.0,237627369.0,1770479766.0,85971651.0,3181106156.0
Khấu hao trong năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Khấu hao trong năm,Khấu hao trong năm,278.743.536,237.627.369,1.770.479.766,85.971.651,2.372.822.322,278743536.0,237627369.0,1770479766.0,85971651.0,2372822322.0
Phân loại lại,GIÁ TRỊ HAO MÒN LỦY KẾ > Phân loại lại,Phân loại lại,808.283.834,,,,808.283.834,808283834.0,,,,808283834.0
Giảm trong năm,Giảm trong năm,Giảm trong năm,-,-,-,-,-,,,,,
Số dư tại 31/12/2022,Giảm trong năm > Số dư tại 31/12/2022,Số dư tại 31/12/2022,6.519.487.033,3.389.086.370,14.779.821.999,2.133.341.356,26.821.736.758,6519487033.0,3389086370.0,14779821999.0,2133341356.0,26821736758.0
GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,,,,,
Tại 01/01/2022,GIÁ TRỊ CÒN LẠI > Tại 01/01/2022,Tại 01/01/2022,58.204.928.934,7.731.975.798,4.932.621.404,252.393.627,71.121.919.763,58204928934.0,7731975798.0,4932621404.0,252393627.0,71121919763.0
Tại 31/12/2022,GIÁ TRỊ CÒN LẠI > Tại 31/12/2022,Tại 31/12/2022,49.990.060.861,8.672.412.065,3.162.141.638,166.421.976,61.991.036.540,49990060861.0,8672412065.0,3162141638.0,166421976.0,61991036540.0
