row_label_raw,row_label_full,Khoản mục,Số đầu kỳ,Tăng trong năm,Giảm trong năm,Số cuối kỳ,numeric__Số đầu kỳ,numeric__Tăng trong năm,numeric__Giảm trong năm,numeric__Số cuối kỳ
a. Bất động sản đầu tư,a. Bất động sản đầu tư,a. Bất động sản đầu tư,a. Bất động sản đầu tư,a. Bất động sản đầu tư,a. Bất động sản đầu tư,a. Bất động sản đầu tư,,,,
Nguyên giá,a. Bất động sản đầu tư > Nguyên giá,Nguyên giá,1.131.672.547.578,39.618.781.589,148.543.754.093,1.022.747.575.074,1131672547578.0,39618781589.0,148543754093.0,1022747575074.0
Quyền sử dụng đất,a. Bất động sản đầu tư > Quyền sử dụng đất,Quyền sử dụng đất,73.320.982.140,2.209.087.259,10.141.957.267,65.388.112.132,73320982140.0,2209087259.0,10141957267.0,65388112132.0
Nhà cửa vật kiến trúc,a. Bất động sản đầu tư > Nhà cửa vật kiến trúc,Nhà cửa vật kiến trúc,932.098.288.921,31.418.969.057,123.606.453.587,839.910.804.391,932098288921.0,31418969057.0,123606453587.0,839910804391.0
Máy móc thiết bị,a. Bất động sản đầu tư > Máy móc thiết bị,Máy móc thiết bị,126.253.276.517,5.990.725.273,14.795.343.239,117.448.658.551,126253276517.0,5990725273.0,14795343239.0,117448658551.0
- Cơ sở hạ tầng,- Cơ sở hạ tầng,- Cơ sở hạ tầng,-,-,-,-,,,,
Giá trị hao mòn lũy kế,- Cơ sở hạ tầng > Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,148.687.947.230,25.116.549.617,13.507.967.499,160.296.529.348,148687947230.0,25116549617.0,13507967499.0,160296529348.0
Quyền sử dụng đất,- Cơ sở hạ tầng > Quyền sử dụng đất,Quyền sử dụng đất,4.037.658.232,1.529.276.089,1.021.275.869,4.545.658.452,4037658232.0,1529276089.0,1021275869.0,4545658452.0
Nhà cửa vật kiến trúc,- Cơ sở hạ tầng > Nhà cửa vật kiến trúc,Nhà cửa vật kiến trúc,105.873.105.678,18.044.471.073,6.610.975.829,117.306.600.922,105873105678.0,18044471073.0,6610975829.0,117306600922.0
Máy móc thiết bị,- Cơ sở hạ tầng > Máy móc thiết bị,Máy móc thiết bị,38.777.183.320,5.542.802.455,5.875.715.800,38.444.269.975,38777183320.0,5542802455.0,5875715800.0,38444269975.0
Giá trị còn lại,- Cơ sở hạ tầng > Giá trị còn lại,Giá trị còn lại,982.984.600.348,14.502.231.972,135.035.786.594,862.451.045.726,982984600348.0,14502231972.0,135035786594.0,862451045726.0
Quyền sử dụng đất,- Cơ sở hạ tầng > Quyền sử dụng đất,Quyền sử dụng đất,69.283.323.908,679.811.170,9.120.681.398,60.842.453.680,69283323908.0,679811170.0,9120681398.0,60842453680.0
Nhà cửa vật kiến trúc,- Cơ sở hạ tầng > Nhà cửa vật kiến trúc,Nhà cửa vật kiến trúc,826.225.183.243,13.374.497.984,116.995.477.758,722.604.203.469,826225183243.0,13374497984.0,116995477758.0,722604203469.0
Máy móc thiết bị,- Cơ sở hạ tầng > Máy móc thiết bị,Máy móc thiết bị,87.476.093.197,447.922.818,8.919.627.439,79.004.388.576,87476093197.0,447922818.0,8919627439.0,79004388576.0
