row_label_raw,row_label_full,Đơn vị tư vấn phát hành > Công ty Cổ phần Chứng Khoán Smart Invest > Công ty Cổ phần chứng khoán MB > Công ty Cổ phần Chứng Khoán Smart Invest > Công ty Cổ phần Chứng khoán Bảo Việt > Công ty cổ phần chứng khoán Navibank,Giá trị VND > 300.000.000.000 > 125.795.000.000 > 496.768.125.855 > 250.000.000.000 > 349.975.260.806,"Lãi suất > Lãi suất tham chiếu +3,5% > Lãi suất tham chiếu +3,2% > 11% > Lãi suất tham chiếu +4% > 10%",Kỳ hạn trả gốc và lãi > Gốc được trả một lần vào ngày đáo hạn là ngày 31 tháng 12 năm 2024. Lãi vay được trả 6 tháng/lần. > Gốc được trả theo lịch trả nợ với lần trả nợ cuối cùng vào ngày 05/5/2024. Lãi vay được trả 3 tháng/lần. > Gốc được trả một lần vào ngày đáo hạn là ngày 28 tháng 5 năm 2025. Lãi vay được trả 3 tháng/lần. > Gốc được trả một lần vào ngày đáo hạn là ngày 25 tháng 11 năm 2024. Lãi vay được trả 6 tháng/lần. > Gốc được trả một lần vào ngày đáo hạn là ngày 20 tháng 01 năm 2024. Lãi vay được trả 3 tháng/lần.,Tài sản đảm bảo > (vi) > (iv) > (vii) > (viii) > (ix),numeric__Giá trị VND > 300.000.000.000 > 125.795.000.000 > 496.768.125.855 > 250.000.000.000 > 349.975.260.806,"numeric__Lãi suất > Lãi suất tham chiếu +3,5% > Lãi suất tham chiếu +3,2% > 11% > Lãi suất tham chiếu +4% > 10%",numeric__Kỳ hạn trả gốc và lãi > Gốc được trả một lần vào ngày đáo hạn là ngày 31 tháng 12 năm 2024. Lãi vay được trả 6 tháng/lần. > Gốc được trả theo lịch trả nợ với lần trả nợ cuối cùng vào ngày 05/5/2024. Lãi vay được trả 3 tháng/lần. > Gốc được trả một lần vào ngày đáo hạn là ngày 28 tháng 5 năm 2025. Lãi vay được trả 3 tháng/lần. > Gốc được trả một lần vào ngày đáo hạn là ngày 25 tháng 11 năm 2024. Lãi vay được trả 6 tháng/lần. > Gốc được trả một lần vào ngày đáo hạn là ngày 20 tháng 01 năm 2024. Lãi vay được trả 3 tháng/lần.,numeric__Tài sản đảm bảo > (vi) > (iv) > (vii) > (viii) > (ix)
Tổng trái phiếu dài hạn,Tổng trái phiếu dài hạn,Tổng trái phiếu dài hạn,1.522.538.386.661,,,,1522538386661.0,,,
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,,,
Trái phiếu ngắn hạn,Trong đó: > Trái phiếu ngắn hạn,Trái phiếu ngắn hạn,1.046.546.740.589,,,,1046546740589.0,,,
Trái phiếu dài hạn,Trong đó: > Trái phiếu dài hạn,Trái phiếu dài hạn,1.522.538.386.661,,,,1522538386661.0,,,
Gốc trái phiếu,Trong đó: > Gốc trái phiếu,Gốc trái phiếu,2.555.000.000.000,,,,2555000000000.0,,,
Chi phí phát hành trái phiếu,Trong đó: > Chi phí phát hành trái phiếu,Chi phí phát hành trái phiếu,14.085.127.250,,,,14085127250.0,,,
