row_label_raw,row_label_full,Đơn vị tư vấn phát hành > Công ty Cổ phần chứng khoán Navibank > Công ty Cổ phần chứng khoán Dầu khí > Công ty cổ phần chứng khoán Ngân hàng Công thương Việt Nam,Giá trị VND > 450.000.000.000 > 249.835.294.117 > 69.500.000.000,Lãi suất > 10% > 11%,Kỳ hạn trả gốc và lãi > Trả gốc một lần vào ngày 24/12/2023. Lãi được thanh toán định kỳ 3 tháng một lần > Trả gốc một lần vào ngày đáo hạn quý IV 2023. Lãi được thanh toán định kỳ 3 tháng một lần > Trả gốc một lần vào tháng 01 năm 2023. Lãi được thanh toán định kỳ 3 tháng một lần,Tài sản đảm bảo > (i) > (ii) > (iii),numeric__Giá trị VND > 450.000.000.000 > 249.835.294.117 > 69.500.000.000,numeric__Lãi suất > 10% > 11%,numeric__Kỳ hạn trả gốc và lãi > Trả gốc một lần vào ngày 24/12/2023. Lãi được thanh toán định kỳ 3 tháng một lần > Trả gốc một lần vào ngày đáo hạn quý IV 2023. Lãi được thanh toán định kỳ 3 tháng một lần > Trả gốc một lần vào tháng 01 năm 2023. Lãi được thanh toán định kỳ 3 tháng một lần,numeric__Tài sản đảm bảo > (i) > (ii) > (iii)
Tổng trái phiếu ngắn hạn,Tổng trái phiếu ngắn hạn,Tổng trái phiếu ngắn hạn,769.335.294.117,,,,769335294117.0,,,
Trái phiếu dài hạn đến hạn trả,Trái phiếu dài hạn đến hạn trả,Trái phiếu dài hạn đến hạn trả,Trái phiếu dài hạn đến hạn trả,Trái phiếu dài hạn đến hạn trả,Trái phiếu dài hạn đến hạn trả,Trái phiếu dài hạn đến hạn trả,,,,
Công ty Cổ phần chứng khoán MB (4),Trái phiếu dài hạn đến hạn trả > Công ty Cổ phần chứng khoán MB (4),Công ty Cổ phần chứng khoán MB (4),254.841.180.493,"Lãi suất tham chiếu + 3,2%",Gốc được trả theo lịch trả nợ với lần trả nợ cuối cùng vào ngày 5 tháng 5 năm 2024. Lãi vay được trả 3 tháng/lần.,(iv),254841180493.0,,,
Công ty cổ phần Chứng khoán ngân hàng Công thương,Trái phiếu dài hạn đến hạn trả > Công ty cổ phần Chứng khoán ngân hàng Công thương,Công ty cổ phần Chứng khoán ngân hàng Công thương,22.370.265.979,"11,0%",Lãi trả 6 tháng/lần. Gốc vay trả vào ngày đáo hạn,(v),22370265979.0,0.11,,
Tổng trái phiếu dài hạn đến hạn trả,Trái phiếu dài hạn đến hạn trả > Tổng trái phiếu dài hạn đến hạn trả,Tổng trái phiếu dài hạn đến hạn trả,277.211.446.472,,,,277211446472.0,,,
