row_label_raw,row_label_full,col_0,MS,TM,31/12/2022VND,01/01/2022VND,numeric__MS,numeric__TM,numeric__31/12/2022VND,numeric__01/01/2022VND
TÀI SAN NGAN HẠN,TÀI SAN NGAN HẠN,TÀI SAN NGAN HẠN,TÀI SAN NGAN HẠN,TÀI SAN NGAN HẠN,TÀI SAN NGAN HẠN,TÀI SAN NGAN HẠN,,,,
A - (100=110+130+140+150),TÀI SAN NGAN HẠN > A - (100=110+130+140+150),A - (100=110+130+140+150),100,,6.311.369.110.154,6.731.620.122.004,100.0,,6311369110154.0,6731620122004.0
I. Tiền và các khoản tương đương tiền,TÀI SAN NGAN HẠN > I. Tiền và các khoản tương đương tiền,I. Tiền và các khoản tương đương tiền,110,5.1,146.034.786.156,634.721.568.476,110.0,51.0,146034786156.0,634721568476.0
1. Tiền,TÀI SAN NGAN HẠN > 1. Tiền,1. Tiền,111,,131.034.786.156,634.721.568.476,111.0,,131034786156.0,634721568476.0
2. Các khoản tương đương tiền,TÀI SAN NGAN HẠN > 2. Các khoản tương đương tiền,2. Các khoản tương đương tiền,112,,15.000.000.000,-,112.0,,15000000000.0,
II. Đầu tư tài chính ngắn hạn,TÀI SAN NGAN HẠN > II. Đầu tư tài chính ngắn hạn,II. Đầu tư tài chính ngắn hạn,120,,20.613.032.005,330.149.184.546,120.0,,20613032005.0,330149184546.0
3. Đầu tư nắm giữ đến ngày đáo hạn,TÀI SAN NGAN HẠN > 3. Đầu tư nắm giữ đến ngày đáo hạn,3. Đầu tư nắm giữ đến ngày đáo hạn,123,5.2,20.613.032.005,330.149.184.546,123.0,52.0,20613032005.0,330149184546.0
III. Các khoản phải thu ngắn hạn,TÀI SAN NGAN HẠN > III. Các khoản phải thu ngắn hạn,III. Các khoản phải thu ngắn hạn,130,,2.285.226.035.138,1.873.263.422.208,130.0,,2285226035138.0,1873263422208.0
1. Phải thu ngắn hạn của khách hàng,TÀI SAN NGAN HẠN > 1. Phải thu ngắn hạn của khách hàng,1. Phải thu ngắn hạn của khách hàng,131,5.3,195.035.627.747,269.337.426.964,131.0,53.0,195035627747.0,269337426964.0
2. Trả trước cho người bán ngắn hạn,TÀI SAN NGAN HẠN > 2. Trả trước cho người bán ngắn hạn,2. Trả trước cho người bán ngắn hạn,132,5.4,203.290.320.447,180.354.225.036,132.0,54.0,203290320447.0,180354225036.0
5. Phải thu về cho vay ngắn hạn,TÀI SAN NGAN HẠN > 5. Phải thu về cho vay ngắn hạn,5. Phải thu về cho vay ngắn hạn,135,5.5,10.000.000.000,10.000.000.000,135.0,55.0,10000000000.0,10000000000.0
6. Phải thu ngắn hạn khác,TÀI SAN NGAN HẠN > 6. Phải thu ngắn hạn khác,6. Phải thu ngắn hạn khác,136,5.6,1.916.463.037.939,1.453.425.435.717,136.0,56.0,1916463037939.0,1453425435717.0
