row_label_raw,row_label_full,Số dư tại 01/01/2021,Vốn đầu tư của chủ sở hữu > 2.644.945.820.000,Thặng dư vốn cổ phần > 60.986.800.000,Quỹ khác của chủ sở hữu > 580.012.025,Lợi nhuận sau thuế chưa phân phối > 516.430.308.503,Lợi ích cổ đông không kiểm soát > 398.000.430.464,Đơn vị tính: VND Tổng > 3.620.943.370.992,numeric__Vốn đầu tư của chủ sở hữu > 2.644.945.820.000,numeric__Thặng dư vốn cổ phần > 60.986.800.000,numeric__Quỹ khác của chủ sở hữu > 580.012.025,numeric__Lợi nhuận sau thuế chưa phân phối > 516.430.308.503,numeric__Lợi ích cổ đông không kiểm soát > 398.000.430.464,numeric__Đơn vị tính: VND Tổng > 3.620.943.370.992
Chia cổ tức bằng cổ phiếu,Chia cổ tức bằng cổ phiếu,Chia cổ tức bằng cổ phiếu,396.739.990.000,-,-,(396.739.990.000),-,-,396739990000.0,,,-396739990000.0,,
Lãi trong năm trước,Lãi trong năm trước,Lãi trong năm trước,-,-,-,249.918.687.400,35.829.565.250,285.748.252.650,,,,249918687400.0,35829565250.0,285748252650.0
Chia cổ tức,Chia cổ tức,Chia cổ tức,-,-,-,-,(26.643.195.601),(26.643.195.601),,,,,-26643195601.0,-26643195601.0
"Trích quỹ khen thưởng, phúc lợi","Trích quỹ khen thưởng, phúc lợi","Trích quỹ khen thưởng, phúc lợi",-,-,-,(23.317.476.123),(234.630.224),(23.552.106.347),,,,-23317476123.0,-234630224.0,-23552106347.0
Trích quỹ đầu tư phát triển,Trích quỹ đầu tư phát triển,Trích quỹ đầu tư phát triển,-,-,506.467.905,(506.467.905),-,-,,,506467905.0,-506467905.0,,
"Thfu lao HĐQT, BKS","Thfu lao HĐQT, BKS","Thfu lao HĐQT, BKS",-,-,-,(6.704.695.108),(155.374.892),(6.860.070.000),,,,-6704695108.0,-155374892.0,-6860070000.0
Tăng tỷ lệ sở hữu trong Công ty con hiện hữu,Tăng tỷ lệ sở hữu trong Công ty con hiện hữu,Tăng tỷ lệ sở hữu trong Công ty con hiện hữu,-,-,-,578.443.053,(578.443.053),-,,,,578443053.0,-578443053.0,
Giảm tỷ lệ sở hữu từ công ty con thành công ty liên kết,Giảm tỷ lệ sở hữu từ công ty con thành công ty liên kết,Giảm tỷ lệ sở hữu từ công ty con thành công ty liên kết,-,-,-,(114.557.478.551),(208.330.530.689),(322.888.009.240),,,,-114557478551.0,-208330530689.0,-322888009240.0
Số dư tại 31/12/2021,Số dư tại 31/12/2021,Số dư tại 31/12/2021,3.041.685.810.000,60.986.800.000,1.086.479.930,225.101.331.269,197.887.821.255,3.526.748.242.454,3041685810000.0,60986800000.0,1086479930.0,225101331269.0,197887821255.0,3526748242454.0
Số dư tại 01/01/2022,Số dư tại 01/01/2022,Số dư tại 01/01/2022,3.041.685.810.000,60.986.800.000,1.086.479.930,225.101.331.269,197.887.821.255,3.526.748.242.454,3041685810000.0,60986800000.0,1086479930.0,225101331269.0,197887821255.0,3526748242454.0
Lãi/Lỗ trong năm nay,Lãi/Lỗ trong năm nay,Lãi/Lỗ trong năm nay,-,-,-,(60.410.352.775),2.048.376.507,(58.361.976.268),,,,-60410352775.0,2048376507.0,-58361976268.0
Trích quỹ khen thưởng phúc lợi (1),Trích quỹ khen thưởng phúc lợi (1),Trích quỹ khen thưởng phúc lợi (1),-,-,-,(12.116.582.304),(201.542.827),(12.318.125.131),,,,-12116582304.0,-201542827.0,-12318125131.0
Thù lao HĐQT,Thù lao HĐQT,Thù lao HĐQT,-,-,-,(524.831.615),(147.868.385),(672.700.000),,,,-524831615.0,-147868385.0,-672700000.0
Tăng do bán công ty liên kết,Tăng do bán công ty liên kết,Tăng do bán công ty liên kết,-,-,-,2.238.949.591,-,2.238.949.591,,,,2238949591.0,,2238949591.0
Giảm do bán công ty con,Giảm do bán công ty con,Giảm do bán công ty con,-,-,-,-,(38.854.353),(38.854.353),,,,,-38854353.0,-38854353.0
Số dư tại 31/12/2022,Số dư tại 31/12/2022,Số dư tại 31/12/2022,3.041.685.810.000,60.986.800.000,1.086.479.930,154.288.514.166,199.547.932.197,3.457.595.536.293,3041685810000.0,60986800000.0,1086479930.0,154288514166.0,199547932197.0,3457595536293.0
