row_label_raw,row_label_full,Bên liên quan > Phải thu ngắn hạn của khách hàng (Thuyết minh số 7.1),Môi quan hệ > Phải thu ngắn hạn của khách hàng (Thuyết minh số 7.1),Nội dung nghiệp vụ > Phải thu ngắn hạn của khách hàng (Thuyết minh số 7.1),Số cuối năm > Phải thu ngắn hạn của khách hàng (Thuyết minh số 7.1),Đơn vị tính: VND Số đầu năm (Trình bày lại) > Phải thu ngắn hạn của khách hàng (Thuyết minh số 7.1),numeric__Môi quan hệ > Phải thu ngắn hạn của khách hàng (Thuyết minh số 7.1),numeric__Nội dung nghiệp vụ > Phải thu ngắn hạn của khách hàng (Thuyết minh số 7.1),numeric__Số cuối năm > Phải thu ngắn hạn của khách hàng (Thuyết minh số 7.1),numeric__Đơn vị tính: VND Số đầu năm (Trình bày lại) > Phải thu ngắn hạn của khách hàng (Thuyết minh số 7.1)
Công ty Cổ phần Đầu tư An Thịnh,Công ty Cổ phần Đầu tư An Thịnh,Công ty Cổ phần Đầu tư An Thịnh,Công ty có cổ đông là thành viên HĐQT của công ty con,Phải thu về chuyển nhượng cổ phần,100.000.000.000,-,,,100000000000.0,
Công ty Cổ phần kinh doanh Bất động sản HP Land (trước đây là công ty Cổ phần Bất động sản Hải Phát),Công ty Cổ phần kinh doanh Bất động sản HP Land (trước đây là công ty Cổ phần Bất động sản Hải Phát),Công ty Cổ phần kinh doanh Bất động sản HP Land (trước đây là công ty Cổ phần Bất động sản Hải Phát),Công ty có chung thành viên quản lý chủ chốt với công ty con từ ngày 28 tháng 12 năm 2018,Phải thu từ hoạt động môi giới,34.767.768.670,-,,,34767768670.0,
Công ty Cổ phần kinh doanh Bất động sản HP Land (trước đây là công ty Cổ phần Bất động sản Hải Phát),Công ty Cổ phần kinh doanh Bất động sản HP Land (trước đây là công ty Cổ phần Bất động sản Hải Phát),Công ty Cổ phần kinh doanh Bất động sản HP Land (trước đây là công ty Cổ phần Bất động sản Hải Phát),Công ty có chung thành viên quản lý chủ chốt với công ty con từ ngày 28 tháng 12 năm 2018,Phải thu từ hoạt động cho thuê,18.495.175.703,25.715.049.452,,,18495175703.0,25715049452.0
Công ty Cổ phần kinh doanh Bất động sản HP Land (trước đây là công ty Cổ phần Bất động sản Hải Phát),Công ty Cổ phần kinh doanh Bất động sản HP Land (trước đây là công ty Cổ phần Bất động sản Hải Phát),Công ty Cổ phần kinh doanh Bất động sản HP Land (trước đây là công ty Cổ phần Bất động sản Hải Phát),Công ty có chung thành viên quản lý chủ chốt với công ty con từ ngày 28 tháng 12 năm 2018,Phải thu từ chuyển nhượng bất động sản,12.169.023.043,241.270.508.305,,,12169023043.0,241270508305.0
Công ty Hải Phát Thủ Đô,Công ty Hải Phát Thủ Đô,Công ty Hải Phát Thủ Đô,Công ty liên quan của thành viên HĐQT,Phải thu phí dịch vụ quản lý toàn nhà,5.921.136.821,-,,,5921136821.0,
Công ty Hải Phát Thủ Đô,Công ty Hải Phát Thủ Đô,Công ty Hải Phát Thủ Đô,Công ty liên quan của thành viên HĐQT,Phải thu từ hoạt động môi giới,4.669.613.782,-,,,4669613782.0,
Công ty Hải Phát Thủ Đô,Công ty Hải Phát Thủ Đô,Công ty Hải Phát Thủ Đô,Công ty liên quan của thành viên HĐQT,Phải thu từ hoạt động cho thuê,1.337.331.520,-,,,1337331520.0,
Công ty TNHH Một thành viên Bea Leasing,Công ty TNHH Một thành viên Bea Leasing,Công ty TNHH Một thành viên Bea Leasing,Công ty có chung thành viên chủ chốt,Phải thu từ chuyển nhượng bất động sản,4.731.956.266,-,,,4731956266.0,
Công ty Đại Đông Á,Công ty Đại Đông Á,Công ty Đại Đông Á,Công ty liên kết,Phải thu từ hoạt động cho thuê,288.582.462,331.665.201,,,288582462.0,331665201.0
Công ty Đại Đông Á,Công ty Đại Đông Á,Công ty Đại Đông Á,Công ty liên kết,Phải thu dịch vụ môi giới,270.000.000,-,,,270000000.0,
Cienco 5,Cienco 5,Cienco 5,Công ty liên kết,Phải thu từ hoạt động cho thuê,106.558.830,-,,,106558830.0,
Công ty Cổ phần Hải Phát Kinh Bắc,Công ty Cổ phần Hải Phát Kinh Bắc,Công ty Cổ phần Hải Phát Kinh Bắc,Công ty cùng thành viên HĐQT,Phải thu từ hoạt động cho thuê,335.384.324,-,,,335384324.0,
Công ty Cổ phần Xây dựng HP Thăng Long (tên cũ là Công ty Cổ phần Xây lắp Hải Phát),Công ty Cổ phần Xây dựng HP Thăng Long (tên cũ là Công ty Cổ phần Xây lắp Hải Phát),Công ty Cổ phần Xây dựng HP Thăng Long (tên cũ là Công ty Cổ phần Xây lắp Hải Phát),Công ty liên quan của thành viên gia đình của thành viên HĐQT,Phải thu tiền cung cấp dịch vụ,-,500.892.339,,,,500892339.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,,,183.092.531.421,267.818.115.297,,,183092531421.0,267818115297.0
