row_label_raw,row_label_full,col_0,Cienco 5,Công ty Đại Đông Á,Công ty S.E.A Thuận Phước (Trình bày lại),Công ty TNHH BT Hà Đông,Tổng cộng,numeric__Cienco 5,numeric__Công ty Đại Đông Á,numeric__Công ty S.E.A Thuận Phước (Trình bày lại),numeric__Công ty TNHH BT Hà Đông,numeric__Tổng cộng
Giá trị đầu tư:,Giá trị đầu tư:,Giá trị đầu tư:,Giá trị đầu tư:,Giá trị đầu tư:,Giá trị đầu tư:,Giá trị đầu tư:,Giá trị đầu tư:,,,,,
Số đầu năm (Trình bày lại),Giá trị đầu tư: > Số đầu năm (Trình bày lại),Số đầu năm (Trình bày lại),300.245.220.000,55.750.000.000,48.300.000.000,27.387.956.384,431.683.176.384,300245220000.0,55750000000.0,48300000000.0,27387956384.0,431683176384.0
Tăng do góp vốn,Giá trị đầu tư: > Tăng do góp vốn,Tăng do góp vốn,-,-,-,18.688.322.546,18.688.322.546,,,,18688322546.0,18688322546.0
Giảm do chuyển nhượng,Giá trị đầu tư: > Giảm do chuyển nhượng,Giảm do chuyển nhượng,-,-,(48.300.000.000),-,(48.300.000.000),,,-48300000000.0,,-48300000000.0
Số cuối năm,Giá trị đầu tư: > Số cuối năm,Số cuối năm,300.245.220.000,55.750.000.000,-,46.076.278.930,402.071.498.930,300245220000.0,55750000000.0,,46076278930.0,402071498930.0
Phần lải lũy kế sau khi mua công ty liên kết:,Phần lải lũy kế sau khi mua công ty liên kết:,Phần lải lũy kế sau khi mua công ty liên kết:,Phần lải lũy kế sau khi mua công ty liên kết:,Phần lải lũy kế sau khi mua công ty liên kết:,Phần lải lũy kế sau khi mua công ty liên kết:,Phần lải lũy kế sau khi mua công ty liên kết:,Phần lải lũy kế sau khi mua công ty liên kết:,,,,,
Số đầu năm,Phần lải lũy kế sau khi mua công ty liên kết: > Số đầu năm,Số đầu năm,3.845.513.605,(2.848.180.153),(334.670.467),-,662.662.985,3845513605.0,-2848180153.0,-334670467.0,,662662985.0
Lợi nhuận từ công ty liên kết trong năm,Phần lải lũy kế sau khi mua công ty liên kết: > Lợi nhuận từ công ty liên kết trong năm,Lợi nhuận từ công ty liên kết trong năm,-,973.175.051,31.026.911,-,1.004.201.962,,973175051.0,31026911.0,,1004201962.0
Giảm do chuyển nhượng,Phần lải lũy kế sau khi mua công ty liên kết: > Giảm do chuyển nhượng,Giảm do chuyển nhượng,-,-,303.643.556,-,303.643.556,,,303643556.0,,303643556.0
Số cuối năm,Phần lải lũy kế sau khi mua công ty liên kết: > Số cuối năm,Số cuối năm,3.845.513.605,(1.875.005.102),-,-,1.970.508.503,3845513605.0,-1875005102.0,,,1970508503.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,
Số đầu năm (Trình bày lại),Giá trị còn lại > Số đầu năm (Trình bày lại),Số đầu năm (Trình bày lại),304.090.733.605,52.901.819.847,47.965.329.533,27.387.956.384,432.345.839.369,304090733605.0,52901819847.0,47965329533.0,27387956384.0,432345839369.0
Số cuối năm,Giá trị còn lại > Số cuối năm,Số cuối năm,304.090.733.605,53.874.994.898,-,46.076.278.930,404.042.007.433,304090733605.0,53874994898.0,,46076278930.0,404042007433.0
