row_label_raw,row_label_full,col_0,Năm nay,Đơn vị tính: VNDNăm trước(Trình bày lại),numeric__Năm nay,numeric__Đơn vị tính: VNDNăm trước(Trình bày lại)
Tổng doanh thu,Tổng doanh thu,Tổng doanh thu,3.431.936.907.385,1.921.636.768.416,3431936907385.0,1921636768416.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Doanh thu từ hoạt động chuyển nhượng bất động sản,Trong đó: > Doanh thu từ hoạt động chuyển nhượng bất động sản,Doanh thu từ hoạt động chuyển nhượng bất động sản,3.007.988.271.881,1.862.981.502.587,3007988271881.0,1862981502587.0
Doanh thu từ hoạt động môi giới bất động sản,Trong đó: > Doanh thu từ hoạt động môi giới bất động sản,Doanh thu từ hoạt động môi giới bất động sản,333.461.726.181,-,333461726181.0,
Doanh thu từ hoạt động cho thuê bất động sản và các hoạt động liên quan,Trong đó: > Doanh thu từ hoạt động cho thuê bất động sản và các hoạt động liên quan,Doanh thu từ hoạt động cho thuê bất động sản và các hoạt động liên quan,90.486.909.323,58.655.265.829,90486909323.0,58655265829.0
Các khoản giảm trừ doanh thu,Các khoản giảm trừ doanh thu,Các khoản giảm trừ doanh thu,-,-,,
Doanh thu thuần,Các khoản giảm trừ doanh thu > Doanh thu thuần,Doanh thu thuần,3.431.936.907.385,1.921.636.768.416,3431936907385.0,1921636768416.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Doanh thu đối với bên khác,Trong đó: > Doanh thu đối với bên khác,Doanh thu đối với bên khác,3.216.585.364.370,1.921.636.768.416,3216585364370.0,1921636768416.0
Doanh thu đối với các bên liên quan(Thuyết minh số 34),Trong đó: > Doanh thu đối với các bên liên quan(Thuyết minh số 34),Doanh thu đối với các bên liên quan(Thuyết minh số 34),215.351.543.015,-,215351543015.0,
