row_label_raw,row_label_full,"Đầu tư góp vốn vào công ty liên doanh, liên kết (Thuyết minh số 18.1)",Số cuối năm > Giá gốc > 404.042.007.433,Số cuối năm > Dự phòng > -,Số cuối năm > Giá trị ghi số > 404.042.007.433,Số đầu năm(Trình bày lại) > Giá gốc > 432.345.839.369,Số đầu năm(Trình bày lại) > Dự phòng > -,Số đầu năm(Trình bày lại) > Giá trị ghi số > 432.345.839.369,numeric__Số cuối năm > Giá gốc > 404.042.007.433,numeric__Số cuối năm > Dự phòng > -,numeric__Số cuối năm > Giá trị ghi số > 404.042.007.433,numeric__Số đầu năm(Trình bày lại) > Giá gốc > 432.345.839.369,numeric__Số đầu năm(Trình bày lại) > Dự phòng > -,numeric__Số đầu năm(Trình bày lại) > Giá trị ghi số > 432.345.839.369
"- Tổng Công ty Xây dựng Công trình Giao thông 5 (""Cienco 5"")","- Tổng Công ty Xây dựng Công trình Giao thông 5 (""Cienco 5"")","- Tổng Công ty Xây dựng Công trình Giao thông 5 (""Cienco 5"")",304.090.733.605,-,304.090.733.605,304.090.733.605,-,304.090.733.605,304090733605.0,,304090733605.0,304090733605.0,,304090733605.0
"- Công ty Cổ phần Đầu tư Đại Đông Á (""Công ty Đại Đông Á"")","- Công ty Cổ phần Đầu tư Đại Đông Á (""Công ty Đại Đông Á"")","- Công ty Cổ phần Đầu tư Đại Đông Á (""Công ty Đại Đông Á"")",53.874.994.898,-,53.874.994.898,52.901.819.847,-,52.901.819.847,53874994898.0,,53874994898.0,52901819847.0,,52901819847.0
- Công ty S.E.A Thuận Phước,- Công ty S.E.A Thuận Phước,- Công ty S.E.A Thuận Phước,-,-,-,47.965.329.533,-,47.965.329.533,,,,47965329533.0,,47965329533.0
- Công ty TNHH BT Hà Đông,- Công ty TNHH BT Hà Đông,- Công ty TNHH BT Hà Đông,46.076.278.930,-,46.076.278.930,27.387.956.384,-,27.387.956.384,46076278930.0,,46076278930.0,27387956384.0,,27387956384.0
Đầu tư góp vốn vào đơn vị khác(Thuyết minh số 18.2),Đầu tư góp vốn vào đơn vị khác(Thuyết minh số 18.2),Đầu tư góp vốn vào đơn vị khác(Thuyết minh số 18.2),115.080.000.000,-,115.080.000.000,126.548.461.308,-,126.548.461.308,115080000000.0,,115080000000.0,126548461308.0,,126548461308.0
"- Công ty Cổ phần Đầu tư Hải Phát Thủ Đô(""Công ty Hải Phát Thủ Đô"")","- Công ty Cổ phần Đầu tư Hải Phát Thủ Đô(""Công ty Hải Phát Thủ Đô"")","- Công ty Cổ phần Đầu tư Hải Phát Thủ Đô(""Công ty Hải Phát Thủ Đô"")",110.080.000.000,-,110.080.000.000,110.080.000.000,-,110.080.000.000,110080000000.0,,110080000000.0,110080000000.0,,110080000000.0
- Công ty Cổ phần Đầu tư Phát triển Hạ tầng và Đô thị Dương sắt,- Công ty Cổ phần Đầu tư Phát triển Hạ tầng và Đô thị Dương sắt,- Công ty Cổ phần Đầu tư Phát triển Hạ tầng và Đô thị Dương sắt,5.000.000.000,-,5.000.000.000,,,,5000000000.0,,5000000000.0,,,
,,,,,,5.000.000.000,-,5.000.000.000,,,,5000000000.0,,5000000000.0
- Công ty TNHH Phát triển Địa ốc Hải Phong,- Công ty TNHH Phát triển Địa ốc Hải Phong,- Công ty TNHH Phát triển Địa ốc Hải Phong,-,-,-,11.468.461.308,-,11.468.461.308,,,,11468461308.0,,11468461308.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,519.122.007.433,-,519.122.007.433,558.894.300.677,-,558.894.300.677,519122007433.0,,519122007433.0,558894300677.0,,558894300677.0
