row_label_raw,row_label_full,col_0,Năm nay,Đơn vị tính: VND > Năm trước(Trình bày lại),numeric__Năm nay,numeric__Đơn vị tính: VND > Năm trước(Trình bày lại)
Thu nhập khác,Thu nhập khác,Thu nhập khác,8.251.284.731,90.671.536.641,8251284731.0,90671536641.0
Lãi từ giao dịch mua giả rè (Thuyết minh số 4.3),Lãi từ giao dịch mua giả rè (Thuyết minh số 4.3),Lãi từ giao dịch mua giả rè (Thuyết minh số 4.3),4.477.168.004,-,4477168004.0,
"Thu nhập từ bồi thường, phạt vi phạm hợp đồng","Thu nhập từ bồi thường, phạt vi phạm hợp đồng","Thu nhập từ bồi thường, phạt vi phạm hợp đồng",2.164.715.768,1.447.236.653,2164715768.0,1447236653.0
Thu nhập từ thỏa thuận phân chia lợi ích,Thu nhập từ thỏa thuận phân chia lợi ích,Thu nhập từ thỏa thuận phân chia lợi ích,-,70.000.000.000,,70000000000.0
Thu nhập từ hoàn nhập các khoản phải trả,Thu nhập từ hoàn nhập các khoản phải trả,Thu nhập từ hoàn nhập các khoản phải trả,-,18.279.420.389,,18279420389.0
Thu nhập khác,Thu nhập khác,Thu nhập khác,1.609.400.959,944.879.599,1609400959.0,944879599.0
Chỉ phí khác,Chỉ phí khác,Chỉ phí khác,4.063.341.564,1.652.774.024,4063341564.0,1652774024.0
Tiền phạt chậm nộp thuế,Tiền phạt chậm nộp thuế,Tiền phạt chậm nộp thuế,2.735.147.773,816.397.848,2735147773.0,816397848.0
Chi phí khác,Chi phí khác,Chi phí khác,1.328.193.791,836.376.176,1328193791.0,836376176.0
LOI NHUẢN KHÁC THUẢN,LOI NHUẢN KHÁC THUẢN,LOI NHUẢN KHÁC THUẢN,4.187.943.167,89.018.762.617,4187943167.0,89018762617.0
