row_label_raw,row_label_full,col_0,Kinh doanhbất động sản,Kinh doanh cho thuếbất động sản và hoạtđộng liên quan khác,Loại trừ,Đơn vị tính: VNDTổng cộng,numeric__Kinh doanhbất động sản,numeric__Kinh doanh cho thuếbất động sản và hoạtđộng liên quan khác,numeric__Loại trừ,numeric__Đơn vị tính: VNDTổng cộng
Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,,,,
Doanh thu từ bán hàng ra bên ngoài,Doanh thu > Doanh thu từ bán hàng ra bên ngoài,Doanh thu từ bán hàng ra bên ngoài,1.862.981.502.587,58.655.265.829,-,1.921.636.768.416,1862981502587.0,58655265829.0,,1921636768416.0
Doanh thu từ bán hàng cho các bộ phận,Doanh thu > Doanh thu từ bán hàng cho các bộ phận,Doanh thu từ bán hàng cho các bộ phận,44.924.000.000,1.142.084.586,(46.066.084.586),-,44924000000.0,1142084586.0,-46066084586.0,
Tổng doanh thu,Doanh thu > Tổng doanh thu,Tổng doanh thu,1.907.905.502.587,59.797.350.415,(46.066.084.586),1.921.636.768.416,1907905502587.0,59797350415.0,-46066084586.0,1921636768416.0
Kết quả,Kết quả,Kết quả,Kết quả,Kết quả,Kết quả,Kết quả,,,,
Lợi nhuận thuần trước thuế của bộ phận,Kết quả > Lợi nhuận thuần trước thuế của bộ phận,Lợi nhuận thuần trước thuế của bộ phận,327.015.224.597,46.448.754.151,,373.463.978.748,327015224597.0,46448754151.0,,373463978748.0
Thu nhập/(chi phí) không phân bổ (*),Kết quả > Thu nhập/(chi phí) không phân bổ (*),Thu nhập/(chi phí) không phân bổ (*),,,,269.046.148.331,,,,269046148331.0
Lợi nhuận thuần trước thuế,Kết quả > Lợi nhuận thuần trước thuế,Lợi nhuận thuần trước thuế,,,,642.510.127.079,,,,642510127079.0
Chi phí thuế thu nhập doanh nghiệp,Kết quả > Chi phí thuế thu nhập doanh nghiệp,Chi phí thuế thu nhập doanh nghiệp,,,,(149.281.930.894),,,,-149281930894.0
Lợi nhuận thuần sau thuế,Kết quả > Lợi nhuận thuần sau thuế,Lợi nhuận thuần sau thuế,,,,493.228.196.185,,,,493228196185.0
Tải sản và công nợ,Tải sản và công nợ,Tải sản và công nợ,Tải sản và công nợ,Tải sản và công nợ,Tải sản và công nợ,Tải sản và công nợ,,,,
Tải sản bộ phận,Tải sản và công nợ > Tải sản bộ phận,Tải sản bộ phận,6.017.999.521.705,789.385.426.489,-,6.807.384.948.194,6017999521705.0,789385426489.0,,6807384948194.0
Tải sản không phân bổ (**),Tải sản và công nợ > Tải sản không phân bổ (**),Tải sản không phân bổ (**),-,-,746.730.933.423,746.730.933.423,,,746730933423.0,746730933423.0
Tổng tài sản,Tải sản và công nợ > Tổng tài sản,Tổng tài sản,6.017.999.521.705,789.385.426.489,746.730.933.423,7.554.115.881.617,6017999521705.0,789385426489.0,746730933423.0,7554115881617.0
Công nợ bộ phận,Tải sản và công nợ > Công nợ bộ phận,Công nợ bộ phận,2.309.691.671.445,3.762.779.087,-,2.313.454.450.532,2309691671445.0,3762779087.0,,2313454450532.0
Công nợ không phân bổ (***),Tải sản và công nợ > Công nợ không phân bổ (***),Công nợ không phân bổ (***),-,-,2.663.085.645.561,2.663.085.645.561,,,2663085645561.0,2663085645561.0
Tổng công nợ,Tải sản và công nợ > Tổng công nợ,Tổng công nợ,2.309.691.671.445,3.762.779.087,2.663.085.645.561,4.976.540.096.093,2309691671445.0,3762779087.0,2663085645561.0,4976540096093.0
Các thông tin bộ phận khác,Các thông tin bộ phận khác,Các thông tin bộ phận khác,Các thông tin bộ phận khác,Các thông tin bộ phận khác,Các thông tin bộ phận khác,Các thông tin bộ phận khác,,,,
Chi phí hình thành tài sản cố định,Các thông tin bộ phận khác > Chi phí hình thành tài sản cố định,Chi phí hình thành tài sản cố định,-,-,2.109.707.259,2.109.707.259,,,2109707259.0,2109707259.0
Tải sản cố định hữu hình,Các thông tin bộ phận khác > Tải sản cố định hữu hình,Tải sản cố định hữu hình,,-,12.851.209.258,12.851.209.258,,,12851209258.0,12851209258.0
Khấu hao,Các thông tin bộ phận khác > Khấu hao,Khấu hao,-,-,3.304.725.979,3.304.725.979,,,3304725979.0,3304725979.0
