row_label_raw,row_label_full,Bên liên quan > Trả trước cho người bán ngắn hạn (Thuyết minh số 7.2) > Công ty PSP,"Mối quan hệ > Trả trước cho người bán ngắn hạn (Thuyết minh số 7.2) > Công ty có chung thành viên chủ chốt tới ngày 4 tháng 11 năm 2019, công ty con gián tiếp từ ngày 5 tháng 11 năm 2019","Mối quan hệ > Trả trước cho người bán ngắn hạn (Thuyết minh số 7.2) > Công ty có chung thành viên chủ chốt tới ngày 4 tháng 11 năm 2019, công ty con gián tiếp từ ngày 5 tháng 11 năm 2019_1",Nội dung nghiệp vụ > Trả trước cho người bán ngắn hạn (Thuyết minh số 7.2) > Trả trước phí dịch vụ,Số cuối năm > Trả trước cho người bán ngắn hạn (Thuyết minh số 7.2) > -,Đơn vị tính: VND > Số đầu năm > Trả trước cho người bán ngắn hạn (Thuyết minh số 7.2) > 28.250.000,"numeric__Mối quan hệ > Trả trước cho người bán ngắn hạn (Thuyết minh số 7.2) > Công ty có chung thành viên chủ chốt tới ngày 4 tháng 11 năm 2019, công ty con gián tiếp từ ngày 5 tháng 11 năm 2019","numeric__Mối quan hệ > Trả trước cho người bán ngắn hạn (Thuyết minh số 7.2) > Công ty có chung thành viên chủ chốt tới ngày 4 tháng 11 năm 2019, công ty con gián tiếp từ ngày 5 tháng 11 năm 2019_1",numeric__Nội dung nghiệp vụ > Trả trước cho người bán ngắn hạn (Thuyết minh số 7.2) > Trả trước phí dịch vụ,numeric__Số cuối năm > Trả trước cho người bán ngắn hạn (Thuyết minh số 7.2) > -,numeric__Đơn vị tính: VND > Số đầu năm > Trả trước cho người bán ngắn hạn (Thuyết minh số 7.2) > 28.250.000
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,-,28.250.000,,,,,28250000.0
Bên liên quan,Bên liên quan,Bên liên quan,Mối quan hệ,Lãi suất %/năm,Tài sản đảm bảo,Ngày đáo hạn,Số dư gốc vay,,,,,
Phải thu về cho vay ngắn hạn (Thuyết minh số 8),Phải thu về cho vay ngắn hạn (Thuyết minh số 8),Phải thu về cho vay ngắn hạn (Thuyết minh số 8),Phải thu về cho vay ngắn hạn (Thuyết minh số 8),Phải thu về cho vay ngắn hạn (Thuyết minh số 8),Phải thu về cho vay ngắn hạn (Thuyết minh số 8),Phải thu về cho vay ngắn hạn (Thuyết minh số 8),Phải thu về cho vay ngắn hạn (Thuyết minh số 8),,,,,
Công ty Hải Phát Thủ Đô,Phải thu về cho vay ngắn hạn (Thuyết minh số 8) > Công ty Hải Phát Thủ Đô,Công ty Hải Phát Thủ Đô,Công ty liên quan của thành viên HĐQT,"10,5",Không có,Ngày 8 tháng 5 năm 2020,8.000.000.000,,10.5,,,8000000000.0
TỔNG CỘNG,Phải thu về cho vay ngắn hạn (Thuyết minh số 8) > TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,8.000.000.000,,,,,8000000000.0
Bên liên quan,Bên liên quan,Bên liên quan,Mối quan hệ,Nội dung nghiệp vụ,Nội dung nghiệp vụ,Số cuối năm,Số đầu năm(Trình bày lại),,,,,
Phải thu ngắn hạn khác (Thuyết minh số 9),Phải thu ngắn hạn khác (Thuyết minh số 9),Phải thu ngắn hạn khác (Thuyết minh số 9),Phải thu ngắn hạn khác (Thuyết minh số 9),Phải thu ngắn hạn khác (Thuyết minh số 9),Phải thu ngắn hạn khác (Thuyết minh số 9),Phải thu ngắn hạn khác (Thuyết minh số 9),Phải thu ngắn hạn khác (Thuyết minh số 9),,,,,
Công ty Hải Phát Thủ Đô,Phải thu ngắn hạn khác (Thuyết minh số 9) > Công ty Hải Phát Thủ Đô,Công ty Hải Phát Thủ Đô,Công ty liên quan của thành viên HĐQT,Phải thu theo biên bản thỏa thuận Lãi phải thu,Phải thu theo biên bản thỏa thuận Lãi phải thu,16.355.465.69895.666.667,16.355.465.698-,,,,1.6355465698956667e+18,
Công ty Đại Đông Á,Phải thu ngắn hạn khác (Thuyết minh số 9) > Công ty Đại Đông Á,Công ty Đại Đông Á,Công ty liên kết,Đặt cọc cho mục đích môi giới bất động sản,Đặt cọc cho mục đích môi giới bất động sản,8.111.346.666,-,,,,8111346666.0,
Công ty Cổ phần kinh doanh Bất động sản HP Land (trước đây là công ty Cổ phần Bất động sản Hải Phát),Phải thu ngắn hạn khác (Thuyết minh số 9) > Công ty Cổ phần kinh doanh Bất động sản HP Land (trước đây là công ty Cổ phần Bất động sản Hải Phát),Công ty Cổ phần kinh doanh Bất động sản HP Land (trước đây là công ty Cổ phần Bất động sản Hải Phát),Công ty có chung thành viên quản lý chủ chốt với công ty con từ ngày 25 tháng 12 năm 2018,Phải thu theo biên bản thỏa thuận Phải thu phí dịch vụ Phải thu khoản chỉ hộ,Phải thu theo biên bản thỏa thuận Phải thu phí dịch vụ Phải thu khoản chỉ hộ,-57.158.100,605.000.000.000564.543.567-,,,,-57158100.0,
TỔNG CỘNG,Phải thu ngắn hạn khác (Thuyết minh số 9) > TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,24.619.637.131,621.920.009.265,,,,24619637131.0,621920009265.0
