row_label_raw,row_label_full,Bên liên quan > Công ty Cổ phần Xây dựng HP Thăng Long (tên cũ là Công ty Cổ phần Xây lắp Hải Phát),Mối quan hệ > Công ty liên quan của thành viên gia đình của thành viên HĐQT đến ngày 1 tháng 11 năm 2019,Nội dung nghiệp vụ > Phải trả tiền tiền xây lắpTiền xây lắp đã trả thông qua bù trừ công nợTiền xây lắp đã trả,Đơn vị tính: VND > Năm nay > (115.391.984.989)34.319.097.51053.304.901.366,Đơn vị tính: VND > Năm trước > (259.790.088.756)78.773.070.01378.231.638.000,numeric__Mối quan hệ > Công ty liên quan của thành viên gia đình của thành viên HĐQT đến ngày 1 tháng 11 năm 2019,numeric__Nội dung nghiệp vụ > Phải trả tiền tiền xây lắpTiền xây lắp đã trả thông qua bù trừ công nợTiền xây lắp đã trả,numeric__Đơn vị tính: VND > Năm nay > (115.391.984.989)34.319.097.51053.304.901.366,numeric__Đơn vị tính: VND > Năm trước > (259.790.088.756)78.773.070.01378.231.638.000
Công ty Cổ phần Bê tông Xây dựng và Thương mại Phúc Thành,Công ty Cổ phần Bê tông Xây dựng và Thương mại Phúc Thành,Công ty Cổ phần Bê tông Xây dựng và Thương mại Phúc Thành,Đồng kiểm soát,Phải trả tiền xây dựngTiền xây dựng đã trả,(7.224.163.817)7.224.163.817,(29.267.537.958)29.267.537.958,,,,
Công ty TNHH Phát triển Địa Đc Hải Phong,Công ty Cổ phần Bê tông Xây dựng và Thương mại Phúc Thành > Công ty TNHH Phát triển Địa Đc Hải Phong,Công ty TNHH Phát triển Địa Đc Hải Phong,Công ty có chung thành viên chủ chốt đến ngày 30 tháng 5 năm 2019,Chuyển tiền góp vốn,17.750.000.000,4.250.000.000,,,17750000000.0,4250000000.0
Công ty Đại Đông Á,Công ty Đại Đông Á,Công ty Đại Đông Á,Công ty liên kết,Chuyển trả tiền đặt cọc mua sản thương mạiNhận đặt cọc mua sản thương mạiChuyển tiền đặt cọc cho mục đích môi giới bất động sảnPhải trả từ nhận chuyển nhượng Bất động sảnTrả tiền tử chuyển nhượng Bất động sảnChuyển tiền góp vốn,(20.000.000.000)-8.111.346.666-,-20.000.000.000-,,,,
Công ty TNHH Một thành viên Bea Leasing,Công ty Đại Đông Á > Công ty TNHH Một thành viên Bea Leasing,Công ty TNHH Một thành viên Bea Leasing,Công ty có chung thành viên chủ chốt,Doanh thu bán bất động sản,93.980.291.567,-,,,93980291567.0,
Công ty S.E.A Thuận Phước,Công ty Đại Đông Á > Công ty S.E.A Thuận Phước,Công ty S.E.A Thuận Phước,Công ty liên kết đến ngày 27 tháng 12 năm 2019,Chuyển tiền góp vốn,-,11.300.000.000,,,,11300000000.0
