row_label_raw,row_label_full,Mã số,Khoản mục,Thuyết minh,Số trước điều chỉnh,Điều chỉnh,Số sau điều chỉnh,numeric__Khoản mục,numeric__Thuyết minh,numeric__Số trước điều chỉnh,numeric__Điều chỉnh,numeric__Số sau điều chỉnh
BÁNG CÁN ĐỐI KẾ TOÁN HỢP NHẤT,BÁNG CÁN ĐỐI KẾ TOÁN HỢP NHẤT,BÁNG CÁN ĐỐI KẾ TOÁN HỢP NHẤT,BÁNG CÁN ĐỐI KẾ TOÁN HỢP NHẤT,BÁNG CÁN ĐỐI KẾ TOÁN HỢP NHẤT,BÁNG CÁN ĐỐI KẾ TOÁN HỢP NHẤT,BÁNG CÁN ĐỐI KẾ TOÁN HỢP NHẤT,BÁNG CÁN ĐỐI KẾ TOÁN HỢP NHẤT,,,,,
131,BÁNG CÁN ĐỐI KẾ TOÁN HỢP NHẤT > 131,131,Phải thu ngắn hạn của khách hàng,(i),453.494.111.873,(16.355.465.698),437.138.646.175,,,453494111873.0,-16355465698.0,437138646175.0
136,BÁNG CÁN ĐỐI KẾ TOÁN HỢP NHẤT > 136,136,Phải thu ngắn hạn khác,"(i), (iii), (iv)",692.878.498.212,7.355.465.698,700.233.963.910,,,692878498212.0,7355465698.0,700233963910.0
141,BÁNG CÁN ĐỐI KẾ TOÁN HỢP NHẤT > 141,141,Hàng tồn kho,"(v), (vi), (xiii), (xvi)",1.160.948.437.913,2.533.745.855.366,3.694.694.293.279,,,1160948437913.0,2533745855366.0,3694694293279.0
151,BÁNG CÁN ĐỐI KẾ TOÁN HỢP NHẤT > 151,151,Chi phí trả trước ngắn hạn,"(vii), (xv)",76.947.794,54.241.371.678,54.318.319.472,,,76947794.0,54241371678.0,54318319472.0
216,BÁNG CÁN ĐỐI KẾ TOÁN HỢP NHẤT > 216,216,Phải thu dài hạn khác,"(ii), (iv), (viii)",321.000.000.000,(260.637.663.724),60.362.336.276,,,321000000000.0,-260637663724.0,60362336276.0
222,BÁNG CÁN ĐỐI KẾ TOÁN HỢP NHẤT > 222,222,Nguyễn giá – Tài sản cố định,(ix),220.074.774.291,(198.041.794.609),22.032.979.682,,,220074774291.0,-198041794609.0,22032979682.0
223,BÁNG CÁN ĐỐI KẾ TOÁN HỢP NHẤT > 223,223,Giá trị khấu hao lũy kế,(ix),(14.556.691.842),5.374.921.418,(9.181.770.424),,,-14556691842.0,5374921418.0,-9181770424.0
228,BÁNG CÁN ĐỐI KẾ TOÁN HỢP NHẤT > 228,228,Nguyễn giá – Tài sản cố định vô hình,(xix),62.469.802.950,(62.439.802.950),30.000.000,,,62469802950.0,-62439802950.0,30000000.0
231,BÁNG CÁN ĐỐI KẾ TOÁN HỢP NHẤT > 231,231,Nguyễn giá – Bất động sản đầu tư,"(ix), (xxi)",595.258.378.773,152.219.314.609,747.477.693.382,,,595258378773.0,152219314609.0,747477693382.0
232,BÁNG CÁN ĐỐI KẾ TOÁN HỢP NHẤT > 232,232,Giá trị khấu hao lũy kế,"(ix), (xvii)",(18.943.563.675),(10.970.517.128),(29.914.080.803),,,-18943563675.0,-10970517128.0,-29914080803.0
242,BÁNG CÁN ĐỐI KẾ TOÁN HỢP NHẤT > 242,242,Chi phí xây dựng cơ bản dở dang,"(ll), (v), (xvi), (xix), (xxi)",2.259.009.398.986,(2.015.589.548.958),243.419.850.028,,,2259009398986.0,-2015589548958.0,243419850028.0
252,BÁNG CÁN ĐỐI KẾ TOÁN HỢP NHẤT > 252,252,Đầu tư vào công ty liên kết,(xiv),464.182.401.159,(31.836.561.790),432.345.839.369,,,464182401159.0,-31836561790.0,432345839369.0
261,BÁNG CÁN ĐỐI KẾ TOÁN HỢP NHẤT > 261,261,Chi phí trả trước dài hạn,(vil),58.326.600.128,(56.794.371.680),1.532.228.448,,,58326600128.0,-56794371680.0,1532228448.0
268,BÁNG CÁN ĐỐI KẾ TOÁN HỢP NHẤT > 268,268,Tài sản dài hạn khác,"(iii), (viii)",,330.000.000.000,330.000.000.000,,,,330000000000.0,330000000000.0
269,BÁNG CÁN ĐỐI KẾ TOÁN HỢP NHẤT > 269,269,Lợi thế thương mại,(xiii),274.487.500.000,(274.487.500.000),,,,274487500000.0,-274487500000.0,
312,BÁNG CÁN ĐỐI KẾ TOÁN HỢP NHẤT > 312,312,Người mua trả tiền trước ngắn hạn,(x),991.250.596.903,382.337.828.378,1.373.588.425.281,,,991250596903.0,382337828378.0,1373588425281.0
313,BÁNG CÁN ĐỐI KẾ TOÁN HỢP NHẤT > 313,313,Thuế và các nghĩa vụ phải nộp Nhà nước,"(xii), (xv), (xvii)",98.283.432.593,2.867.841.435,101.151.274.028,,,98283432593.0,2867841435.0,101151274028.0
315,BÁNG CÁN ĐỐI KẾ TOÁN HỢP NHẤT > 315,315,Chi phí phải trả ngắn hạn,(vi),85.068.527.314,156.386.306.948,241.454.834.262,,,85068527314.0,156386306948.0,241454834262.0
319,BÁNG CÁN ĐỐI KẾ TOÁN HỢP NHẤT > 319,319,Phải trả ngắn hạn khác,"(ii), (xi)",289.231.904.803,110.976.279.190,400.208.183.993,,,289231904803.0,110976279190.0,400208183993.0
