row_label_raw,row_label_full,Mã số,CHỈ TIÊU,Thuyết minh,Năm nay,Năm trước (Trình bày lại),numeric__CHỈ TIÊU,numeric__Thuyết minh,numeric__Năm nay,numeric__Năm trước (Trình bày lại)
,,,I. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,,,,,,,
01,01,01,Lợi nhuận trước thuế Điều chính cho các khoản:,,632.518.669.714,642.510.127.079,,,632518669714.0,642510127079.0
02,02,02,Khẩu hao tài sản cố định hữu hình và bất động sản đầu tư và hao món tài sản cố định vô hình,,23.358.005.271,22.736.136.595,,,23358005271.0,22736136595.0
03,03,03,Các khoản dự phòng/(hoàn nhập dự phòng),,30.000.000.000,(39.000.000.000),,,30000000000.0,-39000000000.0
05,05,05,Lãi từ hoạt động đầu tư,,(481.427.751.064),(245.838.114.617),,,-481427751064.0,-245838114617.0
06,06,06,Chi phí lãi vay và chi phí phát hành trái phiếu,29,130.867.040.443,13.601.286.404,,29.0,130867040443.0,13601286404.0
08,08,08,Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,,335.315.964.364,394.009.435.461,,,335315964364.0,394009435461.0
09,09,09,Giảm/(tăng) các khoản phải thu,,557.844.551.182,(308.871.697.661),,,557844551182.0,-308871697661.0
10,10,10,"Giảm/(tăng) hàng tồn kho Giám các khoản phải trả (không kể lãi vay phải trả, thuế thu nhập doanh nghiệp phải nộp)",,1.647.046.642.183,(553.231.081.063),,,1647046642183.0,-553231081063.0
11,11,11,Giảm chỉ phí trả trước,,(843.110.893.937),(73.837.585.958),,,-843110893937.0,-73837585958.0
12,12,12,Tiền lãi vay đã trả,,22.674.624.164,(18.843.417.638),,,22674624164.0,-18843417638.0
14,14,14,Thuế thu nhập doanh nghiệp đã nộp,20,(220.890.152.470),(11.798.180.202),,20.0,-220890152470.0,-11798180202.0
15,15,15,Tiền chi khác từ hoạt động kinh doanh,24,(112.432.242.404),(113.293.856.387),,24.0,-112432242404.0,-113293856387.0
17,17,17,Tiền chi khác từ hoạt động kinh doanh,24,(2.379.400.000),(647.350.000),,24.0,-2379400000.0,-647350000.0
20,20,20,Lưu chuyển tiền thuần từ/(sử dụng vào) hoạt động kinh doanh,,1.384.069.293.082,(686.513.733.448),,,1384069293082.0,-686513733448.0
,,,II. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,,,,,,,
21,21,21,"Tiền chỉ để mua sắm, xây dựng tài sản cố định (TSCĐ) và các tài sản dài hạn khác",,(125.537.234.506),(51.618.019.056),,,-125537234506.0,-51618019056.0
22,22,22,Tiền thu từ thanh lýTSCĐ,,-,2.432.454.546,,,,2432454546.0
23,23,23,"Tiền chỉ cho vay, mua các công cụ nợ của đơn vị khác",,(223.860.589.235),(45.000.000.000),,,-223860589235.0,-45000000000.0
24,24,24,"Tiền thu hồi cho vay, bán lại công cụ nợ của đơn vị khác",,45.000.000.000,-,,,45000000000.0,
25,25,25,Tiền chỉ để đầu tư góp vốn vào đơn vị khác,,(1.478.877.493.850),(34.864.852.507),,,-1478877493850.0,-34864852507.0
26,26,26,Tiền thu hồi đầu tư góp vốn vào đơn vị khác,,592.906.785.538,263.260.000.000,,,592906785538.0,263260000000.0
27,27,27,Tiền thu lãi cho vay và cổ tức,,9.023.907.286,10.173.619.128,,,9023907286.0,10173619128.0
30,30,30,Lưu chuyển tiền thuần (sử dụng vào)/từ hoạt động đầu tư,,(1.181.344.624.767),144.383.202.111,,,-1181344624767.0,144383202111.0
