row_label_raw,row_label_full,Tên đơn vị,Số lượngcô phần sở hữu > Số cuối năm,Số lượngcô phần sở hữu > Số đầu năm,"Tỷ lệ sở hữu, đồng thờilà tỷ lệ biểu quyết (%) > Số cuối năm","Tỷ lệ sở hữu, đồng thờilà tỷ lệ biểu quyết (%) > Số đầu năm",numeric__Số lượngcô phần sở hữu > Số cuối năm,numeric__Số lượngcô phần sở hữu > Số đầu năm,"numeric__Tỷ lệ sở hữu, đồng thờilà tỷ lệ biểu quyết (%) > Số cuối năm","numeric__Tỷ lệ sở hữu, đồng thờilà tỷ lệ biểu quyết (%) > Số đầu năm"
Công ty Hải Phát Thủ Đò,Công ty Hải Phát Thủ Đò,Công ty Hải Phát Thủ Đò,11.008.000,11.008.000,"13,76%","13,76%",11008000.0,11008000.0,0.1376,0.1376
Công ty Cổ phần Đầu tư Phát triểnHạ tầng và Đỏ thị Đường sắt,Công ty Cổ phần Đầu tư Phát triểnHạ tầng và Đỏ thị Đường sắt,Công ty Cổ phần Đầu tư Phát triểnHạ tầng và Đỏ thị Đường sắt,500.000,500.000,10%,10%,500000.0,500000.0,0.1,0.1
Công ty TNHH Phát triển Địa ốc HảiPhong (i),Công ty TNHH Phát triển Địa ốc HảiPhong (i),Công ty TNHH Phát triển Địa ốc HảiPhong (i),(*),(*),-,10%,,,,0.1
