row_label_raw,row_label_full,col_0,Số cuối năm,Đơn vị tính: VND Số đầu năm (Trình bày lại),numeric__Số cuối năm,numeric__Đơn vị tính: VND Số đầu năm (Trình bày lại)
Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,,
Chi phí bán hàng liên quan đến các căn hộ chưa bàn giao,Ngắn hạn > Chi phí bán hàng liên quan đến các căn hộ chưa bàn giao,Chi phí bán hàng liên quan đến các căn hộ chưa bàn giao,12.000.258.782,54.318.319.472,12000258782.0,54318319472.0
"Thuế TNDN tạm tỉnh cho các khoản thanh toán trước tiền mua căn hộ, biết thư của khách hàng","Ngắn hạn > Thuế TNDN tạm tỉnh cho các khoản thanh toán trước tiền mua căn hộ, biết thư của khách hàng","Thuế TNDN tạm tỉnh cho các khoản thanh toán trước tiền mua căn hộ, biết thư của khách hàng",3.519.138.886,-,3519138886.0,
"Công cụ, dụng cụ","Ngắn hạn > Công cụ, dụng cụ","Công cụ, dụng cụ",2.254.166.735,-,2254166735.0,
TỔNG CỘNG,Ngắn hạn > TỔNG CỘNG,TỔNG CỘNG,17.773.564.403,54.318.319.472,17773564403.0,54318319472.0
Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,,
Chi phí sửa chữa lớn,Dài hạn > Chi phí sửa chữa lớn,Chi phí sửa chữa lớn,10.480.288.993,-,10480288993.0,
"Công cụ, dụng cụ","Dài hạn > Công cụ, dụng cụ","Công cụ, dụng cụ",8.639.416.518,1.532.228.448,8639416518.0,1532228448.0
Chi phí bảo trì phần mềm trả trước,Dài hạn > Chi phí bảo trì phần mềm trả trước,Chi phí bảo trì phần mềm trả trước,2.234.166.665,-,2234166665.0,
TỔNG CỘNG,Dài hạn > TỔNG CỘNG,TỔNG CỘNG,21.353.872.176,1.532.228.448,21353872176.0,1532228448.0
