row_label_raw,row_label_full,col_0,Số đầu năm(Trình bày lại),Số phải nộptrong năm,Tăng do mua công ty con,Số đã nộptrong năm,Số cuối năm,numeric__Số đầu năm(Trình bày lại),numeric__Số phải nộptrong năm,numeric__Tăng do mua công ty con,numeric__Số đã nộptrong năm,numeric__Số cuối năm
Phải nộp,Phải nộp,Phải nộp,Phải nộp,Phải nộp,Phải nộp,Phải nộp,Phải nộp,,,,,
Thuế thu nhập doanh nghiệp,Phải nộp > Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,100.620.571.403,167.539.750.476,-,112.432.242.404,155.728.079.475,100620571403.0,167539750476.0,,112432242404.0,155728079475.0
Thuế giá trị gia tăng,Phải nộp > Thuế giá trị gia tăng,Thuế giá trị gia tăng,-,145.210.163.933,1.549.430.914,95.811.320.091,50.948.274.756,,145210163933.0,1549430914.0,95811320091.0,50948274756.0
Thuế thu nhập cá nhân,Phải nộp > Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,530.702.625,19.371.850.951,11.121.515,14.454.301.759,5.459.373.332,530702625.0,19371850951.0,11121515.0,14454301759.0,5459373332.0
Các khoản phải nộp Nhà nước khác,Phải nộp > Các khoản phải nộp Nhà nước khác,Các khoản phải nộp Nhà nước khác,-,2.964.037.506,-,2.964.037.506,-,,2964037506.0,,2964037506.0,
TỔNG CỘNG,Phải nộp > TỔNG CỘNG,TỔNG CỘNG,101.151.274.028,335.085.802.866,1.560.552.429,225.661.901.760,212.135.727.563,101151274028.0,335085802866.0,1560552429.0,225661901760.0,212135727563.0
