row_label_raw,row_label_full,Mã số,NGUỒN VỐN,Thuyết minh,Số cuối năm,Số đầu năm (Trình bày lại),numeric__NGUỒN VỐN,numeric__Thuyết minh,numeric__Số cuối năm,numeric__Số đầu năm (Trình bày lại)
300,300,300,C. NỘ PHẢI TRẢ,,3.836.841.692.723,4.976.540.096.093,,,3836841692723.0,4976540096093.0
310,310,310,I. Nợ ngắn hạn,,2.298.780.887.031,3.177.161.571.666,,,2298780887031.0,3177161571666.0
311,311,311,1. Phải trả người bán ngắn hạn,19.1,404.068.684.322,374.062.025.578,,191.0,404068684322.0,374062025578.0
312,312,312,2. Người mua trả tiền trước ngắn hạn,19.2,293.988.199.037,1.373.588.425.281,,192.0,293988199037.0,1373588425281.0
313,313,313,3. Thuế và các khoản phải nộp Nhà nước,20,212.135.727.563,101.151.274.028,,20.0,212135727563.0,101151274028.0
314,314,314,4. Phải trả người lao động,,17.138.534.163,3.400.840.103,,,17138534163.0,3400840103.0
315,315,315,5. Chỉ phí phải trả ngắn hạn,21,317.195.044.058,241.454.834.262,,21.0,317195044058.0,241454834262.0
318,318,318,6. Doanh thu chưa thực hiện ngắn hạn,,9.748.964.415,-,,,9748964415.0,
319,319,319,7. Phải trả ngắn hạn khác,22,154.442.142.283,400.208.183.993,,22.0,154442142283.0,400208183993.0
320,320,320,8. Vay ngắn hạn,23,868.945.426.355,671.739.539.717,,23.0,868945426355.0,671739539717.0
322,322,322,9. Quỹ khen thưởng phúc lợi,24,21.118.164.835,11.556.448.704,,24.0,21118164835.0,11556448704.0
330,330,330,II. Nợ dài hạn,,1.538.060.805.692,1.799.378.524.427,,,1538060805692.0,1799378524427.0
337,337,337,1. Phải trả dài hạn khác,22,391.834.574.677,228.745.405.901,,22.0,391834574677.0,228745405901.0
338,338,338,2. Vay dài hạn,23,1.142.699.647.825,1.567.570.396.655,,23.0,1142699647825.0,1567570396655.0
341,341,341,3. Thuế thu nhập hoãn lại phải trả,33.2,3.526.583.190,3.062.721.871,,332.0,3526583190.0,3062721871.0
400,400,400,D. VỐN CHỦ SỞ HỮU,,2.992.799.766.652,2.577.575.785.524,,,2992799766652.0,2577575785524.0
410,410,410,I. Vốn chủ sở hữu,25,2.992.799.766.652,2.577.575.785.524,,25.0,2992799766652.0,2577575785524.0
411,411,411,1. Vốn cổ phần,,1.999.963.050.000,1.999.963.050.000,,,1999963050000.0,1999963050000.0
411a,411a,411a,- Cổ phiếu phổ thông có quyền biểu quyết,,1.999.963.050.000,1.999.963.050.000,,,1999963050000.0,1999963050000.0
412,412,412,2. Thặng dư vốn cổ phần,,60.986.800.000,60.986.800.000,,,60986800000.0,60986800000.0
421,421,421,3. Lợi nhuận sau thuế chưa phân phối,,893.787.588.711,502.414.878.523,,,893787588711.0,502414878523.0
421a,421a,421a,- Lợi nhuận sau thuế chưa phân phối lũy kế đến cuối năm trước,,489.669.354.221,11.601.134.119,,,489669354221.0,11601134119.0
421b,421b,421b,- Lợi nhuận sau thuế chưa phân phối năm nay,,404.118.234.490,490.813.744.404,,,404118234490.0,490813744404.0
429,429,429,4. Lợi ích cổ đông không kiểm soát,26,38.062.327.941,14.211.057.001,,26.0,38062327941.0,14211057001.0
440,440,440,TỔNG CỘNG NGUỒN VỐN,,6.829.641.459.375,7.554.115.881.817,,,6829641459375.0,7554115881817.0
