row_label_raw,row_label_full,Bên liên quan > Chi phí phải trả ngắn hạn (Thuyết minh số 21),Mối quan hệ > Chi phí phải trả ngắn hạn (Thuyết minh số 21),Nội dung nghiệp vụ > Chi phí phải trả ngắn hạn (Thuyết minh số 21),Số cuối năm > Chi phí phải trả ngắn hạn (Thuyết minh số 21),Đơn vị tính: VND > Chi phí phải trả ngắn hạn (Thuyết minh số 21),numeric__Mối quan hệ > Chi phí phải trả ngắn hạn (Thuyết minh số 21),numeric__Nội dung nghiệp vụ > Chi phí phải trả ngắn hạn (Thuyết minh số 21),numeric__Số cuối năm > Chi phí phải trả ngắn hạn (Thuyết minh số 21),numeric__Đơn vị tính: VND > Chi phí phải trả ngắn hạn (Thuyết minh số 21)
Công ty Hải Phát Thủ Đô,Công ty Hải Phát Thủ Đô,Công ty Hải Phát Thủ Đô,Công ty liên quan của thành viên HĐQT,Phải trả tiền lãi vay,-,118.136.986,,,,118136986.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,,,-,118.136.986,,,,118136986.0
Phải trả ngắn hạn khác (Thuyết minh số 22),Phải trả ngắn hạn khác (Thuyết minh số 22),Phải trả ngắn hạn khác (Thuyết minh số 22),Phải trả ngắn hạn khác (Thuyết minh số 22),Phải trả ngắn hạn khác (Thuyết minh số 22),Phải trả ngắn hạn khác (Thuyết minh số 22),Phải trả ngắn hạn khác (Thuyết minh số 22),,,,
Công ty Hải Phát Thủ Đô,Phải trả ngắn hạn khác (Thuyết minh số 22) > Công ty Hải Phát Thủ Đô,Công ty Hải Phát Thủ Đô,Công ty liên quan của thành viên HĐQT,"Phải trả ký quỹ, ký cược",490.060.919,-,,,490060919.0,
Công ty Đại Đông Á,Phải trả ngắn hạn khác (Thuyết minh số 22) > Công ty Đại Đông Á,Công ty Đại Đông Á,Công ty liên kết,Phải trả tiền nhận đặt cọc,-,20.000.000.000,,,,20000000000.0
TỔNG CỘNG,Phải trả ngắn hạn khác (Thuyết minh số 22) > TỔNG CỘNG,TỔNG CỘNG,,,490.060.919,20.000.000.000,,,490060919.0,20000000000.0
Phải trả dài hạn khác (Thuyết minh số 22),Phải trả dài hạn khác (Thuyết minh số 22),Phải trả dài hạn khác (Thuyết minh số 22),Phải trả dài hạn khác (Thuyết minh số 22),Phải trả dài hạn khác (Thuyết minh số 22),Phải trả dài hạn khác (Thuyết minh số 22),Phải trả dài hạn khác (Thuyết minh số 22),,,,
Công ty Hải Phát Thủ Đô,Phải trả dài hạn khác (Thuyết minh số 22) > Công ty Hải Phát Thủ Đô,Công ty Hải Phát Thủ Đô,Công ty liên quan của thành viên HĐQT,Phải trả tiền nhận đặt cọc,202.200.220.000,202.200.220.000,,,202200220000.0,202200220000.0
TỔNG CỘNG,Phải trả dài hạn khác (Thuyết minh số 22) > TỔNG CỘNG,TỔNG CỘNG,,,202.200.220.000,202.200.220.000,,,202200220000.0,202200220000.0
