row_label_raw,row_label_full,col_0,Năm nay,Đơn vị tính: VNDNăm trước(Trình bày lại),numeric__Năm nay,numeric__Đơn vị tính: VNDNăm trước(Trình bày lại)
Chi phí bán hàng,Chi phí bán hàng,Chi phí bán hàng,Chi phí bán hàng,Chi phí bán hàng,,
- Chi phí môi giới,Chi phí bán hàng > - Chi phí môi giới,- Chi phí môi giới,76.199.888.287,-,76199888287.0,
"- Chi phí quảng cáo, khuyến mãi","Chi phí bán hàng > - Chi phí quảng cáo, khuyến mãi","- Chi phí quảng cáo, khuyến mãi",4.470.164.088,11.827.173.652,4470164088.0,11827173652.0
- Chi phí nhân viên,Chi phí bán hàng > - Chi phí nhân viên,- Chi phí nhân viên,3.573.245.550,4.434.096.363,3573245550.0,4434096363.0
- Chi phí bán hàng khác,Chi phí bán hàng > - Chi phí bán hàng khác,- Chi phí bán hàng khác,323.484.238,453.670.101,323484238.0,453670101.0
,,,84.569.782.163,16.714.940.116,84569782163.0,16714940116.0
Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,,
- Chi phí nhân viên,Chi phí quản lý doanh nghiệp > - Chi phí nhân viên,- Chi phí nhân viên,58.556.834.215,32.674.435.044,58556834215.0,32674435044.0
- Chi phí dịch vụ mua ngoài,Chi phí quản lý doanh nghiệp > - Chi phí dịch vụ mua ngoài,- Chi phí dịch vụ mua ngoài,33.286.111.595,51.704.252.613,33286111595.0,51704252613.0
- Trích lập/(hoản nhập) dự phòng,Chi phí quản lý doanh nghiệp > - Trích lập/(hoản nhập) dự phòng,- Trích lập/(hoản nhập) dự phòng,30.000.000.000,(39.000.000.000),30000000000.0,-39000000000.0
- Chi phí quản lý doanh nghiệp khác,Chi phí quản lý doanh nghiệp > - Chi phí quản lý doanh nghiệp khác,- Chi phí quản lý doanh nghiệp khác,22.730.044.459,7.328.613.291,22730044459.0,7328613291.0
,,,144.572.990.269,52.707.300.948,144572990269.0,52707300948.0
TỔNG CÔNG,Chi phí quản lý doanh nghiệp > TỔNG CÔNG,TỔNG CÔNG,229.142.772.432,69.422.241.064,229142772432.0,69422241064.0
