row_label_raw,row_label_full,col_0,Số cuối năm,Đơn vị tính: VND Số đầu năm (Trình bày lại),numeric__Số cuối năm,numeric__Đơn vị tính: VND Số đầu năm (Trình bày lại)
Phải thu từ chuyển nhượng bất động sản,Phải thu từ chuyển nhượng bất động sản,Phải thu từ chuyển nhượng bất động sản,242.997.431.329,372.348.117.893,242997431329.0,372348117893.0
"Phải thu từ chuyển nhượng cổ phần, chứng khoán kinh doanh","Phải thu từ chuyển nhượng cổ phần, chứng khoán kinh doanh","Phải thu từ chuyển nhượng cổ phần, chứng khoán kinh doanh",150.984.755.342,30.000.000.000,150984755342.0,30000000000.0
Phải thu từ hoạt động môi giới bất động sản,Phải thu từ hoạt động môi giới bất động sản,Phải thu từ hoạt động môi giới bất động sản,84.551.669.439,-,84551669439.0,
Phải thu từ hoạt động cho thuê bất động sản và các hoạt động liên quan,Phải thu từ hoạt động cho thuê bất động sản và các hoạt động liên quan,Phải thu từ hoạt động cho thuê bất động sản và các hoạt động liên quan,36.145.490.042,25.999.333.910,36145490042.0,25999333910.0
Phải thu từ hoạt động khác,Phải thu từ hoạt động khác,Phải thu từ hoạt động khác,1.501.245.932,8.791.194.372,1501245932.0,8791194372.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,516.180.592.084,437.138.646.175,516180592084.0,437138646175.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Phải thu ngắn hạn của khách hàng,Trong đó: > Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,333.088.060.663,169.320.530.878,333088060663.0,169320530878.0
Phải thu ngắn hạn từ các bên liên quan (Thuyết minh số 34),Trong đó: > Phải thu ngắn hạn từ các bên liên quan (Thuyết minh số 34),Phải thu ngắn hạn từ các bên liên quan (Thuyết minh số 34),183.092.531.421,267.818.115.297,183092531421.0,267818115297.0
Chỉ tiết các khoản phải thu ngắn hạn từ khách hàng chiếm trên 10% tổng phải thu:Công ty Cổ phần Đầu tư An Thịnh (i)Công ty Cổ phần kinh doanh Bất động sản HPLand (trước đây là Công ty Cổ phần Bất động sản Hải Phát),Trong đó: > Chỉ tiết các khoản phải thu ngắn hạn từ khách hàng chiếm trên 10% tổng phải thu:Công ty Cổ phần Đầu tư An Thịnh (i)Công ty Cổ phần kinh doanh Bất động sản HPLand (trước đây là Công ty Cổ phần Bất động sản Hải Phát),Chỉ tiết các khoản phải thu ngắn hạn từ khách hàng chiếm trên 10% tổng phải thu:Công ty Cổ phần Đầu tư An Thịnh (i)Công ty Cổ phần kinh doanh Bất động sản HPLand (trước đây là Công ty Cổ phần Bất động sản Hải Phát),100.000.000.000,-,100000000000.0,
Chỉ tiết các khoản phải thu ngắn hạn từ khách hàng chiếm trên 10% tổng phải thu:Công ty Cổ phần Đầu tư An Thịnh (i)Công ty Cổ phần kinh doanh Bất động sản HPLand (trước đây là Công ty Cổ phần Bất động sản Hải Phát),Trong đó: > Chỉ tiết các khoản phải thu ngắn hạn từ khách hàng chiếm trên 10% tổng phải thu:Công ty Cổ phần Đầu tư An Thịnh (i)Công ty Cổ phần kinh doanh Bất động sản HPLand (trước đây là Công ty Cổ phần Bất động sản Hải Phát),Chỉ tiết các khoản phải thu ngắn hạn từ khách hàng chiếm trên 10% tổng phải thu:Công ty Cổ phần Đầu tư An Thịnh (i)Công ty Cổ phần kinh doanh Bất động sản HPLand (trước đây là Công ty Cổ phần Bất động sản Hải Phát),12.169.023.043,266.985.557.757,12169023043.0,266985557757.0
Dự phòng phải thu khó đol (Thuyết minh số 10),Trong đó: > Dự phòng phải thu khó đol (Thuyết minh số 10),Dự phòng phải thu khó đol (Thuyết minh số 10),(30.508.901.264),-,-30508901264.0,
