row_label_raw,row_label_full,Số đầu năm,Năm nay > 14.211.057.001,Đơn vị tính: VND > Năm trước > 14.215.202.459,numeric__Năm nay > 14.211.057.001,numeric__Đơn vị tính: VND > Năm trước > 14.215.202.459
Tăng do mua công ty con,Tăng do mua công ty con,Tăng do mua công ty con,1.797.335.898,-,1797335898.0,
Tăng do thành lập công ty con,Tăng do thành lập công ty con,Tăng do thành lập công ty con,30.000.000.000,-,30000000000.0,
Giảm do chuyển nhượng công ty con,Giảm do chuyển nhượng công ty con,Giảm do chuyển nhượng công ty con,(14.211.057.001),-,-14211057001.0,
Lợi nhuận sau thuế chưa phân phối/(lỗ) lũy kế,Lợi nhuận sau thuế chưa phân phối/(lỗ) lũy kế,Lợi nhuận sau thuế chưa phân phối/(lỗ) lũy kế,6.264.992.043,(4.145.458),6264992043.0,-4145458.0
Số cuối năm,Số cuối năm,Số cuối năm,38.062.327.941,14.211.057.001,38062327941.0,14211057001.0
