row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúc","Máy móc,thiết bị",Phương tiệnvận tải,Thiết bịvăn phòng,Đơn vị tính: VNDTổng cộng,"numeric__Nhà cửa,vật kiến trúc","numeric__Máy móc,thiết bị",numeric__Phương tiệnvận tải,numeric__Thiết bịvăn phòng,numeric__Đơn vị tính: VNDTổng cộng
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,,,
Số đầu năm (Trình bày lại)- Mua trong năm- Phân loại từ bất động sản đầu tư(Thuyết minh số 15),Nguyên giá: > Số đầu năm (Trình bày lại)- Mua trong năm- Phân loại từ bất động sản đầu tư(Thuyết minh số 15),Số đầu năm (Trình bày lại)- Mua trong năm- Phân loại từ bất động sản đầu tư(Thuyết minh số 15),3.430.375.70298.810.285.086102.240.660.788,469.918.181171.490.12416.111.391.65316.752.799.958,18.825.974.5461.089.411.465-19.915.386.011,2.737.086.955704.430.055-3.441.517.010,22.032.979.6825.395.707.346114.921.676.739142.350.363.767,3.430375702988103e+32,4.6991818117149014e+39,,,2.2032979682539572e+44
Số cuối năm,Nguyên giá: > Số cuối năm,Số cuối năm,3.430.375.70298.810.285.086102.240.660.788,469.918.181171.490.12416.111.391.65316.752.799.958,18.825.974.5461.089.411.465-19.915.386.011,2.737.086.955704.430.055-3.441.517.010,22.032.979.6825.395.707.346114.921.676.739142.350.363.767,3.430375702988103e+32,4.6991818117149014e+39,,,2.2032979682539572e+44
Trong đó:Dã khấu hao hết,Nguyên giá: > Trong đó:Dã khấu hao hết,Trong đó:Dã khấu hao hết,-,469.918.182,3.070.978.182,1.318.033.333,4.858.929.697,,469918182.0,3070978182.0,1318033333.0,4858929697.0
Hao mòn lũy kế:,Hao mòn lũy kế:,Hao mòn lũy kế:,Hao mòn lũy kế:,Hao mòn lũy kế:,Hao mòn lũy kế:,Hao mòn lũy kế:,Hao mòn lũy kế:,,,,,
Số đầu năm (Trình bày lại)- Khấu hao trong năm- Phân loại từ bất động sản đầu tư(Thuyết minh số 15),Số đầu năm (Trình bày lại)- Khấu hao trong năm- Phân loại từ bất động sản đầu tư(Thuyết minh số 15),Số đầu năm (Trình bày lại)- Khấu hao trong năm- Phân loại từ bất động sản đầu tư(Thuyết minh số 15),(985.039.560)(3.333.187.126),(277.362.613)(23.901.447)(1.811.629.177),(7.438.754.225)(3.512.639.057)-,(1.465.653.586)(618.384.798)-,(9.181.770.424)(5.139.964.862)(5.144.816.303),,,,,
Số cuối năm,Số đầu năm (Trình bày lại)- Khấu hao trong năm- Phân loại từ bất động sản đầu tư(Thuyết minh số 15) > Số cuối năm,Số cuối năm,(4.318.226.686),(2.112.893.237),(10.951.393.282),(2.084.038.384),(19.466.551.589),-4318226686.0,-2112893237.0,-10951393282.0,-2084038384.0,-19466551589.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,,,
Số đầu năm (Trình bày lại),Giá trị còn lại: > Số đầu năm (Trình bày lại),Số đầu năm (Trình bày lại),-,192.555.568,11.387.220.321,1.271.433.369,12.851.209.258,,192555568.0,11387220321.0,1271433369.0,12851209258.0
Số cuối năm,Giá trị còn lại: > Số cuối năm,Số cuối năm,97.922.434.102,14.639.906.721,8.963.992.729,1.357.478.626,122.883.812.178,97922434102.0,14639906721.0,8963992729.0,1357478626.0,122883812178.0
Trong đó:Tài sản sử dụng để thế chấp (*),Giá trị còn lại: > Trong đó:Tài sản sử dụng để thế chấp (*),Trong đó:Tài sản sử dụng để thế chấp (*),-,-,833.007.349,-,833.007.349,,,833007349.0,,833007349.0
