row_label_raw,row_label_full,col_0,Số đầu năm (Trình bày lại) > Giá trị,Số đầu năm (Trình bày lại) > Số có khả năngtrả nợ,Số phát sinh trong năm > Tăng,Số phát sinh trong năm > Giảm,Số cuối năm > Giá trị,Số cuối năm > Số có khả năngtrả nợ,numeric__Số đầu năm (Trình bày lại) > Giá trị,numeric__Số đầu năm (Trình bày lại) > Số có khả năngtrả nợ,numeric__Số phát sinh trong năm > Tăng,numeric__Số phát sinh trong năm > Giảm,numeric__Số cuối năm > Giá trị,numeric__Số cuối năm > Số có khả năngtrả nợ
Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,,,,,,
Vay ngắn hàng(Thuyết minh số 23.1),Vay ngắn hạn > Vay ngắn hàng(Thuyết minh số 23.1),Vay ngắn hàng(Thuyết minh số 23.1),457.316.306.840,457.316.306.840,216.030.303.954,489.775.618.735,183.570.992.059,183.570.992.059,457316306840.0,457316306840.0,216030303954.0,489775618735.0,183570992059.0,183570992059.0
Vay dài hạn ngân hàng đếnhạn trả(Thuyết minh số 23.1),Vay ngắn hạn > Vay dài hạn ngân hàng đếnhạn trả(Thuyết minh số 23.1),Vay dài hạn ngân hàng đếnhạn trả(Thuyết minh số 23.1),56.000.000.000,56.000.000.000,353.027.200.676,316.281.432.421,92.745.768.255,92.745.768.255,56000000000.0,56000000000.0,353027200676.0,316281432421.0,92745768255.0,92745768255.0
Trải phiếu(Thuyết minh số 23.2),Vay ngắn hạn > Trải phiếu(Thuyết minh số 23.2),Trải phiếu(Thuyết minh số 23.2),158.423.232.877,158.423.232.877,1.578.767.123,160.000.000.000,-,-,158423232877.0,158423232877.0,1578767123.0,160000000000.0,,
Trải phiếu dài hạn đến hạntrả(Thuyết minh số 23.2),Vay ngắn hạn > Trải phiếu dài hạn đến hạntrả(Thuyết minh số 23.2),Trải phiếu dài hạn đến hạntrả(Thuyết minh số 23.2),-,-,592.628.666.041,-,592.628.666.041,592.628.666.041,,,592628666041.0,,592628666041.0,592628666041.0
TỔNG CỘNG,Vay ngắn hạn > TỔNG CỘNG,TỔNG CỘNG,671.739.539.717,671.739.539.717,1.163.262.937.794,966.057.051.156,868.945.426.355,868.945.426.355,671739539717.0,671739539717.0,1163262937794.0,966057051156.0,868945426355.0,868945426355.0
Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,,,,,,
Vay ngân hàng(Thuyết minh số 23.1),Vay dài hạn > Vay ngân hàng(Thuyết minh số 23.1),Vay ngân hàng(Thuyết minh số 23.1),347.481.432.421,347.481.432.421,51.540.200.000,353.041.510.200,45.980.122.221,45.980.122.221,347481432421.0,347481432421.0,51540200000.0,353041510200.0,45980122221.0,45980122221.0
Trải phiếu(Thuyết minh số 23.2),Vay dài hạn > Trải phiếu(Thuyết minh số 23.2),Trải phiếu(Thuyết minh số 23.2),1.220.088.964.234,1.220.088.964.234,469.259.227.411,592.628.666.041,1.096.719.525.604,1.096.719.525.604,1220088964234.0,1220088964234.0,469259227411.0,592628666041.0,1096719525604.0,1096719525604.0
TỔNG CỘNG,Vay dài hạn > TỔNG CỘNG,TỔNG CỘNG,1.567.570.396.655,1.567.570.396.655,520.799.427.411,945.670.176.241,1.142.699.647.825,1.142.699.647.825,1567570396655.0,1567570396655.0,520799427411.0,945670176241.0,1142699647825.0,1142699647825.0
