row_label_raw,row_label_full,Bên cho vay > Ngân hàng TMCP Công Thương Việt Nam – Chi nhánh ĐỒ Thành > Trong đó: vay dài hạn đến hạn trả > Ngân hàng TMCP Bảo Việt – Chi nhánh Sở Giao dịch > Trong đó: vay dài hạn đến hạn trả > Ngân hàng TMCP Tiên Phong - Chi nhánh Thành ĐỒ > Trong đó: vay dài hạn đến hạn trả,Số cuối năm (VND) > 87.200.000.000 > 87.000.000.000 > 50.939.200.000 > 5.659.911.111 > 586.690.476 > 85.857.144,Ngày đáo hạn > Từ ngày 25 tháng 2 năm 2020 đến ngày 26 tháng 2 năm 2021 > Từ ngày 25 tháng 12 năm 2020 đến ngày 25 tháng 12 năm 2022 > Từ ngày 28 tháng 10 năm 2019 đến ngày 28 tháng 10 năm 2026,"Lãi suất > Lãi suất trong năm đầu tiên là 5% và có thể thay đổi lãi suất cho vay hỗ trợ nhà ở do Ngân hàng Nhà nước công bố hàng năm > Lãi suất trong 3 tháng đầu tiên là 10,64% và lãi suất trong kỳ tiếp theo bằng lãi suất tiền gửi kỳ hạn 12 tháng trả lãi sau của Ngân hàng cộng biên độ 3,04% > Lãi suất 9,4%/năm được điều chỉnh 3 tháng một lần bằng lãi suất cơ sở kì hạn 3 tháng cộng biên độ 5,15%/năm",Tài sản đảm bảo > (ii) > (iii) > (iv),numeric__Số cuối năm (VND) > 87.200.000.000 > 87.000.000.000 > 50.939.200.000 > 5.659.911.111 > 586.690.476 > 85.857.144,numeric__Ngày đáo hạn > Từ ngày 25 tháng 2 năm 2020 đến ngày 26 tháng 2 năm 2021 > Từ ngày 25 tháng 12 năm 2020 đến ngày 25 tháng 12 năm 2022 > Từ ngày 28 tháng 10 năm 2019 đến ngày 28 tháng 10 năm 2026,"numeric__Lãi suất > Lãi suất trong năm đầu tiên là 5% và có thể thay đổi lãi suất cho vay hỗ trợ nhà ở do Ngân hàng Nhà nước công bố hàng năm > Lãi suất trong 3 tháng đầu tiên là 10,64% và lãi suất trong kỳ tiếp theo bằng lãi suất tiền gửi kỳ hạn 12 tháng trả lãi sau của Ngân hàng cộng biên độ 3,04% > Lãi suất 9,4%/năm được điều chỉnh 3 tháng một lần bằng lãi suất cơ sở kì hạn 3 tháng cộng biên độ 5,15%/năm",numeric__Tài sản đảm bảo > (ii) > (iii) > (iv)
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,138.725.890.476,,,,138725890476.0,,,
Trong đó:Vay dài hạnVay dài hạn đến hạn trả,Trong đó:Vay dài hạnVay dài hạn đến hạn trả,Trong đó:Vay dài hạnVay dài hạn đến hạn trả,45.980.122.22192.745.768.255,,,,4.598012222192746e+21,,,
