row_label_raw,row_label_full,col_0,Số cuối năm,Đơn vị tính: VND Số đầu năm (Trình bày lại),numeric__Số cuối năm,numeric__Đơn vị tính: VND Số đầu năm (Trình bày lại)
Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,,
Quỹ bảo trì căn hộ (i),Ngắn hạn > Quỹ bảo trì căn hộ (i),Quỹ bảo trì căn hộ (i),76.150.812.973,85.190.729.679,76150812973.0,85190729679.0
"Tiền thu từ các hợp đồng đặt cọc, vay vốn và hợp đồng khác liên quan đến các dự án bất động sản","Ngắn hạn > Tiền thu từ các hợp đồng đặt cọc, vay vốn và hợp đồng khác liên quan đến các dự án bất động sản","Tiền thu từ các hợp đồng đặt cọc, vay vốn và hợp đồng khác liên quan đến các dự án bất động sản",9.895.443.166,117.081.344.075,9895443166.0,117081344075.0
Thu chi hộ,Ngắn hạn > Thu chi hộ,Thu chi hộ,30.328.275.000,42.600.775.000,30328275000.0,42600775000.0
Phải trả tiền nhận đặt cọc theo các hợp đồng cung cấp dịch vụ môi giới bất động sản,Ngắn hạn > Phải trả tiền nhận đặt cọc theo các hợp đồng cung cấp dịch vụ môi giới bất động sản,Phải trả tiền nhận đặt cọc theo các hợp đồng cung cấp dịch vụ môi giới bất động sản,-,118.528.387.190,,118528387190.0
Các khoản phải trả ngắn hạn khác,Ngắn hạn > Các khoản phải trả ngắn hạn khác,Các khoản phải trả ngắn hạn khác,38.067.611.144,36.806.948.049,38067611144.0,36806948049.0
,,,154.442.142.283,400.208.183.993,154442142283.0,400208183993.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Phải trả ngắn hạn khác,Trong đó: > Phải trả ngắn hạn khác,Phải trả ngắn hạn khác,153.952.081.364,380.208.183.993,153952081364.0,380208183993.0
Phải trả ngắn hạn cho các bên liên quan (Thuyết minh số 34),Trong đó: > Phải trả ngắn hạn cho các bên liên quan (Thuyết minh số 34),Phải trả ngắn hạn cho các bên liên quan (Thuyết minh số 34),490.060.919,20.000.000.000,490060919.0,20000000000.0
