row_label_raw,row_label_full,Bên liên quan > Phải thu dài hạn khác (Thuyết minh số 9) > Công ty Cổ phần Đầu tư An Thịnh > Công ty Cổ phần Đầu tư Xây dựng và Thương mại Thành Nhân,Môi quan hệ > Phải thu dài hạn khác (Thuyết minh số 9) > Công ty có cổ đông là thành viên HĐQT của công ty con từ ngày 2 tháng 1 năm 2019 > Công ty có cùng thành viên HĐQT từ ngày 2 tháng 1 năm 2019,Nội dung nghiệp vụ > Phải thu dài hạn khác (Thuyết minh số 9) > Phải thu theo hợp đồng hợp tác đầu tư,Số cuối năm > Phải thu dài hạn khác (Thuyết minh số 9) > 200.000.000.000 > 250.000.000.000,Số đầu năm(Trình bày lại) > Phải thu dài hạn khác (Thuyết minh số 9) > -,numeric__Môi quan hệ > Phải thu dài hạn khác (Thuyết minh số 9) > Công ty có cổ đông là thành viên HĐQT của công ty con từ ngày 2 tháng 1 năm 2019 > Công ty có cùng thành viên HĐQT từ ngày 2 tháng 1 năm 2019,numeric__Nội dung nghiệp vụ > Phải thu dài hạn khác (Thuyết minh số 9) > Phải thu theo hợp đồng hợp tác đầu tư,numeric__Số cuối năm > Phải thu dài hạn khác (Thuyết minh số 9) > 200.000.000.000 > 250.000.000.000,numeric__Số đầu năm(Trình bày lại) > Phải thu dài hạn khác (Thuyết minh số 9) > -
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,,,450.000.000.000,-,,,450000000000.0,
Phải trả người bán ngắn hạn (Thuyết minh số 19.1),Phải trả người bán ngắn hạn (Thuyết minh số 19.1),Phải trả người bán ngắn hạn (Thuyết minh số 19.1),Phải trả người bán ngắn hạn (Thuyết minh số 19.1),Phải trả người bán ngắn hạn (Thuyết minh số 19.1),Phải trả người bán ngắn hạn (Thuyết minh số 19.1),Phải trả người bán ngắn hạn (Thuyết minh số 19.1),,,,
Công ty TNHH An Quý Hưng,Phải trả người bán ngắn hạn (Thuyết minh số 19.1) > Công ty TNHH An Quý Hưng,Công ty TNHH An Quý Hưng,Công ty thuộc sở hữu của thành viên HĐQT,Tiền vật liệu xây dựng phải trả,8.626.002.544,9.728.989.435,,,8626002544.0,9728989435.0
Công ty Cổ phần Đầu tư Xây dựng và Thương mại Thành Nhân,Phải trả người bán ngắn hạn (Thuyết minh số 19.1) > Công ty Cổ phần Đầu tư Xây dựng và Thương mại Thành Nhân,Công ty Cổ phần Đầu tư Xây dựng và Thương mại Thành Nhân,Công ty có cùng thành viên HĐQT từ ngày 2 tháng 1 năm 2019,Phải trả tiền xây lắp,3.269.149.994,-,,,3269149994.0,
Công ty Hải Phát Thủ Đô,Phải trả người bán ngắn hạn (Thuyết minh số 19.1) > Công ty Hải Phát Thủ Đô,Công ty Hải Phát Thủ Đô,Công ty liên quan của thành viên HĐQT,Phải trả tiền điện,714.827.185,-,,,714827185.0,
Công ty Cổ phần Môi trường và Phát triển Đô Thị Hà Nội,Phải trả người bán ngắn hạn (Thuyết minh số 19.1) > Công ty Cổ phần Môi trường và Phát triển Đô Thị Hà Nội,Công ty Cổ phần Môi trường và Phát triển Đô Thị Hà Nội,Công ty có chung thành viên quản lý chủ chốt,Phải trả phí dịch vụ,9.900.000,9.900.000,,,9900000.0,9900000.0
Công ty PSP,Phải trả người bán ngắn hạn (Thuyết minh số 19.1) > Công ty PSP,Công ty PSP,"Công ty có chung thành viên chủ chốt tới ngày 4 tháng 11 năm 2019, công ty con gián tiếp từ ngày 5 tháng 11 năm 2019",Phải trả phí dịch vụ,-,3.762.779.087,,,,3762779087.0
Công ty Cổ phần Xây dựng HP Thắng Long (tên cũ là Công ty Cổ phần Xây lắp Hải Phát),Phải trả người bán ngắn hạn (Thuyết minh số 19.1) > Công ty Cổ phần Xây dựng HP Thắng Long (tên cũ là Công ty Cổ phần Xây lắp Hải Phát),Công ty Cổ phần Xây dựng HP Thắng Long (tên cũ là Công ty Cổ phần Xây lắp Hải Phát),Công ty liên quan của thành viên gia đình của thành viên HĐQT đến ngày 1 tháng 11 năm 2019,Tiền vật liệu xây dựng phải trả,-,21.261.363.414,,,,21261363414.0
Các bên liên quan khác,Phải trả người bán ngắn hạn (Thuyết minh số 19.1) > Các bên liên quan khác,Các bên liên quan khác,,Phải trả khác,-,126.088.000,,,,126088000.0
TỔNG CỘNG,Phải trả người bán ngắn hạn (Thuyết minh số 19.1) > TỔNG CỘNG,TỔNG CỘNG,,,12.619.879.723,34.889.119.936,,,12619879723.0,34889119936.0
