row_label_raw,row_label_full,col_0,Số cuối năm,Đơn vị tính: VND Số đầu năm (Trình bày lại),numeric__Số cuối năm,numeric__Đơn vị tính: VND Số đầu năm (Trình bày lại)
Ngắn hạn:,Ngắn hạn:,Ngắn hạn:,Ngắn hạn:,Ngắn hạn:,,
Phải thu theo các thỏa thuận hợp tác đầu tư (i),Ngắn hạn: > Phải thu theo các thỏa thuận hợp tác đầu tư (i),Phải thu theo các thỏa thuận hợp tác đầu tư (i),360.000.000.000,626.000.000.000,360000000000.0,626000000000.0
Đặt cọc cho mục đích môi giới và phân phối bất động sản,Ngắn hạn: > Đặt cọc cho mục đích môi giới và phân phối bất động sản,Đặt cọc cho mục đích môi giới và phân phối bất động sản,108.936.696.480,-,108936696480.0,
Tạm ứng,Ngắn hạn: > Tạm ứng,Tạm ứng,39.584.222.468,47.588.550.577,39584222468.0,47588550577.0
Phải thu ngắn hạn khác,Ngắn hạn: > Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,20.370.573.606,26.645.413.333,20370573606.0,26645413333.0
TỔNG CỘNG,Ngắn hạn: > TỔNG CỘNG,TỔNG CỘNG,528.891.492.554,700.233.963.910,528891492554.0,700233963910.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Phải thu khác ngắn hạn của các đối tác doanh nghiệp,Trong đó: > Phải thu khác ngắn hạn của các đối tác doanh nghiệp,Phải thu khác ngắn hạn của các đối tác doanh nghiệp,504.271.855.423,78.313.954.645,504271855423.0,78313954645.0
Phải thu khác ngắn hạn từ các bên liên quan (Thuyết minh số 34),Trong đó: > Phải thu khác ngắn hạn từ các bên liên quan (Thuyết minh số 34),Phải thu khác ngắn hạn từ các bên liên quan (Thuyết minh số 34),24.619.637.131,621.920.009.265,24619637131.0,621920009265.0
Dự phòng phải thu khác ngắn hạn khó đòi,Dự phòng phải thu khác ngắn hạn khó đòi,Dự phòng phải thu khác ngắn hạn khó đòi,-,-,,
Dài hạn:,Dài hạn:,Dài hạn:,Dài hạn:,Dài hạn:,,
Phải thu theo các hợp đồng hợp tác đầu tư (ii),Dài hạn: > Phải thu theo các hợp đồng hợp tác đầu tư (ii),Phải thu theo các hợp đồng hợp tác đầu tư (ii),740.362.336.278,60.362.336.276,740362336278.0,60362336276.0
Ký quỹ thực hiện dự án (iii),Dài hạn: > Ký quỹ thực hiện dự án (iii),Ký quỹ thực hiện dự án (iii),29.431.729.000,-,29431729000.0,
TỔNG CỘNG,Dài hạn: > TỔNG CỘNG,TỔNG CỘNG,769.794.065.278,60.362.336.276,769794065278.0,60362336276.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Phải thu khác dài hạn của các đối tác doanh nghiệp,Trong đó: > Phải thu khác dài hạn của các đối tác doanh nghiệp,Phải thu khác dài hạn của các đối tác doanh nghiệp,319.794.065.278,60.362.336.276,319794065278.0,60362336276.0
Phải thu khác dài hạn từ các bên liên quan (Thuyết minh số 34),Trong đó: > Phải thu khác dài hạn từ các bên liên quan (Thuyết minh số 34),Phải thu khác dài hạn từ các bên liên quan (Thuyết minh số 34),450.000.000.000,-,450000000000.0,
Dự phòng phải thu khác dài hạn khó đòi,Dự phòng phải thu khác dài hạn khó đòi,Dự phòng phải thu khác dài hạn khó đòi,-,-,,
