row_label_raw,row_label_full,Tài sản,Tài sản_1,numeric__Tài sản_1
Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,4.104.006.036,4104006036.0
Các khoản phải thu ngắn hạn,Các khoản phải thu ngắn hạn,Các khoản phải thu ngắn hạn,20.080.734.775,20080734775.0
Hàng tồn kho,Hàng tồn kho,Hàng tồn kho,741.414.426,741414426.0
Tài sản ngắn hạn khác,Tài sản ngắn hạn khác,Tài sản ngắn hạn khác,459.314.932,459314932.0
Tài sản dài hạn khác,Tài sản dài hạn khác,Tài sản dài hạn khác,179.831.787,179831787.0
,,,25.565.301.956,25565301956.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,
Phải trả người bán ngắn hạn,Nợ phải trả > Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,5.370.891.162,5370891162.0
Thuế và các khoản phải nộp Nhà nước,Nợ phải trả > Thuế và các khoản phải nộp Nhà nước,Thuế và các khoản phải nộp Nhà nước,1.525.072.351,1525072351.0
Phải trả người lao động,Nợ phải trả > Phải trả người lao động,Phải trả người lao động,2.215.249.115,2215249115.0
Chỉ phí phải trả ngắn hạn,Nợ phải trả > Chỉ phí phải trả ngắn hạn,Chỉ phí phải trả ngắn hạn,361.982.805,361982805.0
Phải trả ngắn hạn khác,Nợ phải trả > Phải trả ngắn hạn khác,Phải trả ngắn hạn khác,6.777.602.623,6777602623.0
Vay ngắn hạn,Nợ phải trả > Vay ngắn hạn,Vay ngắn hạn,1.500.000.000,1500000000.0
,,,17.750.798.056,17750798056.0
Tổng tài sản thuần,Tổng tài sản thuần,Tổng tài sản thuần,Tổng tài sản thuần,
Cổ đông không kiểm soát (Thuyết minh số 26),Tổng tài sản thuần > Cổ đông không kiểm soát (Thuyết minh số 26),Cổ đông không kiểm soát (Thuyết minh số 26),1.797.335.898,1797335898.0
Lãi từ giao dịch mua glá rè (Thuyết minh số 31),Tổng tài sản thuần > Lãi từ giao dịch mua glá rè (Thuyết minh số 31),Lãi từ giao dịch mua glá rè (Thuyết minh số 31),4.477.168.004,4477168004.0
Tổng giá phí hợp nhất kinh doanh,Tổng tài sản thuần > Tổng giá phí hợp nhất kinh doanh,Tổng giá phí hợp nhất kinh doanh,1.540.000.000,1540000000.0
Thông tin lưu chuyển tiền tệ từ việc mua công ty con,Thông tin lưu chuyển tiền tệ từ việc mua công ty con,Thông tin lưu chuyển tiền tệ từ việc mua công ty con,Thông tin lưu chuyển tiền tệ từ việc mua công ty con,
Tiền thu về từ công ty con,Thông tin lưu chuyển tiền tệ từ việc mua công ty con > Tiền thu về từ công ty con,Tiền thu về từ công ty con,4.104.006.036,4104006036.0
Tiền chỉ đề mua công ty con tính đến ngày 31 tháng 12 năm 2019,Thông tin lưu chuyển tiền tệ từ việc mua công ty con > Tiền chỉ đề mua công ty con tính đến ngày 31 tháng 12 năm 2019,Tiền chỉ đề mua công ty con tính đến ngày 31 tháng 12 năm 2019,(1.540.000.000),-1540000000.0
Lưu chuyển tiền thuần sử dụng vào nghiệp vụ mua,Thông tin lưu chuyển tiền tệ từ việc mua công ty con > Lưu chuyển tiền thuần sử dụng vào nghiệp vụ mua,Lưu chuyển tiền thuần sử dụng vào nghiệp vụ mua,2.564.006.036,2564006036.0
