row_label_raw,row_label_full,col_0,Số đầu năm,Số phải thu trong năm,Số đã thu trong năm,Đơn vị tính: VND,numeric__Số đầu năm,numeric__Số phải thu trong năm,numeric__Số đã thu trong năm,numeric__Đơn vị tính: VND
Phải thu,Phải thu,Phải thu,,,,,,,,
Thuế giá trị gia tăng,Phải thu > Thuế giá trị gia tăng,Thuế giá trị gia tăng,58.115.191.742,32.487.119.649,-,90.602.311.391,58115191742.0,32487119649.0,,90602311391.0
TỔNG CỘNG,Phải thu > TỔNG CỘNG,TỔNG CỘNG,58.115.191.742,32.487.119.649,-,90.602.311.391,58115191742.0,32487119649.0,,90602311391.0
