row_label_raw,row_label_full,col_0,Kinh doanhbất động sản,Kinh doanh dịchvụmôi giới,Kinh doanh cho thuếbất động sản và hoạtđộng liên quan khác,Loại trừ,Đơn vị tính: VNDTổng cộng,numeric__Kinh doanhbất động sản,numeric__Kinh doanh dịchvụmôi giới,numeric__Kinh doanh cho thuếbất động sản và hoạtđộng liên quan khác,numeric__Loại trừ,numeric__Đơn vị tính: VNDTổng cộng
Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,,,,,
Doanh thu từ bán hàng ra bên ngoài,Doanh thu > Doanh thu từ bán hàng ra bên ngoài,Doanh thu từ bán hàng ra bên ngoài,3.007.988.271.881,333.461.726.181,90.486.909.323,-,3.431.936.907.385,3007988271881.0,333461726181.0,90486909323.0,,3431936907385.0
Doanh thu từ bán hàng cho các bộphận,Doanh thu > Doanh thu từ bán hàng cho các bộphận,Doanh thu từ bán hàng cho các bộphận,447.739.164.223,30.816.198.580,33.966.051.900,(512.521.414.703),-,447739164223.0,30816198580.0,33966051900.0,-512521414703.0,
Tổng doanh thu,Doanh thu > Tổng doanh thu,Tổng doanh thu,3.455.727.436.104,364.277.924.761,124.452.961.223,(512.521.414.703),3.431.936.907.385,3455727436104.0,364277924761.0,124452961223.0,-512521414703.0,3431936907385.0
Kết quả,Kết quả,Kết quả,Kết quả,Kết quả,Kết quả,Kết quả,Kết quả,,,,,
Lợi nhuận thuần trước thuế của bộphận,Kết quả > Lợi nhuận thuần trước thuế của bộphận,Lợi nhuận thuần trước thuế của bộphận,250.212.482.596,177.744.367.871,(132.474.305),-,427.824.376.162,250212482596.0,177744367871.0,-132474305.0,,427824376162.0
Thu nhập/(chi phí) không phân bổ (*),Kết quả > Thu nhập/(chi phí) không phân bổ (*),Thu nhập/(chi phí) không phân bổ (*),,,,,204.694.293.552,,,,,204694293552.0
Lợi nhuận thuần trước thuế,Kết quả > Lợi nhuận thuần trước thuế,Lợi nhuận thuần trước thuế,,,,,632.518.669.714,,,,,632518669714.0
Chi phí thuế thu nhập doanh nghiệp,Kết quả > Chi phí thuế thu nhập doanh nghiệp,Chi phí thuế thu nhập doanh nghiệp,,,,,(179.551.411.982),,,,,-179551411982.0
Lợi nhuận thuần sau thuế,Kết quả > Lợi nhuận thuần sau thuế,Lợi nhuận thuần sau thuế,,,,,452.967.257.732,,,,,452967257732.0
Tải sản và công nợ,Tải sản và công nợ,Tải sản và công nợ,Tải sản và công nợ,Tải sản và công nợ,Tải sản và công nợ,Tải sản và công nợ,Tải sản và công nợ,,,,,
Tải sản bộ phận,Tải sản và công nợ > Tải sản bộ phận,Tải sản bộ phận,4.544.298.675.505,221.927.023.086,924.335.263.625,-,5.690.560.962.216,4544298675505.0,221927023086.0,924335263625.0,,5690560962216.0
Tải sản không phân bổ (**),Tải sản và công nợ > Tải sản không phân bổ (**),Tải sản không phân bổ (**),-,-,-,1.139.080.497.159,1.139.080.497.159,,,,1139080497159.0,1139080497159.0
Tổng tài sản,Tải sản và công nợ > Tổng tài sản,Tổng tài sản,4.544.298.675.505,221.927.023.086,924.335.263.625,1.139.080.497.159,6.829.641.459.375,4544298675505.0,221927023086.0,924335263625.0,1139080497159.0,6829641459375.0
Công nợ bộ phận,Tải sản và công nợ > Công nợ bộ phận,Công nợ bộ phận,1.100.377.970.062,50.579.615.093,175.107.976.710,-,1.326.065.561.865,1100377970062.0,50579615093.0,175107976710.0,,1326065561865.0
Công nợ không phân bổ (***),Tải sản và công nợ > Công nợ không phân bổ (***),Công nợ không phân bổ (***),-,-,-,2.510.776.130.858,2.510.776.130.858,,,,2510776130858.0,2510776130858.0
Tổng công nợ,Tải sản và công nợ > Tổng công nợ,Tổng công nợ,1.100.377.970.062,50.579.615.093,175.107.976.710,2.510.776.130.858,3.836.841.692.723,1100377970062.0,50579615093.0,175107976710.0,2510776130858.0,3836841692723.0
Các thông tin bộ phận khác,Các thông tin bộ phận khác,Các thông tin bộ phận khác,Các thông tin bộ phận khác,Các thông tin bộ phận khác,Các thông tin bộ phận khác,Các thông tin bộ phận khác,Các thông tin bộ phận khác,,,,,
Chi phí hình thành tài sản cố định,Các thông tin bộ phận khác > Chi phí hình thành tài sản cố định,Chi phí hình thành tài sản cố định,-,-,-,5.395.707.346,5.395.707.346,,,,5395707346.0,5395707346.0
Tài sản cố định hữu hình,Các thông tin bộ phận khác > Tài sản cố định hữu hình,Tài sản cố định hữu hình,,,-,122.883.812.178,122.883.812.178,,,,122883812178.0,122883812178.0
Khẩu hao,Các thông tin bộ phận khác > Khẩu hao,Khẩu hao,-,-,-,10.284.781.165,10.284.781.165,,,,10284781165.0,10284781165.0
