row_label_raw,row_label_full,56 cuol nám,56 cuol nám_1,56 cuol nám_2,56 duu nam,56 duu nam_1,numeric__56 cuol nám_1,numeric__56 cuol nám_2,numeric__56 duu nam,numeric__56 duu nam_1
Gld trif,Gld trif,Gld trif,56 co kha nanging,Gld trif,56 co kha nanging,VND,,,,
341.388.689.557,Gld trif > 341.388.689.557,341.388.689.557,341.388.689.557,198.267.385.610,198.267.385.610,12.242.099.267,341388689557.0,198267385610.0,198267385610.0,12242099267.0
41.414.975.677,Gld trif > 41.414.975.677,41.414.975.677,41.414.975.677,33.178.356.253,33.178.356.253,16.751.956.855,41414975677.0,33178356253.0,33178356253.0,16751956855.0
37.790.086.364,Gld trif > 37.790.086.364,37.790.086.364,37.790.086.364,16.751.956.855,16.751.956.855,12.242.099.267,37790086364.0,16751956855.0,16751956855.0,12242099267.0
17.118.366.591,Gld trif > 17.118.366.591,17.118.366.591,17.118.366.591,12.224.099.267,12.224.099.267,15.405.131.340,17118366591.0,12224099267.0,12224099267.0,15405131340.0
15.405.131.340,Gld trif > 15.405.131.340,15.405.131.340,15.405.131.340,2.604.336.966,2.604.336.966,-,15405131340.0,2604336966.0,2604336966.0,
12.644.235.195,Gld trif > 12.644.235.195,12.644.235.195,12.644.235.195,-,-,15.692.261.847,12644235195.0,,,15692261847.0
4.286.950.407,Gld trif > 4.286.950.407,4.286.950.407,4.286.950.407,17.521.782.922,17.521.782.922,15.6992.261.847,4286950407.0,17521782922.0,17521782922.0,156992261847.0
290.138.682.084,Gld trif > 290.138.682.084,290.138.682.084,290.138.682.084,156.992.261.847,156.992.261.847,437.540.179.720,290138682084.0,156992261847.0,156992261847.0,437540179720.0
760.187.117.215,Gld trif > 760.187.117.215,760.187.117.215,760.187.117.215,437.540.179.720,437.540.179.720,437.540.179.720,760187117215.0,437540179720.0,437540179720.0,437540179720.0
413.607.720.403,Gld trif > 413.607.720.403,413.607.720.403,413.607.720.403,250.752.258.961,250.752.258.961,,413607720403.0,250752258961.0,250752258961.0,
