row_label_raw,row_label_full,col_0,TÀI SẢN,Mã số Thuyết minh,Mã số Thuyết minh_1,Số cuối năm,Số đầu năm,numeric__TÀI SẢN,numeric__Mã số Thuyết minh,numeric__Mã số Thuyết minh_1,numeric__Số cuối năm,numeric__Số đầu năm
A.,A.,A.,TÀI SẢN NGĂN HẠN,100,,4.318.349.014.853,4.838.709.104.648,,100.0,,4318349014853.0,4838709104648.0
I.,I.,I.,Tiền và các khoản tương đương tiền,110,4,285.772.463.155,1.896.184.894.173,,110.0,4.0,285772463155.0,1896184894173.0
1.,1.,1.,Tiền,111,,165.772.463.155,393.834.894.173,,111.0,,165772463155.0,393834894173.0
2.,2.,2.,Các khoản tương đương tiền,112,,120.000.000.000,1.502.350.000.000,,112.0,,120000000000.0,1502350000000.0
II.,II.,II.,Đầu tư tài chính ngắn hạn,120,5,2.502.000.000.000,2.100.000.000.000,,120.0,5.0,2502000000000.0,2100000000000.0
1.,1.,1.,Đầu tư nằm giữ đến ngày đáo hạn,123,,2.502.000.000.000,2.100.000.000.000,,123.0,,2502000000000.0,2100000000000.0
III.,III.,III.,Các khoản phải thu ngắn hạn,130,,452.949.978.578,400.478.657.863,,130.0,,452949978578.0,400478657863.0
1.,1.,1.,Phải thu ngắn hạn của khách hàng,131,6,17.543.502.062,1.298.187.390,,131.0,6.0,17543502062.0,1298187390.0
2.,2.,2.,Trả trước cho người bán ngắn hạn,132,7,86.367.565.902,88.361.010.852,,132.0,7.0,86367565902.0,88361010852.0
3.,3.,3.,Phải thu ngắn hạn khác,136,8,349.038.910.614,310.340.894.112,,136.0,8.0,349038910614.0,310340894112.0
4.,4.,4.,Tài sản thiếu chờ xử lý,139,,-,478.565.509,,139.0,,,478565509.0
IV.,IV.,IV.,Hàng tồn kho,140,9,982.641.291.700,370.662.712.495,,140.0,9.0,982641291700.0,370662712495.0
1.,1.,1.,Hàng tồn kho,141,,982.641.291.700,370.662.712.495,,141.0,,982641291700.0,370662712495.0
V.,V.,V.,Tài sản ngắn hạn khác,150,,94.985.281.420,71.382.840.117,,150.0,,94985281420.0,71382840117.0
1.,1.,1.,Chi phí trả trước ngắn hạn,151,10,58.790.608.193,27.233.376.867,,151.0,10.0,58790608193.0,27233376867.0
2.,2.,2.,Thuế giá trị gia tăng được khấu trừ,152,,35.648.407.632,43.662.950.934,,152.0,,35648407632.0,43662950934.0
3.,3.,3.,Thuế và các khoản khác phải thu Nhà nước,153,16,546.265.595,486.512.316,,153.0,16.0,546265595.0,486512316.0
B.,B.,B.,TÀI SẢN DÀI HẠN,200,,6.712.237.373.179,7.617.455.035.205,,200.0,,6712237373179.0,7617455035205.0
I.,I.,I.,Các khoản phải thu dài hạn,210,,3.000.000,3.000.000,,210.0,,3000000.0,3000000.0
1.,1.,1.,Phải thu dài hạn khác,216,8,3.000.000,3.000.000,,216.0,8.0,3000000.0,3000000.0
II.,II.,II.,Tài sản cố định,220,,6.336.415.442.150,7.501.543.498.779,,220.0,,6336415442150.0,7501543498779.0
1.,1.,1.,Tài sản cố định hữu hình,221,11,6.297.636.437.163,7.469.583.622.805,,221.0,11.0,6297636437163.0,7469583622805.0
,,,- Nguyên giá,222,,14.052.806.119.488,13.931.183.545.130,,222.0,,14052806119488.0,13931183545130.0
,,,- Giá trị hao mòn lũy kê,223,,(7.755.169.682.325),(6.461.599.922.325),,223.0,,-7755169682325.0,-6461599922325.0
2.,2.,2.,Tài sản cố định vô hình,227,12,38.779.004.987,31.959.875.974,,227.0,12.0,38779004987.0,31959875974.0
,,,- Nguyên giá,228,,105.889.604.017,85.774.363.908,,228.0,,105889604017.0,85774363908.0
,,,- Giá trị hao mòn lũy kê,229,,(67.110.599.030),(53.814.487.934),,229.0,,-67110599030.0,-53814487934.0
III.,III.,III.,Tài sản dở dang dài hạn,240,,346.374.351.728,104.446.521.029,,240.0,,346374351728.0,104446521029.0
1.,1.,1.,Chi phí xây dựng cơ bản dở dang,242,13,346.374.351.728,104.446.521.029,,242.0,13.0,346374351728.0,104446521029.0
IV.,IV.,IV.,Tài sản dài hạn khác,260,,29.444.579.301,11.462.015.397,,260.0,,29444579301.0,11462015397.0
1.,1.,1.,Chi phí trả trước dài hạn,261,10,27.929.004.906,8.528.310.860,,261.0,10.0,27929004906.0,8528310860.0
2.,2.,2.,Tài sản thuê thu nhập hoãn lại,262,,1.515.574.395,2.933.704.537,,262.0,,1515574395.0,2933704537.0
,,,TỔNG CỘNG TÀI SẢN (270=100+200),270,,11.030.586.388.032,12.456.164.139.853,,270.0,,11030586388032.0,12456164139853.0
