row_label_raw,row_label_full,Các khoản chi phí bán hàng phát sinh trong năm,Năm nayVND > Các khoản chi phí bán hàng phát sinh trong năm,Năm trướcVND > Các khoản chi phí bán hàng phát sinh trong năm,numeric__Năm nayVND > Các khoản chi phí bán hàng phát sinh trong năm,numeric__Năm trướcVND > Các khoản chi phí bán hàng phát sinh trong năm
Chi phí nhân viên bán hàng,Chi phí nhân viên bán hàng,Chi phí nhân viên bán hàng,25.773.799.195,25.097.520.045,25773799195.0,25097520045.0
"Chi phí vận chuyển, bổc xếp lưu kho","Chi phí vận chuyển, bổc xếp lưu kho","Chi phí vận chuyển, bổc xếp lưu kho",106.909.543.684,157.177.036.813,106909543684.0,157177036813.0
"Chi phí quảng cáo, truyền thông","Chi phí quảng cáo, truyền thông","Chi phí quảng cáo, truyền thông",91.569.125.102,265.246.584,91569125102.0,265246584.0
Chi phí an sinh xã hội,Chi phí an sinh xã hội,Chi phí an sinh xã hội,17.140.538.322,76.718.217.151,17140538322.0,76718217151.0
Chi phí bán hàng tự doanh,Chi phí bán hàng tự doanh,Chi phí bán hàng tự doanh,39.118.263.410,30.950.546.500,39118263410.0,30950546500.0
Chi phí khấu hao tài sản cố định,Chi phí khấu hao tài sản cố định,Chi phí khấu hao tài sản cố định,960.201.553,728.835.323,960201553.0,728835323.0
Các khoản chi phí bán hàng khác,Các khoản chi phí bán hàng khác,Các khoản chi phí bán hàng khác,54.643.224.307,42.662.902.869,54643224307.0,42662902869.0
,,,336.114.695.573,333.600.305.285,336114695573.0,333600305285.0
Các khoản chi phí quản lý doanh nghiệp phát sinh trong năm,Các khoản chi phí quản lý doanh nghiệp phát sinh trong năm,Các khoản chi phí quản lý doanh nghiệp phát sinh trong năm,Các khoản chi phí quản lý doanh nghiệp phát sinh trong năm,Các khoản chi phí quản lý doanh nghiệp phát sinh trong năm,,
Chi phí nhân viên quản lý,Các khoản chi phí quản lý doanh nghiệp phát sinh trong năm > Chi phí nhân viên quản lý,Chi phí nhân viên quản lý,83.461.121.186,82.530.006.594,83461121186.0,82530006594.0
Phí quản lý phải nộp Tập đoàn Dấu khí Việt Nam,Các khoản chi phí quản lý doanh nghiệp phát sinh trong năm > Phí quản lý phải nộp Tập đoàn Dấu khí Việt Nam,Phí quản lý phải nộp Tập đoàn Dấu khí Việt Nam,29.363.474.409,28.435.849.993,29363474409.0,28435849993.0
Chi phí khấu hao tài sản cố định,Các khoản chi phí quản lý doanh nghiệp phát sinh trong năm > Chi phí khấu hao tài sản cố định,Chi phí khấu hao tài sản cố định,22.681.887.584,28.611.435.573,22681887584.0,28611435573.0
Trích Quỹ phát triển khoa học và công nghệ,Các khoản chi phí quản lý doanh nghiệp phát sinh trong năm > Trích Quỹ phát triển khoa học và công nghệ,Trích Quỹ phát triển khoa học và công nghệ,71.305.673.759,72.825.537.606,71305673759.0,72825537606.0
Lợi thể kinh doanh,Các khoản chi phí quản lý doanh nghiệp phát sinh trong năm > Lợi thể kinh doanh,Lợi thể kinh doanh,1.749.518.176,46.513.175.754,1749518176.0,46513175754.0
Chi phí dịch vụ mua ngoài,Các khoản chi phí quản lý doanh nghiệp phát sinh trong năm > Chi phí dịch vụ mua ngoài,Chi phí dịch vụ mua ngoài,46.059.158.462,31.674.756.114,46059158462.0,31674756114.0
Các khoản chi phí quản lý doanh nghiệp khác,Các khoản chi phí quản lý doanh nghiệp phát sinh trong năm > Các khoản chi phí quản lý doanh nghiệp khác,Các khoản chi phí quản lý doanh nghiệp khác,65.482.529.536,46.760.107.324,65482529536.0,46760107324.0
,,,320.103.363.112,337.350.868.958,320103363112.0,337350868958.0
