row_label_raw,row_label_full,col_0,Quyền sử dụng đất,Phần mềm máy tính,Chi phí triển khai (a),Quan hệ khách hàng khế ước (b),Cộng,numeric__Quyền sử dụng đất,numeric__Phần mềm máy tính,numeric__Chi phí triển khai (a),numeric__Quan hệ khách hàng khế ước (b),numeric__Cộng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,
Số đầu kỳ,Nguyên giá > Số đầu kỳ,Số đầu kỳ,22.999.548.115,432.444.000,160.891.518.744,33.173.100.000,217.496.610.859,22999548115.0,432444000.0,160891518744.0,33173100000.0,217496610859.0
Tăng trong kỳ,Nguyên giá > Tăng trong kỳ,Tăng trong kỳ,12.578.537.135,-,19.455.195.230,-,32.033.732.365,12578537135.0,,19455195230.0,,32033732365.0
CL do chuyển đổi,Nguyên giá > CL do chuyển đổi,CL do chuyển đổi,-,-,1.373.655.178,269.700.000,1.643.355.178,,,1373655178.0,269700000.0,1643355178.0
"Thanh lý, nhượng bán","Nguyên giá > Thanh lý, nhượng bán","Thanh lý, nhượng bán",12.474.272.115,-,-,-,12.474.272.115,12474272115.0,,,,12474272115.0
Số cuối kỳ,Nguyên giá > Số cuối kỳ,Số cuối kỳ,23.103.813.135,432.444.000,181.720.369.152,33.442.800.000,238.699.426.287,23103813135.0,432444000.0,181720369152.0,33442800000.0,238699426287.0
Khấu hao,Khấu hao,Khấu hao,Khấu hao,Khấu hao,Khấu hao,Khấu hao,Khấu hao,,,,,
Số đầu kỳ,Khấu hao > Số đầu kỳ,Số đầu kỳ,3.516.595,401.442.205,131.201.725.608,8.293.275.000,139.899.959.408,3516595.0,401442205.0,131201725608.0,8293275000.0,139899959408.0
Khấu hao trong kỳ,Khấu hao > Khấu hao trong kỳ,Khấu hao trong kỳ,176.045.931,8.763.432,16.337.416.112,3.333.042.500,19.855.267.975,176045931.0,8763432.0,16337416112.0,3333042500.0,19855267975.0
CL do chuyển đổi,Khấu hao > CL do chuyển đổi,CL do chuyển đổi,-,-,1.121.763.016,78.662.500,1.200.425.516,,,1121763016.0,78662500.0,1200425516.0
Số cuối kỳ,Khấu hao > Số cuối kỳ,Số cuối kỳ,179.562.526,410.205.637,148.660.904.736,11.704.980.000,160.955.652.899,179562526.0,410205637.0,148660904736.0,11704980000.0,160955652899.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,
Số đầu kỳ,Giá trị còn lại > Số đầu kỳ,Số đầu kỳ,22.996.031.520,31.001.795,29.689.793.136,24.879.825.000,77.596.651.451,22996031520.0,31001795.0,29689793136.0,24879825000.0,77596651451.0
Số cuối kỳ,Giá trị còn lại > Số cuối kỳ,Số cuối kỳ,22.924.250.609,22.238.363,33.059.464.416,21.737.820.000,77.743.773.388,22924250609.0,22238363.0,33059464416.0,21737820000.0,77743773388.0
