row_label_raw,row_label_full,col_0,CHỈ TIÊU,Mã số,Thuyết minh,Năm 2019 VND,Năm 2018 VND,numeric__CHỈ TIÊU,numeric__Mã số,numeric__Thuyết minh,numeric__Năm 2019 VND,numeric__Năm 2018 VND
1.,1.,1.,Doanh thu bán hàng và cung cấp dịch vụ,01,33,2.873.271.991.767,2.916.841.652.989,,1.0,33.0,2873271991767.0,2916841652989.0
2.,2.,2.,Các khoản giảm trừ doanh thu,02,34,9.479.336,2.549.203.055,,2.0,34.0,9479336.0,2549203055.0
3.,3.,3.,Doanh thu thuần về bán hàng và c.cấp dịch vụ,10,,2.873.262.512.431,2.914.292.449.934,,10.0,,2873262512431.0,2914292449934.0
4.,4.,4.,Giá vốn hàng bản,11,35,2.343.579.868.737,2.483.969.317.285,,11.0,35.0,2343579868737.0,2483969317285.0
5.,5.,5.,Lợi nhuận gộp bán hàng và c.cấp dịch vụ,20,,529.682.643.694,430.323.132.649,,20.0,,529682643694.0,430323132649.0
6.,6.,6.,Doanh thu hoạt động tài chính,21,36,263.274.164.446,161.664.449.009,,21.0,36.0,263274164446.0,161664449009.0
7.,7.,7.,Chỉ phí tái chính,22,37,386.793.741.442,342.436.106.280,,22.0,37.0,386793741442.0,342436106280.0
,,,Trong đó: Chi phí lãi vay,23,,363.394.196.877,329.332.578.988,,23.0,,363394196877.0,329332578988.0
8.,8.,8.,"Phản lãi hoặc lỗ trong công ty l.doanh, l.két",24,,156.825.830,25.586.826,,24.0,,156825830.0,25586826.0
9.,9.,9.,Chi phí bán hàng,25,38.a,25.851.029.513,27.430.234.006,,25.0,,25851029513.0,27430234006.0
10.,10.,10.,Chi phí quản lý doanh nghiệp,26,38.b,298.670.523.538,193.870.330.971,,26.0,,298670523538.0,193870330971.0
11.,11.,11.,Lợi nhuận thuần từ hoạt động kinh doanh,30,,81.798.339.477,28.276.497.227,,30.0,,81798339477.0,28276497227.0
12.,12.,12.,Thu nhập khác,31,39,2.203.700.583,24.085.705.731,,31.0,39.0,2203700583.0,24085705731.0
13.,13.,13.,Chỉ phí khác,32,40,45.582.460.085,15.813.223.139,,32.0,40.0,45582460085.0,15813223139.0
14.,14.,14.,Lợi nhuận khác,40,,(43.378.759.502),8.272.482.592,,40.0,,-43378759502.0,8272482592.0
15.,15.,15.,Tổng lợi nhuận kế toán trước thuế,50,,38.419.579.975,36.548.979.819,,50.0,,38419579975.0,36548979819.0
16.,16.,16.,Chỉ phí thuế TNDN hiện hành,51,,28.448.244.090,17.662.306.779,,51.0,,28448244090.0,17662306779.0
17.,17.,17.,Chỉ phí thuế TNDN hoãn lại,52,,17.429.936.776,4.533.543.670,,52.0,,17429936776.0,4533543670.0
18.,18.,18.,Lợi nhuận sau thuế TNDN,60,,(7.458.600.891),14.353.129.370,,60.0,,-7458600891.0,14353129370.0
18.1.,18.1.,18.1.,Lợi nhuận sau thuế của công ty mẹ,61,,(1.308.251.543),8.169.856.720,,61.0,,-1308251543.0,8169856720.0
18.2.,18.2.,18.2.,Lợi nhuận sau thuế của cổ đông không kiểm soát,62,,(6.150.349.348),6.183.272.650,,62.0,,-6150349348.0,6183272650.0
19.,19.,19.,Lãi cơ bán trên cổ phiếu,70,41,(4),27,,70.0,41.0,-4.0,27.0
20.,20.,20.,Lãi suy giảm trên cổ phiếu,71,41,(4),27,,71.0,41.0,-4.0,27.0
