row_label_raw,row_label_full,col_0,Tỉnh hình hoạt động,31/12/2019 > Tỷ lệ vốn,31/12/2019 > Số lượng cổ phần,31/12/2019 > Giá trị khoản đầu tư theo phương pháp vốn chủ sở hữu,01/01/2019 > Giá trị khoản đầu tư theo phương pháp vốn chủ sở hữu,numeric__Tỉnh hình hoạt động,numeric__31/12/2019 > Tỷ lệ vốn,numeric__31/12/2019 > Số lượng cổ phần,numeric__31/12/2019 > Giá trị khoản đầu tư theo phương pháp vốn chủ sở hữu,numeric__01/01/2019 > Giá trị khoản đầu tư theo phương pháp vốn chủ sở hữu
Công ty CP Tư vấn và Xây dựng Giao thông Gia Lai,Công ty CP Tư vấn và Xây dựng Giao thông Gia Lai,Công ty CP Tư vấn và Xây dựng Giao thông Gia Lai,Đang hoạt động,"20,0%",5.922,7.176.651.058,7.037.097.093,,0.2,5922.0,7176651058.0,7037097093.0
Công ty TNHH Cung ứng VT Nguyên liệu Tây Nguyên,Công ty TNHH Cung ứng VT Nguyên liệu Tây Nguyên,Công ty TNHH Cung ứng VT Nguyên liệu Tây Nguyên,Đang hoạt động,,,-,19.808.121.166,,,,,19808121166.0
Công ty Cổ phần Điện mặt trời DLG Ninh Thuận,Công ty Cổ phần Điện mặt trời DLG Ninh Thuận,Công ty Cổ phần Điện mặt trời DLG Ninh Thuận,Đang hoạt động,,,-,584.000.000,,,,,584000000.0
Cộng,Cộng,Cộng,,,,7.176.651.058,27.429.218.259,,,,7176651058.0,27429218259.0
