row_label_raw,row_label_full,31/12/2019,Không quá 1 năm,Trên 1 năm,Tổng,numeric__Không quá 1 năm,numeric__Trên 1 năm,numeric__Tổng
Phải trả người bán,Phải trả người bán,Phải trả người bán,505.795.414.901,-,505.795.414.901,505795414901.0,,505795414901.0
Chỉ phí phải trả,Chỉ phí phải trả,Chỉ phí phải trả,252.465.215.344,1.762.792.456,254.228.007.800,252465215344.0,1762792456.0,254228007800.0
Vay và nợ thuê tài chính,Vay và nợ thuê tài chính,Vay và nợ thuê tài chính,1.334.846.482.850,2.386.513.327.318,3.721.359.810.168,1334846482850.0,2386513327318.0,3721359810168.0
Phải trả khác,Phải trả khác,Phải trả khác,355.490.461.112,368.804.178,355.859.265.290,355490461112.0,368804178.0,355859265290.0
Cộng,Cộng,Cộng,2.448.597.574.207,2.388.644.923.952,4.837.242.498.159,2448597574207.0,2388644923952.0,4837242498159.0
01/01/2019,01/01/2019,01/01/2019,Không quá 1 năm,Trên 1 năm,Tổng,,,
Phải trả người bán,01/01/2019 > Phải trả người bán,Phải trả người bán,560.834.991.582,-,560.834.991.582,560834991582.0,,560834991582.0
Chỉ phí phải trả,01/01/2019 > Chỉ phí phải trả,Chỉ phí phải trả,204.768.326.824,-,204.768.326.824,204768326824.0,,204768326824.0
Vay và nợ thuê tài chính,01/01/2019 > Vay và nợ thuê tài chính,Vay và nợ thuê tài chính,1.037.911.728.795,2.676.349.316.203,3.714.261.044.998,1037911728795.0,2676349316203.0,3714261044998.0
Phải trả khác,01/01/2019 > Phải trả khác,Phải trả khác,255.710.133.759,4.390.768.297,260.100.902.056,255710133759.0,4390768297.0,260100902056.0
Cộng,01/01/2019 > Cộng,Cộng,2.059.225.180.960,2.680.740.084.500,4.739.965.265.460,2059225180960.0,2680740084500.0,4739965265460.0
