row_label_raw,row_label_full,col_0,TÀI SẢN,Mã số,Thuyết minh,31/12/2019 VND,01/01/2019 VND,numeric__TÀI SẢN,numeric__Mã số,numeric__Thuyết minh,numeric__31/12/2019 VND,numeric__01/01/2019 VND
A.,A.,A.,TÀI SẢN NGĂN HẠN,100,,3.591.295.956.624,4.061.675.893.273,,100.0,,3591295956624.0,4061675893273.0
I.,I.,I.,Tiền và các khoản tương đương tiền,110,5,168.009.328.834,79.631.825.874,,110.0,5.0,168009328834.0,79631825874.0
1.,1.,1.,Tiền,111,,168.009.328.834,79.631.825.874,,111.0,,168009328834.0,79631825874.0
2.,2.,2.,Các khoản tương đương tiền,112,,-,-,,112.0,,,
II.,II.,II.,Đầu tư tài chính ngắn hạn,120,,245.807.632.154,264.000.000.000,,120.0,,245807632154.0,264000000000.0
1.,1.,1.,Chứng khoán kinh doanh,121,6,264.000.000.000,264.000.000.000,,121.0,6.0,264000000000.0,264000000000.0
2.,2.,2.,Dự phòng giảm giá chứng khoán kinh doanh,122,,(18.192.367.846),-,,122.0,,-18192367846.0,
III.,III.,III.,Các khoản phải thu ngắn hạn,130,,2.756.401.623.113,2.950.478.217.703,,130.0,,2756401623113.0,2950478217703.0
1.,1.,1.,Phải thu ngắn hạn của khách hàng,131,8,678.272.990.166,812.813.454.107,,131.0,8.0,678272990166.0,812813454107.0
2.,2.,2.,Trà trước cho người bán ngắn hạn,132,9,238.327.150.536,519.323.226.758,,132.0,9.0,238327150536.0,519323226758.0
3.,3.,3.,Phải thu về cho vay ngắn hạn,135,10.a,1.177.290.727.548,1.413.060.631.595,,135.0,,1177290727548.0,1413060631595.0
4.,4.,4.,Phải thu ngắn hạn khác,136,11.a,790.141.646.025,239.001.937.928,,136.0,,790141646025.0,239001937928.0
5.,5.,5.,Dự phòng phải thu ngắn hạn khó đòi,137,12,(127.630.891.162),(33.721.032.685),,137.0,12.0,-127630891162.0,-33721032685.0
IV.,IV.,IV.,Hàng tồn kho,140,13,405.275.429.014,745.032.164.249,,140.0,13.0,405275429014.0,745032164249.0
1.,1.,1.,Hàng tồn kho,141,,451.617.224.037,766.308.887.273,,141.0,,451617224037.0,766308887273.0
2.,2.,2.,Dự phòng giảm giá hàng tồn kho,149,,(46.341.795.023),(21.276.723.024),,149.0,,-46341795023.0,-21276723024.0
V.,V.,V.,Tài sản ngắn hạn khác,150,,15.801.943.509,22.533.685.447,,150.0,,15801943509.0,22533685447.0
1.,1.,1.,Chi phí trả trước ngắn hạn,151,14.a,497.158.340,441.520.431,,151.0,,497158340.0,441520431.0
2.,2.,2.,Thuế GTGT được khấu trừ,152,,14.246.419.739,20.772.483.509,,152.0,,14246419739.0,20772483509.0
3.,3.,3.,Thuế và các khoản khác phải thu Nhà nước,153,24,1.058.365.430,1.319.681.507,,153.0,24.0,1058365430.0,1319681507.0
B.,B.,B.,TÀI SẢN DÀI HẠN,200,,5.023.216.685.631,4.650.582.071.111,,200.0,,5023216685631.0,4650582071111.0
I.,I.,I.,Các khoản phải thu dài hạn,210,,1.226.406.018.610,801.837.827.417,,210.0,,1226406018610.0,801837827417.0
1.,1.,1.,Phải thu về cho vay dài hạn,215,10.b,1.221.645.803.782,476.062.735.933,,215.0,,1221645803782.0,476062735933.0
2.,2.,2.,Phải thu dài hạn khác,216,11.b,4.760.214.828,325.775.091.484,,216.0,,4760214828.0,325775091484.0
II.,II.,II.,Tài sản cố định,220,,2.934.181.122.492,2.992.446.912.133,,220.0,,2934181122492.0,2992446912133.0
1.,1.,1.,Tài sản cố định hữu hình,221,15,2.856.437.349.104,2.914.850.260.682,,221.0,15.0,2856437349104.0,2914850260682.0
,,,- Nguyên giá,222,,4.344.817.644.958,4.278.653.992.223,,222.0,,4344817644958.0,4278653992223.0
,,,- Giá trị hao mòn lũy kế,223,,(1.488.380.295.854),(1.363.803.731.541),,223.0,,-1488380295854.0,-1363803731541.0
2.,2.,2.,Tài sản cố định vô hình,227,16,77.743.773.388,77.596.651.451,,227.0,16.0,77743773388.0,77596651451.0
,,,- Nguyên giá,228,,238.699.426.287,217.496.610.859,,228.0,,238699426287.0,217496610859.0
,,,- Giá trị hao mòn lũy kế,229,,(160.955.652.899),(139.899.959.408),,229.0,,-160955652899.0,-139899959408.0
III.,III.,III.,Bất động sản đầu tư,230,17,101.417.377.383,103.350.161.477,,230.0,17.0,101417377383.0,103350161477.0
,,,- Nguyên giá,231,,122.870.111.864,122.870.111.864,,231.0,,122870111864.0,122870111864.0
,,,- Giá trị hao mòn lũy kế,232,,(21.452.734.481),(19.519.950.387),,232.0,,-21452734481.0,-19519950387.0
IV.,IV.,IV.,Tài sản dở dang dài hạn,240,,489.578.915.079,405.373.448.492,,240.0,,489578915079.0,405373448492.0
1.,1.,1.,"Chi phí sản xuất, kinh doanh dở dang dài hạn",241,18,60.347.972.173,-,,241.0,18.0,60347972173.0,
2.,2.,2.,Chi phí xây dựng cơ bản dở dang,242,19,429.230.942.906,405.373.448.492,,242.0,19.0,429230942906.0,405373448492.0
V.,V.,V.,Đầu tư tài chính dài hạn,250,,7.176.651.058,28.449.218.259,,250.0,,7176651058.0,28449218259.0
1.,1.,1.,"Đầu tư vào công ty liên doanh, liên kết",252,7.a,7.176.651.058,27.429.218.259,,252.0,,7176651058.0,27429218259.0
2.,2.,2.,Đầu tư góp vốn vào đơn vị khác,253,7.b,480.000.000,1.500.000.000,,253.0,,480000000.0,1500000000.0
3.,3.,3.,Dự phòng đầu tư tài chính dài hạn,254,7.b,(480.000.000),(480.000.000),,254.0,,-480000000.0,-480000000.0
VI.,VI.,VI.,Tài sản dài hạn khác,260,,264.456.601.009,319.124.503.333,,260.0,,264456601009.0,319124503333.0
1.,1.,1.,Chi phí trả trước dài hạn,261,14.b,48.996.940.885,53.452.796.141,,261.0,,48996940885.0,53452796141.0
2.,2.,2.,Tài sản thuế thu nhập hoãn lại,262,20,18.701.022.282,19.181.859.219,,262.0,20.0,18701022282.0,19181859219.0
3.,3.,3.,Lợi thế thương mại,269,21,196.758.637.842,246.489.847.973,,269.0,21.0,196758637842.0,246489847973.0
,,,TỔNG CỘNG TÀI SẢN,270,,8.614.512.642.255,8.712.257.964.384,,270.0,,8614512642255.0,8712257964384.0
