row_label_raw,row_label_full,col_0,NGUỒN VỐN,Mã số,Thuyết minh,31/12/2019 VND,01/01/2019 VND,numeric__NGUỒN VỐN,numeric__Mã số,numeric__Thuyết minh,numeric__31/12/2019 VND,numeric__01/01/2019 VND
C.,C.,C.,NỘ PHẢI TRẢ,300,,5.184.458.925.665,5.230.103.182.215,,300.0,,5184458925665.0,5230103182215.0
I.,I.,I.,Nợ ngắn hạn,310,,2.761.363.101.170,2.531.881.048.346,,310.0,,2761363101170.0,2531881048346.0
1.,1.,1.,Phải trả người bán ngắn hạn,311,22,505.795.414.901,560.834.991.582,,311.0,22.0,505795414901.0,560834991582.0
2.,2.,2.,Người mua trả tiền trước ngắn hạn,312,23,129.582.383.468,334.804.583.386,,312.0,23.0,129582383468.0,334804583386.0
3.,3.,3.,Thuế và các khoản phải nộp Nhà nước,313,24,111.952.512.916,80.590.623.961,,313.0,24.0,111952512916.0,80590623961.0
4.,4.,4.,Phải trả người lao động,314,,66.378.394.560,50.774.579.301,,314.0,,66378394560.0,50774579301.0
5.,5.,5.,Chi phí phải trả ngắn hạn,315,25.a,252.465.215.344,204.768.326.824,,315.0,,252465215344.0,204768326824.0
6.,6.,6.,Doanh thu chưa thực hiện ngắn hạn,318,26,177.727.274,175.454.546,,318.0,26.0,177727274.0,175454546.0
7.,7.,7.,Phải trả ngắn hạn khác,319,27.a,356.414.286.616,256.344.239.759,,319.0,,356414286616.0,256344239759.0
8.,8.,8.,Vay và nợ thuê tài chính ngắn hạn,320,28.a,1.334.846.482.850,1.037.911.728.795,,320.0,,1334846482850.0,1037911728795.0
9.,9.,9.,Dự phòng phải trả ngắn hạn,321,,-,2.496.285.000,,321.0,,,2496285000.0
10.,10.,10.,"Quỹ khen thưởng, phúc lợi",322,,3.750.683.241,3.180.235.192,,322.0,,3750683241.0,3180235192.0
II.,II.,II.,Nợ dài hạn,330,,2.423.095.824.495,2.698.222.133.869,,330.0,,2423095824495.0,2698222133869.0
1.,1.,1.,Chi phí phải trả dài hạn,333,25.b,1.762.792.456,-,,333.0,,1762792456.0,
2.,2.,2.,Phải trả dài hạn khác,337,27.b,368.804.178,4.390.768.297,,337.0,,368804178.0,4390768297.0
3.,3.,3.,Vay và nợ thuê tài chính dài hạn,338,28.b,2.386.513.327.318,2.676.349.316.203,,338.0,,2386513327318.0,2676349316203.0
4.,4.,4.,Thuế thu nhập hoãn lại phải trả,341,29,34.450.900.543,17.482.049.369,,341.0,29.0,34450900543.0,17482049369.0
D.,D.,D.,VỐN CHỦ SỐ HỮU,400,,3.430.053.716.590,3.482.154.782.169,,400.0,,3430053716590.0,3482154782169.0
I.,I.,I.,Vốn chủ sở hữu,410,,3.429.623.057.129,3.482.322.728.891,,410.0,,3429623057129.0,3482322728891.0
1.,1.,1.,Vốn góp của chủ sở hữu,411,30,2.993.097.200.000,2.993.097.200.000,,411.0,30.0,2993097200000.0,2993097200000.0
,,,- Có phiếu phổ thông có quyền biểu quyết,411a,,2.993.097.200.000,2.993.097.200.000,,,,2993097200000.0,2993097200000.0
,,,- Có phiếu ưu đãi,411b,,-,-,,,,,
2.,2.,2.,Thặng dư vốn cổ phần,412,30,50.510.908.328,50.510.908.328,,412.0,30.0,50510908328.0,50510908328.0
3.,3.,3.,Chênh lệch tỷ giả hối doái,417,30,9.217.947.940,16.564.571.254,,417.0,30.0,9217947940.0,16564571254.0
4.,4.,4.,Quỹ đầu tư phát triển,418,30,6.196.436.959,6.196.436.959,,418.0,30.0,6196436959.0,6196436959.0
5.,5.,5.,Lợi nhuận sau thuế chưa phân phối,421,30,40.694.978.917,42.003.230.080,,421.0,30.0,40694978917.0,42003230080.0
,,,- LNST chưa phân phối lũy kế đến cuối kỳ trước,421a,,42.003.230.080,33.873.134.488,,,,42003230080.0,33873134488.0
,,,- LNST chưa phân phối kỳ này,421b,,(1.308.251.163),8.130.095.592,,,,-1308251163.0,8130095592.0
6.,6.,6.,Lợi ích cổ đông không kiểm soát,429,31,329.905.584.985,373.950.382.270,,429.0,31.0,329905584985.0,373950382270.0
II.,II.,II.,Nguồn kinh phí và quỹ khác,430,,430.659.461,(167.946.722),,430.0,,430659461.0,-167946722.0
1.,1.,1.,Nguồn kinh phí,431,,430.659.461,-,,431.0,,430659461.0,
2.,2.,2.,Nguồn kinh phí đã hình thành TSCĐ,432,,-,(167.946.722),,432.0,,,-167946722.0
,,,TỔNG CỘNG NGUỐN VỐN,430,,8.614.512.642.255,8.712.257.964.384,,430.0,,8614512642255.0,8712257964384.0
