row_label_raw,row_label_full,Chỉ tiêu,"Bản hàng hóa, linh kiện điện tử","Bản gỗ, sản phẩm từ gỗ, cao su, nông nghiệp",Kinh doanh phần bón,"Công trình xây dựng, thu phí BOT",Dịch vụ bến xe và xe buýt,Hoạt động kinh doanh bất động sản,"Hoạt động khác (cho thuê tài sản, khách sạn...)",Đơn vị tính: VND > Loại trừ,Đơn vị tính: VND > Tổng cộng,"numeric__Bản hàng hóa, linh kiện điện tử","numeric__Bản gỗ, sản phẩm từ gỗ, cao su, nông nghiệp",numeric__Kinh doanh phần bón,"numeric__Công trình xây dựng, thu phí BOT",numeric__Dịch vụ bến xe và xe buýt,numeric__Hoạt động kinh doanh bất động sản,"numeric__Hoạt động khác (cho thuê tài sản, khách sạn...)",numeric__Đơn vị tính: VND > Loại trừ,numeric__Đơn vị tính: VND > Tổng cộng
Doanh thu thuần tử bán hàng ra bên ngoài,Doanh thu thuần tử bán hàng ra bên ngoài,Doanh thu thuần tử bán hàng ra bên ngoài,2.130.094.031.566(37.266.971.870),127.523.542.061(17.935.669.000),254.601.169.500-,349.464.166.813(20.288.491.819),1.053.509.098-,78.646.417-,10.447.446.976(2.827.272.727),-78.318.405.416,2.873.262.512.431-,,,,,,,,-78318405416.0,
Doanh thu giữa các bộ phận,Doanh thu giữa các bộ phận,Doanh thu giữa các bộ phận,,,,,,,,,,,,,,,,,,
Giá vốn của bộ phận,Doanh thu giữa các bộ phận > Giá vốn của bộ phận,Giá vốn của bộ phận,1.808.105.392.867,117.280.281.867,253.236.203.857,128.579.138.374,100.000.000,73.731.017,36.205.120.755,-,2.343.579.868.737,1808105392867.0,117280281867.0,253236203857.0,128579138374.0,100000000.0,73731017.0,36205120755.0,,2343579868737.0
Lợi nhuận từ hoạt động kinh doanh,Doanh thu giữa các bộ phận > Lợi nhuận từ hoạt động kinh doanh,Lợi nhuận từ hoạt động kinh doanh,321.988.638.699,10.243.260.194,1.364.965.643,220.885.028.439,953.509.098,4.915.400,(25.757.673.779),-,529.682.643.694,321988638699.0,10243260194.0,1364965643.0,220885028439.0,953509098.0,4915400.0,-25757673779.0,,529682643694.0
Tài sản bộ phận tại ngày 31/12/2019,Doanh thu giữa các bộ phận > Tài sản bộ phận tại ngày 31/12/2019,Tài sản bộ phận tại ngày 31/12/2019,959.920.633.920,1.732.501.617.094,476.463.182.712,4.564.427.186.471,180.361.773,255.661.032.010,625.239.628.251,-,8.614.393.642.231,959920633920.0,1732501617094.0,476463182712.0,4564427186471.0,180361773.0,255661032010.0,625239628251.0,,8614393642231.0
Tài sản không phân bổ,Doanh thu giữa các bộ phận > Tài sản không phân bổ,Tài sản không phân bổ,,,,,,,,,119.000.024,,,,,,,,,119000024.0
Tổng tài sản,Doanh thu giữa các bộ phận > Tổng tài sản,Tổng tài sản,,,,,,,,,8.614.512.642.255,,,,,,,,,8614512642255.0
Nợ phải trả bộ phận tại ngày 31/12/2019,Doanh thu giữa các bộ phận > Nợ phải trả bộ phận tại ngày 31/12/2019,Nợ phải trả bộ phận tại ngày 31/12/2019,636.852.048.341,506.771.259.225,21.333.635.648,2.392.909.683.537,27.976.156.612,146.190.579.344,1.428.082.614.986,-,5.160.115.977.693,636852048341.0,506771259225.0,21333635648.0,2392909683537.0,27976156612.0,146190579344.0,1428082614986.0,,5160115977693.0
Nợ phải trả không phân bổ,Doanh thu giữa các bộ phận > Nợ phải trả không phân bổ,Nợ phải trả không phân bổ,,,,,,,,,24.342.947.972,,,,,,,,,24342947972.0
Tổng nợ phải trả,Doanh thu giữa các bộ phận > Tổng nợ phải trả,Tổng nợ phải trả,,,,,,,,,5.184.458.925.665,,,,,,,,,5184458925665.0
Khẩu hao và chi phí phân bổ,Doanh thu giữa các bộ phận > Khẩu hao và chi phí phân bổ,Khẩu hao và chi phí phân bổ,59.932.571.108,21.085.617.797,477.345.125,89.441.881.353,-,2.283.249.480,13.179.893.915,-,186.400.558.778,59932571108.0,21085617797.0,477345125.0,89441881353.0,,2283249480.0,13179893915.0,,186400558778.0
- Khẩu hao,Doanh thu giữa các bộ phận > - Khẩu hao,- Khẩu hao,59.402.843.912,19.068.924.436,-,87.462.330.084,-,2.261.613.171,13.169.190.647,-,181.364.902.250,59402843912.0,19068924436.0,,87462330084.0,,2261613171.0,13169190647.0,,181364902250.0
"- Chi phí phân bổ142,242","Doanh thu giữa các bộ phận > - Chi phí phân bổ142,242","- Chi phí phân bổ142,242",529.727.196,2.016.693.361,477.345.125,1.979.551.269,-,21.636.309,10.703.268,-,5.035.656.528,529727196.0,2016693361.0,477345125.0,1979551269.0,,21636309.0,10703268.0,,5035656528.0
Khẩu hao và chi phí không phân bổ,Doanh thu giữa các bộ phận > Khẩu hao và chi phí không phân bổ,Khẩu hao và chi phí không phân bổ,,,,,,,,,11.009.060.724,,,,,,,,,11009060724.0
