row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúc",Máy mócthiết bị,P.tiện vận tảitruyền dẫn,"Thiết bị, dụngcụ quản lý",Cây lâu năm,TSCĐ khác,Cộng,"numeric__Nhà cửa,vật kiến trúc",numeric__Máy mócthiết bị,numeric__P.tiện vận tảitruyền dẫn,"numeric__Thiết bị, dụngcụ quản lý",numeric__Cây lâu năm,numeric__TSCĐ khác,numeric__Cộng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,,
Số đầu kỳ,Nguyên giá > Số đầu kỳ,Số đầu kỳ,539.974.730.465,596.937.270.270,47.198.895.183,97.590.744.043,575.727.987.750,2.421.224.364.512,4.278.653.992.223,539974730465.0,596937270270.0,47198895183.0,97590744043.0,575727987750.0,2421224364512.0,4278653992223.0
Phân loại lại,Nguyên giá > Phân loại lại,Phân loại lại,4.643.557.318,(527.041.910),(4.116.516.408),1.000,-,-,-,4643557318.0,-527041910.0,-4116516408.0,1000.0,,,
Mua sắm trong kỳ,Nguyên giá > Mua sắm trong kỳ,Mua sắm trong kỳ,1.354.621.015,26.110.732.333,14.051.772.249,430.508.968,202.000.000,-,42.149.634.565,1354621015.0,26110732333.0,14051772249.0,430508968.0,202000000.0,,42149634565.0
XDCB hoàn thành,Nguyên giá > XDCB hoàn thành,XDCB hoàn thành,42.957.175.780,4.866.856.818,-,-,-,-,47.824.032.598,42957175780.0,4866856818.0,,,,,47824032598.0
CL do chuyển đổi,Nguyên giá > CL do chuyển đổi,CL do chuyển đổi,173.207.802,4.741.555.646,58.154.340,789.064.280,-,-,5.761.982.068,173207802.0,4741555646.0,58154340.0,789064280.0,,,5761982068.0
"Thanh lý, nhượng bán","Nguyên giá > Thanh lý, nhượng bán","Thanh lý, nhượng bán",9.480.143.622,-,649.513.869,40.600.000,-,-,10.170.257.491,9480143622.0,,649513869.0,40600000.0,,,10170257491.0
Giảm do phá đô TSCĐ,Nguyên giá > Giảm do phá đô TSCĐ,Giảm do phá đô TSCĐ,-,-,-,-,19.401.739.005,-,19.401.739.005,,,,,19401739005.0,,19401739005.0
Số cuối kỳ,Nguyên giá > Số cuối kỳ,Số cuối kỳ,579.623.148.758,632.129.373.157,56.542.791.495,98.769.718.291,556.528.248.745,2.421.224.364.512,4.344.817.644.958,579623148758.0,632129373157.0,56542791495.0,98769718291.0,556528248745.0,2421224364512.0,4344817644958.0
Khẩu hao,Khẩu hao,Khẩu hao,Khẩu hao,Khẩu hao,Khẩu hao,Khẩu hao,Khẩu hao,Khẩu hao,Khẩu hao,,,,,,,
Số đầu kỳ,Khẩu hao > Số đầu kỳ,Số đầu kỳ,159.014.509.222,572.871.625.191,36.011.701.221,93.761.785.768,245.292.510.923,256.851.599.216,1.363.803.731.541,159014509222.0,572871625191.0,36011701221.0,93761785768.0,245292510923.0,256851599216.0,1363803731541.0
Phân loại lại,Khẩu hao > Phân loại lại,Phân loại lại,3.237.778.126,(421.633.528),(2.816.144.598),-,-,-,-,3237778126.0,-421633528.0,-2816144598.0,,,,
Khẩu hao trong kỳ,Khẩu hao > Khẩu hao trong kỳ,Khẩu hao trong kỳ,17.642.445.813,8.404.766.013,3.343.198.300,1.831.893.559,19.056.702.682,86.360.641.819,136.639.648.186,17642445813.0,8404766013.0,3343198300.0,1831893559.0,19056702682.0,86360641819.0,136639648186.0
CL do chuyển đổi,Khẩu hao > CL do chuyển đổi,CL do chuyển đổi,167.620.666,4.641.128.610,59.811.778,807.380.732,-,-,5.675.941.786,167620666.0,4641128610.0,59811778.0,807380732.0,,,5675941786.0
"Thanh lý, nhượng bán","Khẩu hao > Thanh lý, nhượng bán","Thanh lý, nhượng bán",2.277.634.831,-,499.203.979,31.450.000,-,-,2.808.288.810,2277634831.0,,499203979.0,31450000.0,,,2808288810.0
Giảm do phá đô TSCĐ,Khẩu hao > Giảm do phá đô TSCĐ,Giảm do phá đô TSCĐ,-,-,-,-,14.930.736.849,-,14.930.736.849,,,,,14930736849.0,,14930736849.0
Số cuối kỳ,Khẩu hao > Số cuối kỳ,Số cuối kỳ,177.784.718.996,585.495.886.286,36.099.362.722,96.369.610.059,249.418.476.756,343.212.241.035,1.488.380.295.854,177784718996.0,585495886286.0,36099362722.0,96369610059.0,249418476756.0,343212241035.0,1488380295854.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,,
Số đầu kỳ,Giá trị còn lại > Số đầu kỳ,Số đầu kỳ,380.960.221.243,24.065.645.079,11.187.193.962,3.828.958.275,330.435.476.827,2.164.372.765.296,2.914.850.260.682,380960221243.0,24065645079.0,11187193962.0,3828958275.0,330435476827.0,2164372765296.0,2914850260682.0
Số cuối kỳ,Giá trị còn lại > Số cuối kỳ,Số cuối kỳ,401.838.429.762,46.633.486.871,20.443.428.773,2.400.108.232,307.109.771.989,2.078.012.123.477,2.856.437.349.104,401838429762.0,46633486871.0,20443428773.0,2400108232.0,307109771989.0,2078012123477.0,2856437349104.0
