row_label_raw,row_label_full,Chỉ tiêu,"Bản hàng hóa, lĩnh kiện điện tử","Bản gỗ, sản phẩm từ gỗ, cao su, nông nghiệp",Kinh doanh phân bón,"Công trình xây dựng, thu phí BOT",Dịch vụ bến xe và xe buýt,Hoạt động kinh doanh bất động sản,"Hoạt động khác (cho thuê tài sản, khách sạn...)",Loại trừ,Đơn vị tính: VND Tổng cộng,"numeric__Bản hàng hóa, lĩnh kiện điện tử","numeric__Bản gỗ, sản phẩm từ gỗ, cao su, nông nghiệp",numeric__Kinh doanh phân bón,"numeric__Công trình xây dựng, thu phí BOT",numeric__Dịch vụ bến xe và xe buýt,numeric__Hoạt động kinh doanh bất động sản,"numeric__Hoạt động khác (cho thuê tài sản, khách sạn...)",numeric__Loại trừ,numeric__Đơn vị tính: VND Tổng cộng
Doanh thu thuần tử bán hàng ra bên ngoài,Doanh thu thuần tử bán hàng ra bên ngoài,Doanh thu thuần tử bán hàng ra bên ngoài,2.077.440.112.435,45.944.713.281,396.184.846.419,373.754.273.523,815.973.615,-,20.152.530.661,-,2.914.292.449.934,2077440112435.0,45944713281.0,396184846419.0,373754273523.0,815973615.0,,20152530661.0,,2914292449934.0
Doanh thu giữa các bộ phận,Doanh thu giữa các bộ phận,Doanh thu giữa các bộ phận,(121.773.642.254),(29.820.031.000),-,(35.693.876.363),-,-,(3.163.636.363),190.451.185.980,-,-121773642254.0,-29820031000.0,,-35693876363.0,,,-3163636363.0,190451185980.0,
Giá vốn của bộ phận,Giá vốn của bộ phận,Giá vốn của bộ phận,1.893.951.289.777,35.524.836.910,386.605.850.532,146.876.065.161,456.187.591,-,20.555.087.314,-,2.483.969.317.285,1893951289777.0,35524836910.0,386605850532.0,146876065161.0,456187591.0,,20555087314.0,,2483969317285.0
Lợi nhuận từ hoạt động kinh doanh,Lợi nhuận từ hoạt động kinh doanh,Lợi nhuận từ hoạt động kinh doanh,183.488.822.658,10.419.876.371,9.578.995.887,226.878.208.362,359.786.024,-,(402.556.653),-,430.323.132.649,183488822658.0,10419876371.0,9578995887.0,226878208362.0,359786024.0,,-402556653.0,,430323132649.0
Tải sản bộ phận tại ngày 31/12/2018,Tải sản bộ phận tại ngày 31/12/2018,Tải sản bộ phận tại ngày 31/12/2018,1.579.596.000.015,1.607.189.522.700,443.389.567.936,4.563.061.092.470,(31.653.703.412),360.053.376.528,195.184.869.418,-,8.716.820.725.655,1579596000015.0,1607189522700.0,443389567936.0,4563061092470.0,-31653703412.0,360053376528.0,195184869418.0,,8716820725655.0
Tải sản không phân bổ,Tải sản không phân bổ,Tải sản không phân bổ,-,-,-,-,-,-,-,-,(4.562.761.271),,,,,,,,,-4562761271.0
Tổng tài sản,Tổng tài sản,Tổng tài sản,,,,,,,,,8.712.257.964.384,,,,,,,,,8712257964384.0
Nợ phải trả bộ phận tại ngày 31/12/2018,Nợ phải trả bộ phận tại ngày 31/12/2018,Nợ phải trả bộ phận tại ngày 31/12/2018,1.628.851.066.297,276.347.397.920,42.460.353.035,2.904.677.533.895,(29.638.842.906),291.548.728.935,89.331.258.494,-,5.203.577.495.670,1628851066297.0,276347397920.0,42460353035.0,2904677533895.0,-29638842906.0,291548728935.0,89331258494.0,,5203577495670.0
Nợ phải trả không phân bổ,Nợ phải trả không phân bổ,Nợ phải trả không phân bổ,-,-,-,-,-,-,-,-,26.525.686.545,,,,,,,,,26525686545.0
Tổng nợ phải trả,Tổng nợ phải trả,Tổng nợ phải trả,,,,,,,,,5.230.103.182.215,,,,,,,,,5230103182215.0
Khẩu hao và chí phí phân bổ,Khẩu hao và chí phí phân bổ,Khẩu hao và chí phí phân bổ,58.796.831.101,5.872.046.062,9.689.442.603,87.663.243.757,21.320.204,3.899.808.119,2.730.156.074,-,168.672.847.920,58796831101.0,5872046062.0,9689442603.0,87663243757.0,21320204.0,3899808119.0,2730156074.0,,168672847920.0
- Khẩu hao,- Khẩu hao,- Khẩu hao,58.267.103.905,5.783.964.387,8.807.541.122,85.617.758.855,-,2.983.816.373,2.719.452.806,-,164.179.637.448,58267103905.0,5783964387.0,8807541122.0,85617758855.0,,2983816373.0,2719452806.0,,164179637448.0
"- Chi phí phân bổ142,242","- Chi phí phân bổ142,242","- Chi phí phân bổ142,242",529.727.196,88.081.675,881.901.481,2.045.484.902,21.320.204,915.991.746,10.703.268,-,4.493.210.472,529727196.0,88081675.0,881901481.0,2045484902.0,21320204.0,915991746.0,10703268.0,,4493210472.0
Khẩu hao và chí phí không phân bổ,Khẩu hao và chí phí không phân bổ,Khẩu hao và chí phí không phân bổ,,,,,,,,,403.896.456,,,,,,,,,403896456.0
