row_label_raw,row_label_full,col_0,Quyền sử dụng đất (*),Nhà cửa vật kiến trúc,Cộng,numeric__Quyền sử dụng đất (*),numeric__Nhà cửa vật kiến trúc,numeric__Cộng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,
Số đầu kỳ,Nguyên giá > Số đầu kỳ,Số đầu kỳ,66.720.417.973,56.149.693.891,122.870.111.864,66720417973.0,56149693891.0,122870111864.0
Tăng trong kỳ,Tăng trong kỳ,Tăng trong kỳ,-,-,-,,,
"Thanh lý, nhượng bán","Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,-,-,,,
Số cuối kỳ,"Thanh lý, nhượng bán > Số cuối kỳ",Số cuối kỳ,66.720.417.973,56.149.693.891,122.870.111.864,66720417973.0,56149693891.0,122870111864.0
Khấu hao,Khấu hao,Khấu hao,Khấu hao,Khấu hao,Khấu hao,,,
Số đầu kỳ,Khấu hao > Số đầu kỳ,Số đầu kỳ,-,19.519.950.387,19.519.950.387,,19519950387.0,19519950387.0
Khấu hao trong kỳ,Khấu hao > Khấu hao trong kỳ,Khấu hao trong kỳ,-,1.932.784.094,1.932.784.094,,1932784094.0,1932784094.0
"Thanh lý, nhượng bán","Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,-,-,,,
Số cuối kỳ,"Thanh lý, nhượng bán > Số cuối kỳ",Số cuối kỳ,-,21.452.734.481,21.452.734.481,,21452734481.0,21452734481.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,
Số đầu kỳ,Giá trị còn lại > Số đầu kỳ,Số đầu kỳ,66.720.417.973,36.629.743.504,103.350.161.477,66720417973.0,36629743504.0,103350161477.0
Số cuối kỳ,Giá trị còn lại > Số cuối kỳ,Số cuối kỳ,66.720.417.973,34.696.959.410,101.417.377.383,66720417973.0,34696959410.0,101417377383.0
