row_label_raw,row_label_full,col_0,Phân mềm,Trang web,Tài sản khác,VND Tổng cộng,numeric__Phân mềm,numeric__Trang web,numeric__Tài sản khác,numeric__VND Tổng cộng
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,,
Số dư đầu năm,Nguyên giá: > Số dư đầu năm,Số dư đầu năm,631.349.309,442.166.005,310.734.600,1.384.249.914,631349309.0,442166005.0,310734600.0,1384249914.0
Mua trong năm,Nguyên giá: > Mua trong năm,Mua trong năm,1.036.568.000,125.000.000,-,1.161.568.000,1036568000.0,125000000.0,,1161568000.0
Đầu tư xây dựng cơ bản hoàn thành,Nguyên giá: > Đầu tư xây dựng cơ bản hoàn thành,Đầu tư xây dựng cơ bản hoàn thành,732.000.000,-,-,732.000.000,732000000.0,,,732000000.0
Số dư cuối năm,Nguyên giá: > Số dư cuối năm,Số dư cuối năm,2.399.917.309,567.166.005,310.734.600,3.277.817.914,2399917309.0,567166005.0,310734600.0,3277817914.0
Trong đó: Đã hao mòn hết,Nguyên giá: > Trong đó: Đã hao mòn hết,Trong đó: Đã hao mòn hết,-,385.166.005,107.434.600,492.600.605,,385166005.0,107434600.0,492600605.0
Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế: > Số dư đầu năm,Số dư đầu năm,(241.425.466),(356.026.883),(132.847.090),(730.299.439),-241425466.0,-356026883.0,-132847090.0,-730299439.0
Hao mòn trong năm,Giá trị hao mòn lũy kế: > Hao mòn trong năm,Hao mòn trong năm,(264.085.375),(71.618.300),(50.824.994),(386.528.669),-264085375.0,-71618300.0,-50824994.0,-386528669.0
Số dư cuối năm,Giá trị hao mòn lũy kế: > Số dư cuối năm,Số dư cuối năm,(505.510.841),(427.645.183),(183.672.084),(1.116.828.108),-505510841.0,-427645183.0,-183672084.0,-1116828108.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,,
Số dư đầu năm,Giá trị còn lại: > Số dư đầu năm,Số dư đầu năm,389.923.843,86.139.122,177.887.510,653.950.475,389923843.0,86139122.0,177887510.0,653950475.0
Số dư cuối năm,Giá trị còn lại: > Số dư cuối năm,Số dư cuối năm,1.894.406.468,139.520.822,127.062.516,2.160.989.806,1894406468.0,139520822.0,127062516.0,2160989806.0
