row_label_raw,row_label_full,Đầu tư vào công ty con (Thuyết minh số 14.1) > Đầu tư vào công ty liên kết (Thuyết minh số 14.2),Số cuối năm > 1.022.136.960.953 > 121.516.210.000,VND Số đầu năm > 763.798.375.009 > 121.516.210.000,numeric__Số cuối năm > 1.022.136.960.953 > 121.516.210.000,numeric__VND Số đầu năm > 763.798.375.009 > 121.516.210.000
Dự phòng đầu tư tài chính dài hạn,Dự phòng đầu tư tài chính dài hạn,Dự phòng đầu tư tài chính dài hạn,-,(3.991.981.767),,-3991981767.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,1.143.653.170.953,881.322.603.242,1143653170953.0,881322603242.0
