row_label_raw,row_label_full,col_0,Vốn cổ phần,Thặng dư vốn cổ phần,Cổ phiếu quỹ,Quỹ đầu tư phát triển,Lợi nhuận sau thuế chưa phân phối,VND Tổng cộng,numeric__Vốn cổ phần,numeric__Thặng dư vốn cổ phần,numeric__Cổ phiếu quỹ,numeric__Quỹ đầu tư phát triển,numeric__Lợi nhuận sau thuế chưa phân phối,numeric__VND Tổng cộng
Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,,,,,,
Số dư đầu năm,Năm trước > Số dư đầu năm,Số dư đầu năm,750.000.000.000,10.867.980.806,(580.000.000),11.449.449.033,194.739.296.560,966.476.726.399,750000000000.0,10867980806.0,-580000000.0,11449449033.0,194739296560.0,966476726399.0
Phát hành mới,Năm trước > Phát hành mới,Phát hành mới,257.000.000.000,-,-,-,-,257.000.000.000,257000000000.0,,,,,257000000000.0
Cổ tức bằng cổ phiếu,Năm trước > Cổ tức bằng cổ phiếu,Cổ tức bằng cổ phiếu,158.635.700.000,-,-,-,(158.635.700.000),-,158635700000.0,,,,-158635700000.0,
Phát hành cổ phiếu theo,Phát hành cổ phiếu theo,Phát hành cổ phiếu theo,,,,,,,,,,,,
Chương trình lựa chọn cho người lao động,Phát hành cổ phiếu theo > Chương trình lựa chọn cho người lao động,Chương trình lựa chọn cho người lao động,7.000.000.000,-,-,-,(7.000.000.000),-,7000000000.0,,,,-7000000000.0,
Lợi nhuận thuần trong năm,Phát hành cổ phiếu theo > Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,143.480.134.444,143.480.134.444,,,,,143480134444.0,143480134444.0
Trích quỹ đầu tư phát triển,Phát hành cổ phiếu theo > Trích quỹ đầu tư phát triển,Trích quỹ đầu tư phát triển,-,-,-,3.356.689.793,(3.356.689.793),-,,,,3356689793.0,-3356689793.0,
Trích quỹ khen thưởng phúc lợi,Phát hành cổ phiếu theo > Trích quỹ khen thưởng phúc lợi,Trích quỹ khen thưởng phúc lợi,-,-,-,-,(10.533.448.964),(10.533.448.964),,,,,-10533448964.0,-10533448964.0
Số dư cuối năm,Phát hành cổ phiếu theo > Số dư cuối năm,Số dư cuối năm,1.172.635.700.000,10.867.980.806,(580.000.000),14.806.138.826,158.693.592.247,1.356.423.411.879,1172635700000.0,10867980806.0,-580000000.0,14806138826.0,158693592247.0,1356423411879.0
Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,,,,,,
Số dư đầu năm,Năm nay > Số dư đầu năm,Số dư đầu năm,1.172.635.700.000,10.867.980.806,(580.000.000),14.806.138.826,158.693.592.247,1.356.423.411.879,1172635700000.0,10867980806.0,-580000000.0,14806138826.0,158693592247.0,1356423411879.0
Phát hành mới (*),Năm nay > Phát hành mới (*),Phát hành mới (*),1.172.055.700.000,-,-,-,-,1.172.055.700.000,1172055700000.0,,,,,1172055700000.0
Cổ tức bằng cổ phiếu (*),Năm nay > Cổ tức bằng cổ phiếu (*),Cổ tức bằng cổ phiếu (*),175.799.280.000,-,-,-,(175.799.280.000),-,175799280000.0,,,,-175799280000.0,
Phát hành cổ phiếu theo,Phát hành cổ phiếu theo,Phát hành cổ phiếu theo,,,,,,,,,,,,
Chương trình lựa chọn cho người lao động (*),Phát hành cổ phiếu theo > Chương trình lựa chọn cho người lao động (*),Chương trình lựa chọn cho người lao động (*),10.000.000.000,-,-,-,(10.000.000.000),-,10000000000.0,,,,-10000000000.0,
Lợi nhuận thuần trong năm,Phát hành cổ phiếu theo > Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,385.358.519.380,385.358.519.380,,,,,385358519380.0,385358519380.0
Trích quỹ đầu tư phát triển,Phát hành cổ phiếu theo > Trích quỹ đầu tư phát triển,Trích quỹ đầu tư phát triển,-,-,-,6.732.570.727,(6.732.570.727),-,,,,6732570727.0,-6732570727.0,
Trích quỹ khen thưởng phúc lợi,Phát hành cổ phiếu theo > Trích quỹ khen thưởng phúc lợi,Trích quỹ khen thưởng phúc lợi,-,-,-,-,(29.560.565.817),(29.560.565.817),,,,,-29560565817.0,-29560565817.0
Số dư cuối năm,Phát hành cổ phiếu theo > Số dư cuối năm,Số dư cuối năm,2.530.490.680.000,10.867.980.806,(580.000.000),21.538.709.553,321.959.695.083,2.884.277.065.442,2530490680000.0,10867980806.0,-580000000.0,21538709553.0,321959695083.0,2884277065442.0
