row_label_raw,row_label_full,col_0,VND,VND_1,numeric__VND,numeric__VND_1
,,,Số cuối năm,Số đầu năm,,
Ngắn hạn,Ngắn hạn,Ngắn hạn,154.989.467.103,133.283.464.786,154989467103.0,133283464786.0
Vay ngân hàng (Thuyết minh số 23.1),Vay ngân hàng (Thuyết minh số 23.1),Vay ngân hàng (Thuyết minh số 23.1),82.049.873.000,89.186.344.000,82049873000.0,89186344000.0
Vay dài hạn đến hạn trả,Vay dài hạn đến hạn trả,Vay dài hạn đến hạn trả,72.939.594.103,44.097.120.786,72939594103.0,44097120786.0
Dài hạn,Dài hạn,Dài hạn,492.840.989.722,282.282.483.142,492840989722.0,282282483142.0
Vay ngân hàng (Thuyết minh số 23.2),Vay ngân hàng (Thuyết minh số 23.2),Vay ngân hàng (Thuyết minh số 23.2),142.840.989.722,282.282.483.142,142840989722.0,282282483142.0
Trái phiếu (Thuyết minh số 23.3),Trái phiếu (Thuyết minh số 23.3),Trái phiếu (Thuyết minh số 23.3),350.000.000.000,-,350000000000.0,
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,647.830.456.825,415.565.947.928,647830456825.0,415565947928.0
Tỉnh hình tăng giảm các khoản vay như sau:,Tỉnh hình tăng giảm các khoản vay như sau:,Tỉnh hình tăng giảm các khoản vay như sau:,Tỉnh hình tăng giảm các khoản vay như sau:,Tỉnh hình tăng giảm các khoản vay như sau:,,
,,,Năm nay,VNDNăm trước,,
Số đầu năm,Tỉnh hình tăng giảm các khoản vay như sau: > Số đầu năm,Số đầu năm,415.565.947.928,119.109.413.376,415565947928.0,119109413376.0
Vay trong năm,Tỉnh hình tăng giảm các khoản vay như sau: > Vay trong năm,Vay trong năm,582.232.211.940,354.456.534.552,582232211940.0,354456534552.0
Trả nợ gốc vay,Tỉnh hình tăng giảm các khoản vay như sau: > Trả nợ gốc vay,Trả nợ gốc vay,(349.967.703.043),(58.000.000.000),-349967703043.0,-58000000000.0
Số cuối năm,Tỉnh hình tăng giảm các khoản vay như sau: > Số cuối năm,Số cuối năm,647.830.456.825,415.565.947.928,647830456825.0,415565947928.0
