row_label_raw,row_label_full,Thuế giá trị gia tăng,Số đầu năm > 534.612.523,Số phải nộp trong năm > 20.859.637.289,Số đã nộp trong năm > (4.259.061.486),VND Số cuối năm > 17.135.188.326,numeric__Số đầu năm > 534.612.523,numeric__Số phải nộp trong năm > 20.859.637.289,numeric__Số đã nộp trong năm > (4.259.061.486),numeric__VND Số cuối năm > 17.135.188.326
Thuế TNDN,Thuế TNDN,Thuế TNDN,6.430.433.633,73.066.263.469,(28.870.669.001),50.626.028.101,6430433633.0,73066263469.0,-28870669001.0,50626028101.0
Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,1.634.904.960,12.150.367.506,(11.570.238.922),2.215.033.544,1634904960.0,12150367506.0,-11570238922.0,2215033544.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,8.599.951.116,106.076.268.264,(44.699.969.409),69.976.249.971,8599951116.0,106076268264.0,-44699969409.0,69976249971.0
