row_label_raw,row_label_full,Bên liên quan,Môi quan hệ,Nội dung nghiệp vụ,Năm nay,Năm trước,numeric__Môi quan hệ,numeric__Nội dung nghiệp vụ,numeric__Năm nay,numeric__Năm trước
Xuân Định,Xuân Định,Xuân Định,Công ty con,Góp vốnCho vayTạm ứng vốnLãi từ cho vay,135.000.000.000644.510.334200.000.00040.613.646,70.000.000.000--,,,1.350000000006445e+37,
Vidoland,Vidoland,Vidoland,Công ty con,Góp vốn,128.000.000.000,-,,,128000000000.0,
Xây dựng ECI,Xây dựng ECI,Xây dựng ECI,Công ty con,Ứng trước bên bánGóp vốn,100.000.000.000-,15.000.000.000,,,,15000000000.0
Đất Xanh Miền Bắc,Đất Xanh Miền Bắc,Đất Xanh Miền Bắc,Công ty con,Vốn góp HĐHTKDDịch vụ môi giớibắt động sảnCổ tứcGóp vốnLãi từ cho vayPhí thương hiệuCho vay,65.425.697.00034.189.208.81423.090.250.00021.930.000.000463.333.33370.000.000-,137.036.593.00031.574.367.17416.192.500.00015.300.000.000176.666.666-10.000.000.000,,,,
In Nông Nghiệp,Đất Xanh Miền Bắc > In Nông Nghiệp,In Nông Nghiệp,Công ty con,Góp vốn,61.000.000.000,71.985.600.000,,,61000000000.0,71985600000.0
Đất Xanh Miền Trung,Đất Xanh Miền Bắc > Đất Xanh Miền Trung,Đất Xanh Miền Trung,Công ty con,Vốn góp HĐHTKDCổ tứcGóp vốnDịch vụ môi giớibắt động sảnPhí thương hiệu,38.624.176.00014.476.000.00013.750.000.00010.120.358.58970.000.000,23.069.000.00023.166.880.00020.900.000.0005.585.090.957-,,,3.862417600014476e+51,
Hà Thuận Hùng,Đất Xanh Miền Bắc > Hà Thuận Hùng,Hà Thuận Hùng,Công ty con,Cổ tứcTạm ứng vốnGóp vốn,25.000.000.0002.055.721.904-,-110.000.000.000,,,,-110000000000.0
Đất Xanh Miền Nam,Đất Xanh Miền Bắc > Đất Xanh Miền Nam,Đất Xanh Miền Nam,Công ty con,Cổ tứcGóp vốnDịch vụ môi giớibắt động sảnPhí môi giớiPhí thương hiệuVốn góp HĐHTKD,11.832.000.0008.670.000.0006.368.314.4895.806.056.28130.000.000-,13.433.400.00012.750.000.00034.104.252.90140.000.00055.159.703.464,,,,1.34334000001275e+51
