row_label_raw,row_label_full,Đất Xanh Miền Bắc,Công ty con,Vốn gópHĐHTKD,186.068.131.414,135.883.197.752,numeric__Công ty con,numeric__Vốn gópHĐHTKD,numeric__186.068.131.414,numeric__135.883.197.752
Đất Xanh Miền Bắc,Đất Xanh Miền Bắc,Đất Xanh Miền Bắc,Công ty con,Cổ tứcLãi cho vay,1.160.250.00060.000.000,892.500.000103.333.333,,,1.1602500006e+17,8.925000001033334e+17
Xuân Định,Xuân Định,Xuân Định,Công ty con,Phải thu vềgóp vốn,135.000.000.000,-,,,135000000000.0,
Xuân Định,Xuân Định,Xuân Định,Công ty con,Tạm ứng vốn,278.085.447,78.085.447,,,278085447.0,78085447.0
Xuân Định,Xuân Định,Xuân Định,Công ty con,Lãi cho vay,40.613.646,-,,,40613646.0,
Đất Xanh Miền Trung,Đất Xanh Miền Trung,Đất Xanh Miền Trung,Công ty con,Vốn gópHĐHTKD,38.624.176.000,10.419.000.000,,,38624176000.0,10419000000.0
LDG,LDG,LDG,Công ty liên kết,Lãi cho vay,8.418.562.500,6.359.812.500,,,8418562500.0,6359812500.0
Đất Xanh Miền Nam,Đất Xanh Miền Nam,Đất Xanh Miền Nam,Công ty con,Vốn gópHĐHTKD,6.049.686.716,46.434.898.821,,,6049686716.0,46434898821.0
Ông Lương Trí Tú,Ông Lương Trí Tú,Ông Lương Trí Tú,Cổ đông,Tạm ứng,3.432.426.866,5.423.737.866,,,3432426866.0,5423737866.0
Ông NguyễnKhánh Hưng,Ông NguyễnKhánh Hưng,Ông NguyễnKhánh Hưng,Thành viênHĐQT,Tạm ứng,1.204.322.600,1.204.322.600,,,1204322600.0,1204322600.0
Vicco Sài Gòn,Vicco Sài Gòn,Vicco Sài Gòn,Công ty con,Chi hộ,488.430.000,-,,,488430000.0,
Tâm Thông,Tâm Thông,Tâm Thông,Công ty con,Tạm ứngLãi cho vay,-,2.277.146.64037.285.118,,,,2.2771466403728512e+17
,,,,,380.824.685.189,209.113.320.077,,,380824685189.0,209113320077.0
