row_label_raw,row_label_full,Bên liên quan,Mối quan hệ,Nội dung nghiệp vụ,Số cuối năm,VND Số đầu năm,numeric__Mối quan hệ,numeric__Nội dung nghiệp vụ,numeric__Số cuối năm,numeric__VND Số đầu năm
Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,,,,
Đất Xanh Đông Nam Bộ,Phải trả người bán ngắn hạn > Đất Xanh Đông Nam Bộ,Đất Xanh Đông Nam Bộ,Công ty con,Dịch vụ,1.273.321.716,1.273.321.716,,,1273321716.0,1273321716.0
Người mua trả tiền trước ngắn hạn,Người mua trả tiền trước ngắn hạn,Người mua trả tiền trước ngắn hạn,Người mua trả tiền trước ngắn hạn,Người mua trả tiền trước ngắn hạn,Người mua trả tiền trước ngắn hạn,Người mua trả tiền trước ngắn hạn,,,,
Ông Lương Trí Thảo,Người mua trả tiền trước ngắn hạn > Ông Lương Trí Thảo,Ông Lương Trí Thảo,Thành viên HDQT,Ứng trước,1.100.000.000,-,,,1100000000.0,
Ông Nguyễn Khánh Hưng,Người mua trả tiền trước ngắn hạn > Ông Nguyễn Khánh Hưng,Ông Nguyễn Khánh Hưng,Thành viên HDQT,Ứng trước,200.000.000,-,,,200000000.0,
,,,,,1.300.000.000,-,,,1300000000.0,
Phải trả ngắn hạn khác,Phải trả ngắn hạn khác,Phải trả ngắn hạn khác,Phải trả ngắn hạn khác,Phải trả ngắn hạn khác,Phải trả ngắn hạn khác,Phải trả ngắn hạn khác,,,,
Long Kim Phát,Phải trả ngắn hạn khác > Long Kim Phát,Long Kim Phát,Công ty con,Thu hộ tiền dự án,37.941.324.672,32.356.155.919,,,37941324672.0,32356155919.0
Hà Thuận Hùng,Phải trả ngắn hạn khác > Hà Thuận Hùng,Hà Thuận Hùng,Công ty con,Thu hộ tiền dự án,559.274.014,47.960.621.494,,,559274014.0,47960621494.0
Đất Xanh Miền Nam,Phải trả ngắn hạn khác > Đất Xanh Miền Nam,Đất Xanh Miền Nam,Công ty con,Ký quỹ ngắn hạn Thu hộ tiền dự án,552.584.013 417.147.545,- 417.147.545,,,,-417147545.0
Ông Lương Trí Thảo,Phải trả ngắn hạn khác > Ông Lương Trí Thảo,Ông Lương Trí Thảo,Thành viên HDQT,Khác,552.459.000,552.459.000,,,552459000.0,552459000.0
Ông Lương Trí Thìn,Phải trả ngắn hạn khác > Ông Lương Trí Thìn,Ông Lương Trí Thìn,Chủ tịch,Khác,42.000.000,42.000.000,,,42000000.0,42000000.0
Ông Lương Trí Tú,Phải trả ngắn hạn khác > Ông Lương Trí Tú,Ông Lương Trí Tú,Cổ đông,Khác,41.050.000,41.050.000,,,41050000.0,41050000.0
,,,,,40.105.839.244,81.369.433.958,,,40105839244.0,81369433958.0
