row_label_raw,row_label_full,col_0,col_1,Số cuối năm > Giá gốc,Số cuối năm > Dự phòng,Số cuối năm > VNDGiá trị hợp lý,Số cuối năm > Giá gốc_1,Số cuối năm > Dự phòng_1,Số đầu năm > VNDGiá trị hợp lý,numeric__col_1,numeric__Số cuối năm > Giá gốc,numeric__Số cuối năm > Dự phòng,numeric__Số cuối năm > VNDGiá trị hợp lý,numeric__Số cuối năm > Giá gốc_1,numeric__Số cuối năm > Dự phòng_1,numeric__Số đầu năm > VNDGiá trị hợp lý
STT,STT,STT,"c. Đầu tư vào công tyliên doanh, liên kết",445.079.247.897,(28.446.862.567),,445.079.247.897,(3.250.295.941),,,445079247897.0,-28446862567.0,,445079247897.0,-3250295941.0,
1,1,1,Công ty TNHH Kính nổi Việt Nam(i),286.821.000.000,(22.525.681.974),,286.821.000.000,-,,,286821000000.0,-22525681974.0,,286821000000.0,,
2,2,2,Công ty SanVig - CTCP (i),126.146.020.560,-,,126.146.020.560,-,,,126146020560.0,,,126146020560.0,,
3,3,3,Công ty Cổ phần Gạch ngói TừSơn (ii),4.837.506.400,(2.493.152.358),5.934.672.800,4.837.506.400,(1.233.826.810),6.383.513.600,,4837506400.0,-2493152358.0,5934672800.0,4837506400.0,-1233826810.0,6383513600.0
4,4,4,Công ty Cổ phần Gốm xây dựngYên Hưng (ii),2.002.000.000,(2.002.000.000),4.290.000.000,2.002.000.000,(2.002.000.000),2.314.000.000,,2002000000.0,-2002000000.0,4290000000.0,2002000000.0,-2002000000.0,2314000000.0
5,5,5,Công ty Cổ phần Đầu tư và Xuấtnhập khấu Viglacera (i),21.789.858.320,-,,21.789.858.320,-,,,21789858320.0,,,21789858320.0,,
6,6,6,Công ty Cổ phần Gạch chịu lửaCầu Đường (i),3.482.862.617,(1.426.028.235),,3.482.862.617,(14.469.131),,,3482862617.0,-1426028235.0,,3482862617.0,-14469131.0,
,,,d. Đầu tư vào đơn vị khác,8.242.682.344,(623.513.782),,8.242.682.344,(623.513.782),,,8242682344.0,-623513782.0,,8242682344.0,-623513782.0,
1,1,1,Công ty Cổ phần Phát triển vàKinh doanh nhà Vĩnh Phúc (i),1.305.017.929,(623.330.293),,1.305.017.929,(623.330.293),,,1305017929.0,-623330293.0,,1305017929.0,-623330293.0,
2,2,2,Công ty Cổ phần Visaho (i),5.400.000.000,-,,5.400.000.000,-,,,5400000000.0,,,5400000000.0,,
3,3,3,Công ty Cổ phần Cầu Xây (i),1.184.497.242,-,,1.184.497.242,-,,,1184497242.0,,,1184497242.0,,
4,4,4,Công ty Cổ phần Tư vấn Xâydựng Viglacera Land (i),353.167.173,(183.489),,353.167.173,(183.489),,,353167173.0,-183489.0,,353167173.0,-183489.0,
,,,,3.793.191.596.058,(487.379.148.903),,3.709.010.131.689,(396.419.689.430),,,3793191596058.0,-487379148903.0,,3709010131689.0,-396419689430.0,
