row_label_raw,row_label_full,col_0,Máy móc thiết bị VND,Phương tiện vận tải VND,Tổng VND,numeric__Máy móc thiết bị VND,numeric__Phương tiện vận tải VND,numeric__Tổng VND
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,
Số dư đầu năm,NGUYÊN GIÁ > Số dư đầu năm,Số dư đầu năm,8.574.787.545,6.276.736.364,14.851.523.909,8574787545.0,6276736364.0,14851523909.0
Thuê tài chính trong năm,NGUYÊN GIÁ > Thuê tài chính trong năm,Thuê tài chính trong năm,8.132.561.031,-,8.132.561.031,8132561031.0,,8132561031.0
Mua lại tài sản cố định thuê tài chính,NGUYÊN GIÁ > Mua lại tài sản cố định thuê tài chính,Mua lại tài sản cố định thuê tài chính,-,6.000.000,6.000.000,,6000000.0,6000000.0
Chuyển sang tài sản cố định hữu hình,NGUYÊN GIÁ > Chuyển sang tài sản cố định hữu hình,Chuyển sang tài sản cố định hữu hình,-,(2.685.654.546),(2.685.654.546),,-2685654546.0,-2685654546.0
Số dư cuối năm,NGUYÊN GIÁ > Số dư cuối năm,Số dư cuối năm,16.707.348.576,3.597.081.818,20.304.430.394,16707348576.0,3597081818.0,20304430394.0
GIÁ TRI HAO MÒN LỦY KẾ,GIÁ TRI HAO MÒN LỦY KẾ,GIÁ TRI HAO MÒN LỦY KẾ,GIÁ TRI HAO MÒN LỦY KẾ,GIÁ TRI HAO MÒN LỦY KẾ,GIÁ TRI HAO MÒN LỦY KẾ,,,
Số dư đầu năm,GIÁ TRI HAO MÒN LỦY KẾ > Số dư đầu năm,Số dư đầu năm,2.863.494.825,2.549.765.493,5.413.260.318,2863494825.0,2549765493.0,5413260318.0
Khấu hao trong năm,GIÁ TRI HAO MÒN LỦY KẾ > Khấu hao trong năm,Khấu hao trong năm,1.403.732.215,590.109.646,1.993.841.861,1403732215.0,590109646.0,1993841861.0
Chuyển sang tài sản cố định hữu hình,GIÁ TRI HAO MÒN LỦY KẾ > Chuyển sang tài sản cố định hữu hình,Chuyển sang tài sản cố định hữu hình,-,(1.880.896.497),(1.880.896.497),,-1880896497.0,-1880896497.0
Số dư cuối năm,GIÁ TRI HAO MÒN LỦY KẾ > Số dư cuối năm,Số dư cuối năm,4.267.227.040,1.258.978.642,5.526.205.682,4267227040.0,1258978642.0,5526205682.0
GIÁ TRI CÒN LẠI,GIÁ TRI CÒN LẠI,GIÁ TRI CÒN LẠI,GIÁ TRI CÒN LẠI,GIÁ TRI CÒN LẠI,GIÁ TRI CÒN LẠI,,,
Tại ngày đầu năm,GIÁ TRI CÒN LẠI > Tại ngày đầu năm,Tại ngày đầu năm,5.711.292.720,3.726.970.871,9.438.263.591,5711292720.0,3726970871.0,9438263591.0
Tại ngày cuối năm,GIÁ TRI CÒN LẠI > Tại ngày cuối năm,Tại ngày cuối năm,12.440.121.536,2.338.103.176,14.778.224.712,12440121536.0,2338103176.0,14778224712.0
