row_label_raw,row_label_full,col_0,"Kinh doanh, cho thuê,quản lý vận hành bấtđộng sản và xây dựng","Sản xuất vàkinh doanh kính, gưỡng","Sản xuất và kinh doanhsử, sen vòi",Thương mại vàdịch vụ khác,Tổng cộng các bộ phận,"numeric__Kinh doanh, cho thuê,quản lý vận hành bấtđộng sản và xây dựng","numeric__Sản xuất vàkinh doanh kính, gưỡng","numeric__Sản xuất và kinh doanhsử, sen vòi",numeric__Thương mại vàdịch vụ khác,numeric__Tổng cộng các bộ phận
Doanh thu thuần từ bán hàng và dịch vụ,Doanh thu thuần từ bán hàng và dịch vụ,Doanh thu thuần từ bán hàng và dịch vụ,3.108.787.710.508,365.907.023.437,418.221.417.520,42.511.406.651,3.935.427.558.116,3108787710508.0,365907023437.0,418221417520.0,42511406651.0,3935427558116.0
Chi phí hoạt động bộ phận,Chi phí hoạt động bộ phận,Chi phí hoạt động bộ phận,1.266.832.400.539,327.661.051.322,423.730.562.018,33.646.798.779,2.051.870.812.658,1266832400539.0,327661051322.0,423730562018.0,33646798779.0,2051870812658.0
Lợi nhuận từ hoạt động kinh doanh,Lợi nhuận từ hoạt động kinh doanh,Lợi nhuận từ hoạt động kinh doanh,1.841.955.309.969,38.245.972.115,(5.509.144.498),8.864.607.872,1.883.556.745.458,1841955309969.0,38245972115.0,-5509144498.0,8864607872.0,1883556745458.0
Chi phí không phân bổ,Chi phí không phân bổ,Chi phí không phân bổ,,,,,534.142.406.183,,,,,534142406183.0
Lợi nhuận từ hoạt động kinh doanh,Lợi nhuận từ hoạt động kinh doanh,Lợi nhuận từ hoạt động kinh doanh,,,,,1.349.414.339.275,,,,,1349414339275.0
Lãi từ hoạt động khác,Lãi từ hoạt động khác,Lãi từ hoạt động khác,,,,,67.933.627.204,,,,,67933627204.0
Kết quả từ hoạt động tài chính,Kết quả từ hoạt động tài chính,Kết quả từ hoạt động tài chính,,,,,64.084.447.264,,,,,64084447264.0
Lợi nhuận trước thuế,Lợi nhuận trước thuế,Lợi nhuận trước thuế,,,,,1.481.432.413.743,,,,,1481432413743.0
Chi phí thuế thu nhập doanh nghiệp hiện hành và hoãn lại,Chi phí thuế thu nhập doanh nghiệp hiện hành và hoãn lại,Chi phí thuế thu nhập doanh nghiệp hiện hành và hoãn lại,,,,,288.553.322.868,,,,,288553322868.0
Lợi nhuận sau thuế thu nhập doanh nghiệp,Lợi nhuận sau thuế thu nhập doanh nghiệp,Lợi nhuận sau thuế thu nhập doanh nghiệp,,,,,1.192.879.090.875,,,,,1192879090875.0
