row_label_raw,row_label_full,col_0,Nhà xuǒngvà vǎt kiěn trúc,Máy mócvà thiēt bj,Phuǒng tiènvàn tǎi,"Thiēt bj,dùng cù quán lý",Khác,Tǒng,numeric__Nhà xuǒngvà vǎt kiěn trúc,numeric__Máy mócvà thiēt bj,numeric__Phuǒng tiènvàn tǎi,"numeric__Thiēt bj,dùng cù quán lý",numeric__Khác,numeric__Tǒng
,,,VND,VND,VND,VND,VND,VND,,,,,,
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,,,,
Số dư dàu nám,NGUYÊN GIÁ > Số dư dàu nám,Số dư dàu nám,2.302.050.946.241,1.787.495.429.417,89.756.446.464,17.102.554.281,4.514.137.041,4.200.919.513.444,2302050946241.0,1787495429417.0,89756446464.0,17102554281.0,4514137041.0,4200919513444.0
Mua sám trong nám,NGUYÊN GIÁ > Mua sám trong nám,Mua sám trong nám,95.800.000,3.805.755.865,2.219.045.000,2.416.337.046,-,8.536.937.911,95800000.0,3805755865.0,2219045000.0,2416337046.0,,8536937911.0
Dàu tu xay dung co bànhoàn thanh,NGUYÊN GIÁ > Dàu tu xay dung co bànhoàn thanh,Dàu tu xay dung co bànhoàn thanh,229.512.520.638,677.927.000,11.972.202.018,-,-,242.162.649.656,229512520638.0,677927000.0,11972202018.0,,,242162649656.0
Tǎng tǔ tài sán cǒ dinh thuētài chinh,NGUYÊN GIÁ > Tǎng tǔ tài sán cǒ dinh thuētài chinh,Tǎng tǔ tài sán cǒ dinh thuētài chinh,-,-,2.685.654.546,-,-,2.685.654.546,,,2685654546.0,,,2685654546.0
"Phân loái lái sang cóng cu,dùng cu","NGUYÊN GIÁ > Phân loái lái sang cóng cu,dùng cu","Phân loái lái sang cóng cu,dùng cu",-,-,-,(342.721.800),(55.450.000),(398.171.800),,,,-342721800.0,-55450000.0,-398171800.0
Giám do quyêt toán,NGUYÊN GIÁ > Giám do quyêt toán,Giám do quyêt toán,(5.223.598.946),-,-,-,-,(5.223.598.946),-5223598946.0,,,,,-5223598946.0
Tǎng/(Giám) khác,NGUYÊN GIÁ > Tǎng/(Giám) khác,Tǎng/(Giám) khác,(78.661.054),-,1.064.000.000,-,-,985.338.946,-78661054.0,,1064000000.0,,,985338946.0
Số dur cuǒi nám,NGUYÊN GIÁ > Số dur cuǒi nám,Số dur cuǒi nám,2.526.357.006.879,1.791.979.112.282,107.697.348.028,19.176.169.527,4.458.687.041,4.449.668.323.757,2526357006879.0,1791979112282.0,107697348028.0,19176169527.0,4458687041.0,4449668323757.0
GIÁ TRJ HAO MÔN LÜY KÉ,GIÁ TRJ HAO MÔN LÜY KÉ,GIÁ TRJ HAO MÔN LÜY KÉ,GIÁ TRJ HAO MÔN LÜY KÉ,GIÁ TRJ HAO MÔN LÜY KÉ,GIÁ TRJ HAO MÔN LÜY KÉ,GIÁ TRJ HAO MÔN LÜY KÉ,GIÁ TRJ HAO MÔN LÜY KÉ,GIÁ TRJ HAO MÔN LÜY KÉ,,,,,,
Số dur dàu nám,GIÁ TRJ HAO MÔN LÜY KÉ > Số dur dàu nám,Số dur dàu nám,1.243.864.972.790,1.315.816.087.339,73.755.689.062,15.004.963.581,4.244.722.619,2.652.686.435.391,1243864972790.0,1315816087339.0,73755689062.0,15004963581.0,4244722619.0,2652686435391.0
