row_label_raw,row_label_full,col_0,Nhà và quyềnsử dụng đấtVND,Cơ sở hạ tầngVND,TổngVND,numeric__Nhà và quyềnsử dụng đấtVND,numeric__Cơ sở hạ tầngVND,numeric__TổngVND
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,
Số dư đầu năm,NGUYÊN GIÁ > Số dư đầu năm,Số dư đầu năm,1.315.604.175.166,9.570.920.166.573,10.886.524.341.739,1315604175166.0,9570920166573.0,10886524341739.0
Đầu tư xây dựng cơ bảnhoàn thành,NGUYÊN GIÁ > Đầu tư xây dựng cơ bảnhoàn thành,Đầu tư xây dựng cơ bảnhoàn thành,14.578.357.491,694.947.552.912,709.525.910.403,14578357491.0,694947552912.0,709525910403.0
Số dư cuối năm,NGUYÊN GIÁ > Số dư cuối năm,Số dư cuối năm,1.330.182.532.657,10.265.867.719.485,11.596.050.252.142,1330182532657.0,10265867719485.0,11596050252142.0
GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,,,
Số dư đầu năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Số dư đầu năm,Số dư đầu năm,449.279.424.433,8.507.942.071.663,8.957.221.496.096,449279424433.0,8507942071663.0,8957221496096.0
Khấu hao trong năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Khấu hao trong năm,Khấu hao trong năm,36.614.252.282,700.659.426.810,737.273.679.092,36614252282.0,700659426810.0,737273679092.0
Phân loại lại,GIÁ TRỊ HAO MÒN LỦY KẾ > Phân loại lại,Phân loại lại,(4.058.250),4.058.250,,-4058250.0,4058250.0,
Số dư cuối năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Số dư cuối năm,Số dư cuối năm,485.889.618.465,9.208.605.556.723,9.694.495.175.188,485889618465.0,9208605556723.0,9694495175188.0
GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,,,
Tại ngày đầu năm,GIÁ TRỊ CÒN LẠI > Tại ngày đầu năm,Tại ngày đầu năm,866.324.750.733,1.062.978.094.910,1.929.302.845.643,866324750733.0,1062978094910.0,1929302845643.0
Tại ngày cuối năm,GIÁ TRỊ CÒN LẠI > Tại ngày cuối năm,Tại ngày cuối năm,844.292.914.192,1.057.262.162.762,1.901.555.076.954,844292914192.0,1057262162762.0,1901555076954.0
