row_label_raw,row_label_full,col_0,CHÌ TIÊU,Mã số,Năm nay,Năm trước,numeric__CHÌ TIÊU,numeric__Mã số,numeric__Năm nay,numeric__Năm trước
I.,I.,I.,LƯU CHUYẾN TIỀN TỪ HOẠT ĐỘNG KINH DOANH,LƯU CHUYẾN TIỀN TỪ HOẠT ĐỘNG KINH DOANH,LƯU CHUYẾN TIỀN TỪ HOẠT ĐỘNG KINH DOANH,LƯU CHUYẾN TIỀN TỪ HOẠT ĐỘNG KINH DOANH,,,,
1.,I. > 1.,1.,Lợi nhuận trước thuế,01,1.481.432.413.743,1.911.134.207.613,,1.0,1481432413743.0,1911134207613.0
2.,I. > 2.,2.,Điều chỉnh cho các khoản:Khấu hao tài sản cố định và bất động sản đầu tư,02,899.701.430.728,1.826.384.706.289,,2.0,899701430728.0,1826384706289.0
2.,I. > 2.,2.,Các khoản dự phòng,03,62.426.803.278,69.356.430.810,,3.0,62426803278.0,69356430810.0
2.,I. > 2.,2.,Lỗ/(lãi) chênh lệch tỷ giá hồi đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ,04,1.632.866.385,(1.987.785.422),,4.0,1632866385.0,-1987785422.0
2.,I. > 2.,2.,(Lãi) từ hoạt động đầu tư,05,(166.180.217.582),(325.742.632.432),,5.0,-166180217582.0,-325742632432.0
2.,I. > 2.,2.,Chi phí lãi vay,06,9.292.013.270,13.288.725.966,,6.0,9292013270.0,13288725966.0
2.,I. > 2.,2.,Các khoản điều chỉnh khác,07,40.000.000.000,100.000.000.000,,7.0,40000000000.0,100000000000.0
3.,I. > 3.,3.,Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,08,2.328.305.309.822,3.592.433.652.824,,8.0,2328305309822.0,3592433652824.0
3.,I. > 3.,3.,Thay đổi các khoản phải thu,09,46.229.720.733,(44.744.387.256),,9.0,46229720733.0,-44744387256.0
3.,I. > 3.,3.,Thay đổi hàng tồn kho,10,57.694.690.504,(573.510.112.826),,10.0,57694690504.0,-573510112826.0
3.,I. > 3.,3.,"Thay đổi các khoản phải trả (Không kế lãi vay phải trả, thuế thu nhập doanh nghiệp phải nộp)",11,976.137.681.864,(355.175.550.444),,11.0,976137681864.0,-355175550444.0
3.,I. > 3.,3.,Thay đổi chi phí trả trước,12,27.772.074.875,28.798.058.884,,12.0,27772074875.0,28798058884.0
3.,I. > 3.,3.,Tiền lãi vay đã trả,14,(9.397.487.973),(13.129.389.804),,14.0,-9397487973.0,-13129389804.0
3.,I. > 3.,3.,Thuế thu nhập doanh nghiệp đã nộp,15,(321.705.625.840),(190.562.523.943),,15.0,-321705625840.0,-190562523943.0
3.,I. > 3.,3.,Tiền chi khác cho hoạt động kinh doanh,17,(111.140.451.155),(47.704.915.358),,17.0,-111140451155.0,-47704915358.0
3.,I. > 3.,3.,Lưu chuyển tiền thuần từ hoạt động kinh doanh,20,2.993.895.912.830,2.396.404.832.077,,20.0,2993895912830.0,2396404832077.0
II.,II.,II.,LƯU CHUYẾN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ,LƯU CHUYẾN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ,LƯU CHUYẾN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ,LƯU CHUYẾN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ,,,,
1.,II. > 1.,1.,"Tiền chi mua sắm, xây dựng TSCĐ và các tài sản dài hạn khác",21,(1.823.740.298.893),(2.405.700.690.389),,21.0,-1823740298893.0,-2405700690389.0
2.,II. > 2.,2.,"Tiền thu thanh lý, nhượng bán TSCĐ và các tài sản dài hạn khác",22,,9.545.456,,22.0,,9545456.0
3.,II. > 3.,3.,"Tiền chi cho vay, mua công cụ nợ của đơn vị khác",23,(32.585.000.000),(19.500.000.000),,23.0,-32585000000.0,-19500000000.0
4.,II. > 4.,4.,"Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác",24,32.000.000.000,17.000.000.000,,24.0,32000000000.0,17000000000.0
5.,II. > 5.,5.,Tiền chi đầu tư góp vốn vào đơn vị khác,25,(49.171.024.874),(444.670.774.944),,25.0,-49171024874.0,-444670774944.0
6.,II. > 6.,6.,Tiền thu hồi đầu tư vốn vào đơn vị khác,26,,44.742.361.262,,26.0,,44742361262.0
7.,II. > 7.,7.,"Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia",27,167.136.659.919,325.322.415.717,,27.0,167136659919.0,325322415717.0
7.,II. > 7.,7.,Lưu chuyển tiền thuần từ hoạt động đầu tư,30,(1.706.359.663.848),(2.482.797.142.898),,30.0,-1706359663848.0,-2482797142898.0
