row_label_raw,row_label_full,col_0,Số đầu năm > Giá trị,Số đầu năm > VND Số có khả năng trả nợ,Trong năm > Tăng,Trong năm > VND Giảm,Số cuối năm > Giá trị,Số cuối năm > VND Số có khả năng trả nợ,numeric__Số đầu năm > Giá trị,numeric__Số đầu năm > VND Số có khả năng trả nợ,numeric__Trong năm > Tăng,numeric__Trong năm > VND Giảm,numeric__Số cuối năm > Giá trị,numeric__Số cuối năm > VND Số có khả năng trả nợ
Vay dài hạn,Vay dài hạn,Vay dài hạn,513.586.013.259,513.586.013.259,457.596.669.686,36.876.013.259,934.306.669.686,934.306.669.686,513586013259.0,513586013259.0,457596669686.0,36876013259.0,934306669686.0,934306669686.0
Ngân hàng TMCP Công Thương Việt Nam,Ngân hàng TMCP Công Thương Việt Nam,Ngân hàng TMCP Công Thương Việt Nam,506.766.500.000,506.766.500.000,457.596.669.686,30.056.500.000,934.306.669.686,934.306.669.686,506766500000.0,506766500000.0,457596669686.0,30056500000.0,934306669686.0,934306669686.0
Ngân hàng Phát triển Việt Nam,Ngân hàng Phát triển Việt Nam,Ngân hàng Phát triển Việt Nam,6.819.513.259,6.819.513.259,-,6.819.513.259,-,-,6819513259.0,6819513259.0,,6819513259.0,,
Nợ thuê tài chính dài hạn,Nợ thuê tài chính dài hạn,Nợ thuê tài chính dài hạn,4.546.741.300,4.546.741.300,8.100.000.000,4.868.829.000,7.777.912.300,7.777.912.300,4546741300.0,4546741300.0,8100000000.0,4868829000.0,7777912300.0,7777912300.0
Công ty Cho thuê tài chính TNHH MTV Ngân hàng Công Thương Việt Nam,Công ty Cho thuê tài chính TNHH MTV Ngân hàng Công Thương Việt Nam,Công ty Cho thuê tài chính TNHH MTV Ngân hàng Công Thương Việt Nam,4.546.741.300,4.546.741.300,-,2.438.829.000,2.107.912.300,2.107.912.300,4546741300.0,4546741300.0,,2438829000.0,2107912300.0,2107912300.0
Công ty TNHH Cho thuê Tài chính Quốc tế Việt Nam,Công ty TNHH Cho thuê Tài chính Quốc tế Việt Nam,Công ty TNHH Cho thuê Tài chính Quốc tế Việt Nam,-,-,8.100.000.000,2.430.000.000,5.670.000.000,5.670.000.000,,,8100000000.0,2430000000.0,5670000000.0,5670000000.0
,,,518.132.754.559,518.132.754.559,465.696.669.686,41.744.842.259,942.084.581.986,942.084.581.986,518132754559.0,518132754559.0,465696669686.0,41744842259.0,942084581986.0,942084581986.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,,,,,
- Số phải trả trong vòng 12 tháng,Trong đó: > - Số phải trả trong vòng 12 tháng,- Số phải trả trong vòng 12 tháng,11.310.342.259,11.310.342.259,,,230.818.098.004,230.818.098.004,11310342259.0,11310342259.0,,,230818098004.0,230818098004.0
- Số phải trả sau 12 tháng,Trong đó: > - Số phải trả sau 12 tháng,- Số phải trả sau 12 tháng,506.822.412.300,506.822.412.300,,,711.266.483.982,711.266.483.982,506822412300.0,506822412300.0,,,711266483982.0,711266483982.0
